"FSC-A","SSC-A","CCR6","CCR7","CD11c","CD127","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","FoxP3","HLA-DR","RORyt","T-bet"
1.46243e+06,310340,-966.482,-496.553,-662.074,-48.1082,12034.7,1446.18,-32.3924,797.19,15125.6,200.066,638.837,-986.009,-141.546,395.182,2191.04,18210.3
1.53773e+06,554666,-397.748,-429.188,158.912,-786.91,5161.48,4505.94,875.207,13907.7,24457.7,4363.91,723.434,3120.89,-129.957,589.348,940.471,2499.53
1.52595e+06,361858,-1991.7,853.032,343.536,1015.31,9381.79,4292.42,-1009.38,261.22,8628.05,494.862,-308.912,-19.6654,-168.326,1671.99,1136.24,6014.5
1.47235e+06,398084,-1968.68,-342.456,-700.72,-444.012,7889.24,7148.85,3252.52,71585.9,10802.5,177.582,991.579,2672.06,-38.6614,-162.79,3425.52,2645.06
1.43857e+06,502410,7.38442,2708.46,-186.675,1296.45,16411.9,5397.13,21128,76533,26417.8,933.92,1370.1,2168.43,405.64,527.651,2836.09,32734.4
2.54229e+06,910158,-3995.04,3805.51,-305.97,-1625.98,28874.1,3463.35,6296.84,467.329,14273.3,1059.25,61943.1,3.01672,122.542,1995.93,4304.89,17546.7
1.42533e+06,574064,688.763,-1207.69,-1191.5,17777.9,14024.6,2572.19,10355.4,941.775,682.254,229.715,1366.73,532.926,404.674,-782.739,4391.83,13710.2
1.66168e+06,927115,123.453,44362.9,-1162.97,54931.9,18194.7,396.673,5731.6,-778.449,-1416.84,-1390.21,42344.6,-1972.03,-58.3606,1279.16,7057.3,2298.07
2.04997e+06,700379,-1309.16,-1850.58,-1306.27,4994.19,19675.4,5873.53,5.11238,-1315.17,16968.8,159179,-142.171,-583.09,1597.56,-3728.3,7429.99,15252.1
1.38925e+06,660608,-4042.26,1412.5,1093.05,401.775,12992.3,11649.1,3814.39,-8.28116,44694.8,6012.95,502.995,560.813,-523.928,18595.9,1604.38,6113.24
2.54941e+06,1.18446e+06,-1012.87,38080.2,-221.115,337.964,25509.2,1491.11,22.358,340.116,7220.45,399.689,-52.4194,5014.62,-59.8399,2543.98,2790.78,13258.6
1.72575e+06,510854,-1049.45,10337.6,869.99,-1050.29,19293.4,179.964,2201.62,1119.52,21192.7,4985.9,1780.21,740.273,7266.68,7292.9,2438.1,46230.1
1.56206e+06,747889,-377.937,583.218,-797.759,8317.56,13979,975.339,48274.6,136.431,10577.8,32.6492,930.284,-707.355,458.056,2902.78,2904.2,12965.9
1.5108e+06,560109,-2228.34,3052.12,487.382,568.651,7610.57,1345.05,3478.77,-37.5587,6929.15,284.382,180.19,70.0527,-263.975,538.658,2032.61,8769.42
1.2681e+06,523324,-1322.81,2079.1,1116.1,-536.419,19936.9,7042.02,-160.089,883.726,22620.3,604.633,-107.007,2204.2,-285.817,9830.02,731.536,4398.94
