"FSC-A","SSC-A","CCR6","CCR7","CD11c","CD127","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","FoxP3","HLA-DR","RORyt","T-bet"
1.47482e+06,358676,-3806.49,1333.46,-517.987,201.213,15243.3,1893.3,2651.19,-281.764,6602.77,13882.6,1654.53,1007.65,-818.38,3244.43,1038.03,4239.18
1.67093e+06,915009,3261.47,7450.29,-898.523,43506.6,22070.2,1202.18,5547.4,-346.919,1710.34,-97.2153,-1307.7,-297.532,-186.928,466.112,5281.36,2782.63
1.3907e+06,420014,655.067,374.531,158.956,8206.85,5160.2,28876.4,473.389,154.398,-432.904,-445.912,1673.44,-1221.63,67.5795,2171.62,1211.84,4947.25
1.34743e+06,323681,2649.23,533.047,-694.127,6084.83,6633.63,17089.4,4913.13,-82.4945,-97.7224,581.716,5765.75,-2141.39,60.6817,3531.3,1665.29,43913.2
1.46966e+06,542923,-1176.49,1440.31,-550.685,3539.13,15358.8,809.357,52.6215,422.321,13113.9,3478.2,-738.487,-325.568,6661.31,7750.55,1505.03,899.032
2.07341e+06,480019,-3072.66,1394.08,-122.663,13203.7,29226.2,9493.94,4604.04,-1069,-72.7234,2287.7,-590.784,-1119.78,-459.196,246.465,2616.11,7676.32
1.57854e+06,327475,-1116.51,8221.58,-394.316,47581.7,10859,8145.53,1658.08,-936.084,-1.46324,256.497,-18.1319,-996.132,-95.0098,-385.924,1548.01,305.996
1.51215e+06,380268,-2064.12,8919.61,-187.555,43225.5,7033.79,1934.39,705.2,-362.5,566.219,-13.9869,-12.3916,-1141.38,-448.906,781.471,863.812,1781.03
1.70061e+06,299910,-1990.61,917.58,-400.981,379.079,7392.63,4906.7,5750.02,-167.49,6167.73,9181.79,-398.141,1659.87,-137.587,-1535.18,754.532,7992.96
1.83885e+06,432449,-3485.29,205.988,-899.351,589.082,11636.7,7818.89,3911.34,-384.433,48855.8,8285.79,589.152,3335.23,-563.619,2168.63,1434.84,16347.4
1.60348e+06,416290,-134.523,-884.799,-449.027,33214.5,9865.95,3608.28,2291.32,-971.635,1054.38,625.1,1990.37,941.998,-216.847,1368.58,774.823,2262.77
1.40084e+06,257874,-2245.01,137563,-137.366,3369.28,5267.71,8440.9,1365.47,-72.5913,-867.695,1290.62,2834.62,-168.926,-1252.6,-1624.29,1541.66,891.568
1.53822e+06,644246,-1972.36,-244.597,-565.31,5587.13,15763.9,8006.93,6216.82,413.097,6913.35,966.693,-50.4264,4057.27,-427.299,2479.15,1090.58,19956.2
1.48034e+06,585254,-318.139,1524.39,-1291.18,11549.5,36048.4,2340.19,678.659,-706.503,906.121,-799.374,3462.11,-1020.98,-706.107,-844.147,6366.34,6181.29
1.48019e+06,452958,-866.867,984.838,-1272.64,3655.77,22362.4,11669.9,51198.6,92078.5,40460.6,734.547,-731.115,375.921,467.078,1218.53,428.579,33091.2
1.3011e+06,625331,-1419.2,12049.5,-666.209,34783.1,9985,593.58,5626.36,-487.672,8.03659,-307.419,1176.45,-1665.3,-264.125,-175.813,2584.27,4410.01
1.51263e+06,362446,-1461.75,3592.37,-115.229,-727.928,6766.53,147480,453.094,-359.914,-57.6571,-5.21262,1050.58,-1887.82,3833.08,434.844,355.742,6812.04
1.51808e+06,380015,-3558.78,1698.06,-301.047,1638.57,7913.38,3742.07,4540.96,-459.01,13921.3,-170.397,1476.4,400.566,-944.89,808.122,2409.85,25581.2
1.76556e+06,399913,-1220.06,1682.26,-291.258,736.939,7701.1,21059.1,4841.42,-770.189,-58.2127,89.4932,860.117,4314.99,-163.155,724.749,1139.45,4209.94
2.71632e+06,666522,-3184.74,1976.4,-671.359,3299.11,24499.1,7091.09,6490.36,-334.458,10212.8,36363.2,392.572,-713.809,-563.159,10927.8,2512.02,24320.6
1.48181e+06,390874,-1722.92,823.521,139.305,-1032.9,6704.95,11662.8,-205.791,-96.6484,7062.68,316.939,883.632,-1044.38,-519.878,-144.201,633.173,1890.47
2.0929e+06,583900,-2052.2,4211.1,763.11,2125.71,17724.5,33925.5,2468.87,-885.944,12034.5,113.197,752.531,-1321.14,-457.357,694.884,1214.78,27464.8
1.43569e+06,280283,90.0199,16885.3,-126.057,7158.38,6716.18,10536,6056.53,-224.309,22.6686,1254.41,545.942,-2526.99,93.9695,-375.635,782.205,1019.95
2.29997e+06,309637,-2581.2,684.521,-340.682,-1247.41,8369.77,220.391,625.091,-26.4437,16602.6,456.583,78.5322,14.6696,-459.188,-524.407,759.738,1061.3
