"FSC-A","SSC-A","CCR6","CCR7","CD11c","CD127","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","FoxP3","HLA-DR","RORyt","T-bet"
1.90203e+06,253089,-1034.5,17682.1,-568.89,1142.16,6393.48,17145.4,2610.69,-228.416,-479.53,2887.37,1287.14,-654.482,-99.6955,-850.849,822.691,559.223
1.48282e+06,502812,15.2319,330.05,-405.399,1431.16,15196.3,1897.61,2111.6,-235.581,1951.86,453.298,-199.281,-2731.4,620.655,433.575,4030.15,8994.21
1.94742e+06,541483,-2708.51,1157.89,674.207,94.2976,18184.7,5378.04,8759.53,-447.678,33900.8,291.459,821.52,-3023.42,-814.919,1575.72,870.153,13810
1.29272e+06,295504,-2650.22,1009,-563.846,1212.93,4230,22332.2,-65.9988,-651.371,9056.42,3809.34,1133.15,4982.72,-642.082,736.373,832.499,2113.43
1.45442e+06,438169,1282.04,11832.3,63.9017,41271.5,11917.7,8510.55,1678.02,-587.422,1243.41,770.796,1214.78,-1679.19,89.7623,-750.915,241.277,828.228
1.33137e+06,700652,-5364.31,5753.83,4165.67,9579.88,28766.3,4424.58,42075.4,-41.6582,99198.1,3407.28,3392.76,385.2,-1379.33,22654.7,72.6006,12489.1
1.80911e+06,782606,-920.704,872.807,-263.678,1285.78,17695.8,14044.5,24008.6,-638.9,50442.3,7414.23,-1661.82,-825.125,273.783,1415.3,1027.99,25119.2
1.2471e+06,336510,-1774.59,10216.4,-818.678,1871.38,7761.64,525.754,3486.02,117.508,7389.13,2160.91,-284.284,-1053.34,-466.434,-649.13,1364.88,3676.88
1.98457e+06,445247,-3007.32,-251.637,-211.358,-911.343,16587.2,-940.864,-459.752,-706.301,53.9578,62470.4,674.795,-1153.49,-572.622,-1481.51,1103.26,8131.74
1.85213e+06,648258,-1625,774.031,12.1793,4279.33,20785,11910.8,15580.9,-763.162,33380.8,9104.95,1336.42,-351.493,197.001,-342.125,-441.882,23236.4
1.75044e+06,569169,-1947.44,418.662,-787.864,1514.18,23666.4,654.594,1302.78,-1108.95,31361.2,-421.813,1652.11,213.366,-513.409,3929.6,1609.11,10436.9
2.18293e+06,299087,-3337.8,1974.69,1054.1,1348.06,10084,1529.01,7805.24,-778.203,18167.3,-384.955,-951.984,-1227.69,-386.877,1178,1345.7,10699.9
1.77943e+06,496443,-3425.37,4405.68,-101.34,447.054,17333.9,2624.36,2959.13,-484.14,43703.4,22771.3,-331.114,-3937.51,-402.654,482.11,1495.85,30498.7
2.14287e+06,759815,-3448.22,393.406,-60.5291,1614.76,34751.9,2472.88,2797.33,-1007.98,79468.6,2889.22,5385.69,2322.25,-1093.56,3572.17,2191.68,43140.4
1.50643e+06,441675,-1783.63,1305.13,838.706,1068.39,7567.23,6363.87,2634.6,47417,104007,-218.541,3148.33,-638.709,-213.503,810.825,-221.925,40151.4
2.05504e+06,593795,-5706.18,3648.33,-23.6536,472.696,35251.2,11539.7,1777.98,676.313,2299,809.334,60312.1,-651.72,-443.467,1366.03,1801.74,9097.82
2.03937e+06,902841,-4906.95,4474.56,-677.288,13027.6,38737.1,2390.87,3345.29,-960.618,2191.3,105842,2226.77,-4013.71,-473.578,-3230.48,-1975.56,6135.6
1.99737e+06,419050,-2322.33,11778.6,-83.05,10694.6,25686.9,1140.03,284.468,-1245.79,-480.691,210.396,2358.63,-2611.45,-263.752,-1193.88,-73.2062,13222.2
1.54226e+06,568386,-1075.53,350.421,980.062,1771.95,9739.59,62759.7,567.502,112.2,12477.3,11065.2,2482.74,1618.07,-141.912,3577.93,-1575.98,11925.6
2.19933e+06,612298,-4226.7,353.541,-760.438,7757.81,32213.8,9760.5,5786.31,-1384.83,46831.5,119533,2533.35,905.832,-1402.76,13108.9,377.031,32770.3
2.07806e+06,570593,-3332.53,2470.77,-153.53,3199.8,17555.1,9323.75,32051.8,-190.008,36093.5,23114.5,137.296,-824.58,-222.59,646.967,1219.32,13124.2
1.29419e+06,299058,-717.344,-142.65,122.622,1608.54,4747.41,750.762,18470,-308.732,13969.8,308.541,1856.39,-464.002,70.1686,-1070.59,141.487,10584.2
1.82359e+06,418783,-3162.25,1685.5,418.382,-1024.55,14770.5,21696.8,3189.57,-196.077,20836.2,15982.2,431.396,-1863.73,-740.946,3429.42,478.514,11291.4
1.92131e+06,536707,-701.826,7202.32,-127.784,24808.8,7756.01,1204.81,8545.17,357.187,6507.31,298.035,9904.89,181.156,-29.3093,83.2847,1166.74,1592.74
1.72818e+06,377156,-2149.32,1642.76,-67.4082,237.741,13857,8055.97,25824.2,262.373,42062.6,13307,532.927,-196.14,-556.932,-772.985,-389.313,18416.7
1.49843e+06,482514,-2968,-55.5082,-680.978,11273.1,33434.9,701.921,-682.073,-418.1,73292.1,107792,-678.629,352.814,-550.326,309.791,-218.55,13757
2.00904e+06,412489,-2735.91,1285.32,35.3549,560.269,22893.2,8030.39,13286,-786.754,62721.6,23538.4,435.249,1424.12,-437.515,-264.65,943.203,13053.8
1.59856e+06,690372,-1115.5,2252.49,-401.242,264.409,9703.64,6467.22,12487.5,-1302.22,52753,1057.85,24192.2,-911.647,52.9982,2711.87,218.971,11369.9
1.88275e+06,303092,-2031.32,2147.92,-358.429,-814.166,11592.8,11090.4,5133.14,-42.9867,304.584,13644.4,-355.202,-1916.17,-1060.1,813.86,192.609,5787.5
1.57526e+06,353101,-1834.41,3514.11,12.7139,902.528,6157.85,12922.9,-9.75567,180.976,49457,7788.78,1138.94,2618.03,-452.768,210.508,-355.304,8480.64
1.91097e+06,746712,-1343.18,2120.34,-312.191,3086.52,22501.6,7239.6,29426,-681.638,44934.8,-189.745,-241.936,-1734.12,196.132,-325.848,761.734,20956.9
1.27127e+06,381296,-3666.87,2668.74,-26.5632,2591.31,12614.2,44615.3,-282.904,-273.139,19131.2,-730.781,1404.42,-1287.26,-894.694,-267.035,1084.71,4439.95
1.88651e+06,648781,-3357.21,360.597,-1771.51,742.515,44286.4,8858.17,24462.5,-1002.36,50508.2,14345.5,2745.03,-655.567,-283.439,-1113.38,1167.52,38388.1
