"FSC-A","SSC-A","CCR6","CCR7","CD11c","CD127","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","FoxP3","HLA-DR","RORyt","T-bet"
1.58422e+06,479613,-2695.74,1173.66,-1049.24,5372.52,18755.5,7811.69,105.285,-742.624,29852.6,84.2346,-986.534,1410.67,-433.727,-809.106,3269.46,32034.4
1.33609e+06,588506,-744.965,-1240.45,-1164.45,-126.1,12738.5,10214.6,522.453,-1092.62,15620.5,9837.26,1749.23,1402.58,-1.94295,4798.24,2884.1,7180.13
1.3642e+06,379686,-1618.16,5744.2,-181.245,-1723.5,25583.9,32687.2,1280.27,-985.85,26808.4,-515.233,74150.9,-1261.63,-930.3,7741.43,773.724,70140.4
1.36117e+06,403104,-2294.63,954.314,-391.398,-764.361,16916.6,41963.7,2065.45,-505.469,38569.1,19730.9,1027.54,2979.85,-226.901,-149.494,2109.04,5537.83
1.19058e+06,313283,-2610.14,3255,-298.77,2498.31,7619.29,6959.95,8910.65,238.901,8295.6,430.95,4608.74,-781.561,-385.733,1009.47,1235.18,10108.1
1.44948e+06,332219,-1733.1,1777.84,-295.175,44.5484,12665.2,27017.1,1176.19,-597.385,-1072.91,-448.616,634.337,-773.015,-174.314,2910.57,1363.36,4390.49
1.43712e+06,444534,-2368.69,196.506,-1037,3937.92,23578.3,14729.5,2939.3,-1128.75,15138,5308.47,5280.72,2035.25,-701.914,6206.74,2126.12,35734
1.37933e+06,707847,-263.708,1578.77,3457.87,3359.05,19068.1,1383.35,-1023.24,114.579,29757.2,771.317,-60.0537,2151.05,5592.24,-463.243,1837.5,6030.69
1.52148e+06,500585,1211.75,-1209.27,520.441,3776.29,9553.02,949.502,509.898,-438.059,19526.6,-15.2551,-355.079,1250.99,-152.544,326.622,1529.82,13034.5
1.44788e+06,276066,-2262.48,404.937,-501.886,3775.07,10773,2591.86,249.839,2157.86,11832.9,-329.165,887.782,-231.88,-532.601,-192.746,1536.33,8751.15
1.28866e+06,335686,788.678,613.442,-16.491,426.381,12502.2,2741.3,-412.082,119.344,6649.27,6269.51,537.597,805.008,3570.2,-520.498,1262.6,621.648
2.14637e+06,432669,-40.7097,1547.56,205.888,14833.9,10984.7,11807.4,2706.37,233.14,3311.97,857.252,51726.8,-928.193,339.953,8444.15,1387.98,17356.1
1.4569e+06,474844,-430.312,584.215,-277.331,7271.18,22588,11662.4,6582.35,10471.4,9590.85,360.527,-171.826,-2375.9,221.149,3642.42,2623.7,9414.43
1.80052e+06,670494,-2733.72,-245.746,3332.98,934.906,27769,5041.35,838.943,-1899.77,123881,156.27,-18.6269,2191.04,1994.82,151.727,1879.63,8144.36
1.44286e+06,675939,-279.336,1274.62,-830.521,6319.26,17989.3,23644.4,547.369,-168.829,6180.94,-310.121,-346.937,876.063,-215.508,12892.3,1048.35,16270.7
2.17993e+06,763561,1725.82,2518.48,-429.014,16430.1,21927.8,562.849,930.054,785.922,3695.48,-256.448,46235.8,112.855,904.037,237.26,4087.25,7468.47
1.62401e+06,292437,-656.427,1761.97,-450.857,1174.66,10456.9,-4.59777,7426.95,62.5613,28062.8,4647.7,5934.11,-447.796,-1.63921,4643.15,1626.3,5089.4
1.60174e+06,586206,1796.07,3385.8,-728.205,23278.6,14724,9621.26,1140.12,-1025.93,-550.629,2882.17,4400.27,1184.85,350.966,-263.651,5078.75,6104.85
1.72819e+06,526186,-1748.98,2153.85,-321.258,15589.5,19680.8,22119.3,756.169,-475.042,11280.6,-493.465,-134.228,-1993.17,-278.318,1964.99,3437.61,58437.4
2.0466e+06,607731,793.018,5682.4,-570.218,8350.48,7840.8,27347.7,11709.7,377.215,54.3491,2268.42,704.113,-647.54,-468.572,969.61,3151.93,1437.7
1.53508e+06,530809,-55.7908,541.944,85.4466,1253.13,12939.1,849.057,450.627,547.719,43879.6,809.621,529.543,527.153,1293.31,1292.61,2453.16,8500.39
2.0093e+06,339492,-1536.22,194.51,-887.631,370.828,20861.5,1703.77,475.769,172.043,23645,49.9905,12269.1,-1105.47,255.627,5257.73,3073.14,31264.4
1.33992e+06,308122,-1283.33,1651.93,76.453,-273.725,6729.4,15462.6,487.972,706.423,9660.61,144.305,-739.087,2539.43,-279.554,8462.15,1134.36,3160.29
1.58189e+06,304103,-1321.35,2218.54,717.446,547.299,23485,27067,2627.33,137.307,24504.7,219.95,17844.1,-805.769,71.2617,1777.44,1921.67,20776.4
1.70102e+06,577952,-1430.13,-479.432,-1111.9,1538,24418.9,2758.89,2531.32,-172.534,33203.3,628.724,3335.31,1865.5,-861.904,6182.24,3553.82,14026.4
1.49559e+06,798958,-3610.98,4662.53,109.694,4770.73,27852.8,17168.9,-618.857,-217.318,5218.07,49144.3,-1822.93,-1815.69,10783.3,24767,2054.32,9438.88
1.51329e+06,443561,1576.67,1021.35,-532.658,2957.83,5292.21,29469.8,2242.44,-308.538,-165.567,9453.96,15203.8,-90.1028,-531.968,-1327.52,7742.31,2809.37
2.21634e+06,511889,-1965.44,1865.41,-215.034,4294.59,34119.2,3681.02,6586.19,-291.609,41895.5,65.7249,15530.9,53.6883,-314.632,351.736,2766.52,30310
1.45928e+06,574292,-330.733,1006.31,1534.4,1835.02,7098.08,1205.76,788.395,790.953,13161.2,1504.99,989.787,1160.93,5327.91,4779.7,1895.92,3194.04
1.39638e+06,493956,-966.371,-86.4166,-1187.75,-2559.4,12723.5,7998.06,-391.114,-607.882,8966.83,-247.768,71005.3,3374.75,-22.1464,5261.75,1461.08,94305
1.59016e+06,620760,-1296.78,-96.5896,-1555.44,796.328,23258.2,19620.7,-109.838,-658.52,73533.9,-577.262,-2172.64,2360.51,-26.836,2709.25,1503.35,39338.2
1.47616e+06,1.05739e+06,-808.318,20861.1,3165.43,-688.738,9195.8,4043.6,11146.1,878.332,70176.4,3275.05,2475.07,-222.267,93.8646,4504.28,5685.62,23627.6
1.42289e+06,736982,913.822,718.72,-959.462,1376.89,18860.1,7588.66,14124.7,42.3935,14358,13955.2,208.197,359.961,174.019,3869.59,717.914,16683.5
1.21564e+06,529693,-639.032,432.133,-602.091,2923.04,16326.4,2263.6,18209.4,3351.02,13784.2,10435.9,17318.5,-112.318,104.184,3506.37,1617.77,22845.4
1.46618e+06,324306,-1440.24,831.863,-147.022,814.566,9047.77,21777.3,876.177,622.543,7311.9,3639.91,1200.76,3090.5,-35.721,18899.5,1174.36,8505.12
1.43992e+06,510321,-2228.65,858.92,294.401,-401.984,16297.5,56167.1,2623.32,-627.756,23368.4,378.156,-943.123,-1964.67,304.344,3882.09,1719.26,29337.6
1.30029e+06,406799,-2121.13,5668.19,719.475,11174.2,12863.5,6789.58,-156.157,222.964,-1789.62,468.312,-165.31,-2207.08,-690.477,2708.58,895.12,8560.1
1.4321e+06,420073,-1145.19,10207,-154.421,13402.8,-270.907,2069.68,515.795,513.046,628.969,1163.93,2558.53,971.922,-562.022,-791.876,1063.35,1299.74
1.64432e+06,1.03816e+06,-1000.03,3311.49,-1059.68,6888.35,36978,768.232,5365.77,1235.21,48463.4,15721.3,39383.6,-601.261,96.2924,2651.21,618.343,24228
1.38247e+06,623289,-3788.43,9780.25,74.1899,-106.624,31813.6,1932.09,907.273,-547.921,27901.1,-168.48,3703,257.697,-1200.51,7927.94,1290.1,36811.5
2.09093e+06,629919,-2751.61,5366.52,132.461,761.075,19497.3,8868.73,16014.7,632.235,43653.5,-134.015,31469.3,-1966.15,-747.522,1325.68,2425.5,21325.2
1.31039e+06,333841,481.581,-1591.38,-28.8222,-192.973,5446.69,5733.72,3349.3,-743.015,22118,-210.776,519.502,388.374,-196.275,393.27,1131.45,3798.55
1.95763e+06,403589,-1497.78,1538.64,277.021,1782.88,18813.6,9354.25,6828.22,-331.704,28752.5,578.203,4712.28,559.501,-860.838,1434.03,1812.01,13660.4
2.44069e+06,819807,-843.563,32.1983,-633.121,26551.4,25452.6,54358.6,7428.27,-712.494,1029.79,18169.7,2367.42,2091.02,194.403,-599.361,300.067,34602.8
1.35177e+06,265058,-2655.4,1319.36,-506.539,-686.101,6059.25,14879.4,53.5474,-401.515,12141.4,406.799,1550.16,1006.34,-548.821,23.5039,1953.63,3078.47
1.37109e+06,436831,188.882,2843.53,105.541,205.537,5452.92,6695.68,-120.714,-94.6405,4170.1,2405.95,-2019.68,-1471.07,-124.304,-531.436,2733.81,21688.8
1.80917e+06,494791,-1838.39,2523.13,-151.615,5152.32,24619.7,6748.17,25441.2,-955.741,57390.9,-295.177,7938.04,304.93,-882.059,8113.38,3615.71,14303
1.32009e+06,680665,-2823.14,2482.26,534.432,203.739,17387.2,-403.164,-645.673,-45.5958,60254.2,31690.4,-1328.19,-1336.88,1018.93,1453.64,247.265,2827.75
1.28454e+06,445719,-1021.21,1151.73,-462.794,918.434,21406,9723.34,304.684,635.796,29292.6,24.6321,1229.46,7837.06,-125.823,2129.39,2267.57,5658.25
1.50198e+06,288108,-1987.93,330.297,146.353,-706.123,8033.18,7832.57,319.071,-42.5268,5836.68,15930.2,-225.355,1723.85,-152.235,13021,1012.57,4078.91
1.55136e+06,625128,1851.55,41960.4,168.305,10533.9,11023.6,1038,-447.888,-861.86,21720.7,-679.082,1056.11,-886.096,-358.177,-148.39,2432.38,9609.21
1.5954e+06,599774,-1076.61,1692.35,429.66,-484.351,25381,11744.3,763.569,-41.2928,48403,42.8333,-2917.81,-4685.63,84.537,1692.29,1498.14,29021.8
1.4876e+06,342077,-1447.16,1945.69,-290.104,3709.81,17171.9,7673.51,7806.52,-150.225,20531.7,198.464,-1220.5,-1843.8,-325.284,1490.97,1660.87,14098
1.85619e+06,700973,-2992.98,3071.87,857.45,4746.05,24888,7771.51,4862.69,10529.9,20474.8,168.925,-1256.93,-1640.81,-231.548,421.431,3016.2,8715.75
2.08105e+06,302905,-1972.17,1005.3,158.594,945.344,17999.6,39516.7,3789.51,-501.195,34798.6,9718.96,1625.29,13.8286,-190.291,2028.27,391.141,25331.2
1.29618e+06,326068,2811.05,4993.08,-222.47,1143.38,15463.8,47668.4,-569.009,-355.086,8463.91,958.948,-1458.4,-541.066,-515.905,942.645,-1464.8,7963.56
1.39225e+06,388673,-599.259,-38.0551,-466.398,-647.178,9947.98,17848.4,259.007,-399.936,16517.4,412.137,1266.28,3272.92,14.9387,1460.35,1371.15,6676.53
1.68144e+06,380435,-2048.02,740.749,248.02,15.3322,18557.8,28411.5,4132.11,-931.301,8556.39,460.105,19203.2,673.687,-465.447,16588.5,1124.77,79588.3
1.65514e+06,453745,-1916.05,-778.057,-1228.33,-972.402,33501.6,10767.5,-735.868,-1819.34,31700.9,5097,1326.3,6057.33,-126.091,3827.09,1837.47,5948.76
1.55544e+06,361104,-741.059,2081.34,77.4885,16014.4,11083.3,20528.5,2518.97,-337.282,526.329,-168.351,6216.3,-2209.75,-164.069,485.468,1601.16,35082.8
1.5345e+06,545795,-2986.6,5660.47,-613.99,-1210.24,21783.6,7887.09,933.162,-375.611,20151.7,1250.65,44286.1,-139.778,-727.653,3819.25,3097.27,24366.7
1.66373e+06,586938,-1202.2,2265.5,2455.58,962.087,6405.02,558.655,4163.53,894.742,20780,4907.48,-505.11,-1068.52,-251.629,7733.4,1478.81,2477.78
2.22155e+06,555857,-1797.15,4029.5,-282.84,5729.98,21934.4,1129.93,67006.2,-1276.2,47009.6,68.5381,47105.8,-3392.86,376.075,1649.49,1387.6,20144.6
1.47521e+06,626800,-2253.65,1981.87,1001.36,992.135,13562.2,80.1738,-1228.54,1352.97,21596.8,49102.7,741.993,-362.566,4534.84,16065.7,590.903,11368.5
2.09128e+06,587867,-2675.27,1426.28,-333.103,3539.58,17509.9,25696.9,4334.76,-531.13,28292.7,437.788,474.671,-1138.42,-313.501,435.681,2290.42,28610.5
1.34495e+06,418587,-1252.68,-342.667,-81.7464,2014.66,9262.53,74261.6,648.848,-165.391,19507.7,7057.94,4882,3069.48,-109.008,2156.56,291.939,2650.52
1.56699e+06,484077,-2226.34,1665.59,-633.645,504.616,9861.28,14955.9,-566.219,-569.319,25980.9,261.47,912.466,2469.84,-681.613,1020.02,1796.13,7449.11
1.56745e+06,453805,-1308.51,131.653,-279.043,-1440.04,5045.44,9451.93,85.2036,-885.14,13457.2,840.022,698.935,8157.04,-4.6463,582.96,1870.63,3415.25
1.50399e+06,450723,-3267.43,919.778,-675.506,320.707,19551.8,14025.3,13571.3,50.2351,14758.5,1229.07,4547.43,-52.9774,-73.7508,1083.22,2413.1,31218.9
1.82244e+06,604188,-518.804,53.6045,-1136.11,18475.4,22227.2,52310.1,1611.31,-921.548,2124.55,-30.5305,4020.98,1510.75,427.508,1154.46,1164.01,22483.5
1.91181e+06,502460,-662.1,1206.26,-1137.88,9997.27,13980.1,13835.9,10647.6,2839.47,14149.5,50.2441,-748.945,-279.216,468.166,-256.464,3272.24,6477.75
1.60205e+06,616682,-1878.19,614.259,-302.278,9101.85,13761.8,39576,7238.94,674.019,45719.9,14768.4,428.318,363.503,298.43,3643.43,2061.26,25290
1.57715e+06,539959,794.568,-2040.94,-3108.43,23076.1,40403.4,3415.93,-1439.89,79620.1,45973.1,452.55,-758.869,3129.42,387.771,5581.76,1215.05,15685.6
1.46716e+06,451832,-574.256,2357.19,185.637,9038.69,12114.7,42158.4,-477.213,857.845,-280.28,-948.625,-472.28,-690.283,315.587,1333.47,-431.503,26125.3
1.79031e+06,602379,-3882.04,3467.02,487.838,6083.07,20990.4,14618.9,4996.19,-375.006,29475.5,-345.101,-1356.65,-2655.07,-1036.96,1613.29,3530.18,20820.3
1.59885e+06,262749,-981.823,-3.70171,-181.813,-540.11,5180.8,19197.3,598.363,781.239,16909.4,362.739,215.433,1710.22,-353.68,4030.47,575.092,5354.08
1.33018e+06,392214,555.12,-205.174,-433.3,592.534,18350.6,42062.3,-163.429,-987.558,6793.77,-939.549,4626.87,1792.51,-518.233,6774.01,996.561,60189.9
2.13715e+06,422497,-1535.55,839.853,-602.877,-699.134,13884.8,75567.8,2599.84,-674.896,30735.3,-575.236,10668.7,2157.42,180.301,744.96,3538.35,6061.51
1.79918e+06,363526,-1077.54,1498.59,-839.191,15859.2,11594.5,6261.38,721.646,-267.812,203.309,-969.919,882.13,980.997,225.272,-575.724,2277.97,13377.9
2.41917e+06,796848,-1491.61,-332.263,217.774,1243.52,32006.2,2169.14,3240.66,125.3,16455,447.144,-107.82,599.661,1927.18,10489,3406.55,16433.8
1.6853e+06,307280,-2324.75,503.705,-27.4955,-556.646,11976.1,18728.9,256.174,-528.468,20503.2,3355.52,-547.985,1268.59,-263.53,11506.1,1423.62,1122.32
1.92436e+06,689301,-1154.93,3848.3,616.036,-350.843,23479.5,17195.6,699.27,447.218,3552,308.486,-891.21,-4039.42,400.258,2191.88,2735.55,16604.5
1.33213e+06,610143,-3683.82,3881.66,726.172,1969.99,5205.16,18091.7,20969.1,2325.6,55928,1618.31,18697.6,593.593,-531.117,4674.42,1944.45,24015.5
2.23086e+06,1.01856e+06,-1552.54,3117.75,79.4645,2909.79,21887.3,21093.4,12195.9,59.1982,12976,4622.89,24689.9,-1405.03,-86.3698,4717.73,2145.48,28917.6
