"FSC-A","SSC-A","CCR6","CCR7","CD11c","CD127","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","FoxP3","HLA-DR","RORyt","T-bet"
1.42466e+06,477525,-2086.41,2798.75,-791.386,9347.75,24560.4,2403.33,5211.69,-1135.09,15222.9,41.219,35682.2,-1159.2,-615.053,905.501,8647.04,3484.28
1.53545e+06,704406,-2594.47,59399.4,-597.564,27052.4,30493.9,8878.23,15694.9,1396.6,205.173,321.351,190.973,-1841.35,-183.611,676.972,2754.91,2088.06
1.53927e+06,402286,-866.97,-477.843,-792.717,631.061,7108.15,10058.5,290.21,922.39,27530.6,-235.463,-153.946,3077.69,78.4858,-156.158,919.439,862.89
1.39872e+06,435446,-1538.97,-314.534,-424.874,2965.59,16096.7,14206,93.8418,1078.97,42102.4,-155.104,1428.56,5633.34,-345.552,-100.846,1439.36,3391.69
2.10613e+06,425188,-3403.15,2058.4,-486.488,-1157.54,22254.4,34844.6,247.789,-249.051,58177.7,311.086,1153.18,-813.4,-1376.36,5016.19,3242.97,7902.04
1.74899e+06,288704,-1024.82,151.413,-335.802,790.762,9519.44,26325.9,-400.35,-614.313,11447.4,175.697,571.094,6650.33,-14.6195,-629.719,933.239,7240.49
1.48986e+06,667149,2432.2,1456.79,-1539.39,17130.9,13171.5,5472.97,1141.26,-489.827,1124.31,98.3226,229.925,452.027,-16.3428,160.458,2694.43,1371.73
1.95666e+06,715192,-124.052,16923.2,-1721.12,42782.6,50423.2,19584.4,31906.2,5996.33,4289.72,120.57,1756.42,-2534.45,187.16,-381.824,15594.3,9513.96
1.30788e+06,530933,-1496.2,13972.1,-194.674,12054.2,19538.7,4129.05,3241.56,420.035,718.722,24737.5,-248.063,-2048.47,-395.496,1034.22,1558.02,2809.56
1.39324e+06,335369,-2363.1,857.692,582.644,877.748,14839.2,15349.4,5639.56,3152.8,16049.1,-633.098,1396.89,1221.55,6.91861,9008.23,821.24,3586.53
1.58671e+06,508907,-3382.36,719.026,-567.394,243.27,25121.7,6918.77,867.07,17.6888,27819.2,-79.2577,-862.57,-65.791,-600.886,394.214,2414.41,8939.76
1.58362e+06,526105,-601.643,1169.88,-146.363,680.386,14563.6,402.512,9.27371,326.372,26019.7,-879.11,-328.574,-2221.01,5677.19,990.778,3076.17,2956.14
1.37478e+06,320644,-1046.88,-172.655,-394.042,411.712,8760.52,3788.62,912.4,-680.339,21616,1221.05,1991.62,3264.98,-81.7009,400.486,2524.89,4283
1.51545e+06,474657,-1399.14,1195.04,1660.52,1001.62,15901.5,2794.07,500.823,-865.073,19598.7,291.777,1007.28,-974.689,4567.93,-1579.82,1065.88,3019.45
1.41228e+06,721907,-591.678,39477.3,-505.815,9013.49,16320.3,29634.1,-550.119,-349.118,6723.32,549.247,3107.75,2288.97,-679.105,-205.627,870.108,5038.51
1.23859e+06,322383,-1650.54,1230.68,-305.676,975.362,9032.44,14661.7,1301.11,-801.433,20707.7,420.782,-613.844,2958.71,-333.18,-491.462,2200.67,4739.47
1.98859e+06,683084,-2631.57,6210.41,-1690.92,8795.36,30668.4,13455.2,13531.5,-719.112,15606.9,-75.5574,1852,-638.119,-69.9475,-97.3955,2105.07,24432.7
1.45988e+06,440511,-2688.11,1318.77,-799.254,-1383.88,27642.1,16195.2,2414.58,188.942,48768,1180.24,1148.54,269.088,-170.105,3446.52,1852.06,8286.53
1.82392e+06,436358,-1331.15,1508.33,-834.961,5664.6,15018.9,15538.8,3673.26,-388.362,7484.01,664.57,2102.85,-82.5292,-173.762,1470.72,7313.4,7860.44
1.26184e+06,487542,-1917.42,7260.28,-817.129,-1130.62,18708.1,26226.6,6521.93,1454.45,610.166,334.408,-627.59,1401.71,195.439,4001.92,2128.71,2693.39
1.74933e+06,402339,-1704.24,18778.6,-926.993,21326.5,17030.1,76556.3,49.5036,-173.558,647.666,923.606,853.639,-801.677,434.797,-1132.14,620.287,1021.74
1.91606e+06,758338,-981.291,7314.27,-2183.44,41013.6,22618.4,40019.7,6959.6,-175.709,1764.72,-24.4921,561.848,-591.578,371.897,299.321,2911.9,3455.16
1.79568e+06,536193,-1567.69,652.196,-476.123,30.6649,13819.3,15258.7,1875.86,-21.9321,38819.6,96.6672,1181.26,679.727,-12.9468,609.29,2541.97,6667.06
1.60911e+06,399652,-2431.77,2831.66,-1616.56,-803.886,47578.1,15578,2240.34,1741.29,24038.9,-733.991,-466.05,142.384,-853.067,4437.31,4006.67,7986.03
2.52908e+06,996980,-1621.99,23842.3,-2227.36,2450.41,33432.5,5489.91,-695.565,-1305.45,4636.58,-253.266,4375.72,872.422,38.3376,-51.3438,5879.91,16457.3
1.30594e+06,414681,-2465.79,34462.2,404.887,3258.26,21534.2,125172,-88.2611,-297.722,-405.604,314.331,-708.283,-987.41,60.8713,-274.472,620.874,3832.55
1.48754e+06,561670,-1991.99,20224.1,-646.861,4017.92,18320.9,7344.84,-57.1781,-911.024,548.165,1770.51,44.9673,302.7,-201.069,834.68,1863.1,4140.26
1.42876e+06,432581,-3512.81,1256.58,-645.369,6440.9,29778.1,5652.35,4022.2,-67.0843,14793.8,9049.11,1648.62,-1842.68,-470.416,83.709,1395.99,7221.91
1.47148e+06,391101,-243.159,352.047,-1315.81,5407.73,16379,8702.4,11580.2,-396.726,5206.48,212.179,127.229,331.807,336.913,806.597,3260.6,5838.26
1.70139e+06,495069,291.251,1418.05,-13.9506,-85.5734,-315.303,10673.3,7631.4,21161.6,22545.9,111.687,807.832,614.282,1107.32,2330.7,2716.82,5117.03
1.43803e+06,601031,-3291.45,3130.69,265.114,6925.19,14063.7,15295.1,3147.83,111.837,24068.3,322.062,-1873.15,-2745.89,-567.002,-401.645,1304.13,5641.24
1.40807e+06,359538,-2422.15,39486.7,-484.454,430.294,7582.68,44972.6,252.153,-464.535,267.763,207.487,-27.9265,-192.023,2946.86,-220.704,817.612,2023.61
1.20235e+06,298647,-2324.63,1851.21,-522.672,395.301,14478.1,12855.9,6379.04,566.466,31458.9,575.76,712.827,3938.28,-784.718,562.942,1810.78,3404.13
1.62171e+06,685488,-593.558,826.559,-1140.13,-1004.01,30485.2,10760.3,1149.66,6244.67,29351.6,36133.1,819.258,2423.91,-353.366,11260.1,2162.46,4458.81
1.44704e+06,586879,-1680.5,4048.44,-1865.02,12816.1,19566,2298.87,6015.36,119.056,26545.6,1360.38,512.935,-975.914,31.3866,459.976,3215.48,7048.14
1.35404e+06,350476,-3191.95,39633.4,-242.423,4311.03,12651.2,287479,-572.106,-926.043,302.947,-1329.35,2490.92,-914.17,-284.943,-426.849,-1486.85,573.963
1.36554e+06,481838,-1312.14,2288.69,-73.0976,260.26,14394.9,44710.9,1989.11,268.578,19186.6,-284.866,1414.33,729.233,-53.0184,1300.48,2173.91,2681.03
1.30399e+06,409279,-1064.62,9769.87,-648.73,18395.8,15915.3,13820.4,596.39,-669.405,1278.04,10368.9,406.322,2207.8,-276.372,5260.68,932.918,3114.88
1.42136e+06,463698,-549.582,283.139,290.88,-722.051,-78.5892,9542.81,-522.469,-203.899,1084.78,16.4024,248.984,341.274,-293.371,-235.202,819.181,23495.2
1.89552e+06,391712,-2479.28,1128.08,-845.279,-1337.14,28951.9,3563.59,6892.57,-702.293,30327.7,519.39,676.918,-4024.72,-436.062,3136.45,3047.09,11139.2
1.85332e+06,332124,-1564.79,1023.41,646.399,657.824,11239.3,32756,1135.82,-53.9379,23399.8,360.318,760.662,-677.995,-368.937,-118.979,3109.52,10262.7
1.855e+06,484858,-790.387,495.178,-727.6,9559.07,35430.1,1235.75,24449.1,-343.36,31730.6,-490.329,358.14,1260.15,101.104,361.299,4023.01,9751.96
1.43053e+06,645181,-4307.59,32664.5,500.052,605.411,17774.7,13876.7,495.732,-76.6019,14640.3,658.864,-2014.84,-4130.97,-1139.83,3394.64,2560.78,8290.96
1.32335e+06,453759,-1711.79,1183.88,591.739,929.856,17101.5,67402.7,4315.62,90.2536,11350.2,566.147,1827.35,-1760.62,-292.246,-278.784,2135.23,5266.64
1.34859e+06,364014,-1387.7,375.146,-2038.64,1147.55,29740,55760.1,18781.5,14184,84067.8,10993.9,-860.107,-56.9404,-0.935459,-239.2,1654.2,6081.23
1.68206e+06,536878,-1303.4,2039.81,412.425,-119.89,23025.4,7662.94,28084.4,1838.95,12871.3,-37.2543,1949.99,-840.481,-29.1637,2603.87,1293.38,9751.59
1.44066e+06,783393,-1708.66,3999.38,1552.23,788.114,22065.2,1583.9,76695.3,1462.8,9999.55,16092.5,1827,-2527.19,99.6551,5820.81,1890.11,13320.6
1.33732e+06,287729,-2704.19,25509.4,135.371,562.603,11665.1,23942.6,-592.513,1171.43,1016.26,320.573,1346.58,-908.203,4052.8,241.382,2192.29,2655.94
1.78395e+06,591057,-1715.99,349.878,-1788.19,11655.2,36761.7,59835.4,9527.97,2.52708,562.158,-434.764,260.274,-914.545,267.448,-575.903,1956.03,19515.4
1.37006e+06,547910,-1635.33,-248.329,-950.204,-216.962,28271.3,8173.59,1305.96,-391.02,58508.3,-65.6041,710.95,-1376.27,497.367,-225.033,1499.08,8248.12
