"FSC-A","SSC-A","CCR6","CCR7","CD11c","CD127","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","FoxP3","HLA-DR","RORyt","T-bet"
1.34797e+06,320103,-2609.01,3901.31,334.569,657.847,15175.3,2660.72,7109.75,129.004,13119.9,176.413,47991.3,-2073.18,-790.705,6137.18,835.616,20086.1
1.34639e+06,290412,2581.09,19470.1,-429.383,3153.44,15256.8,55212.3,294.61,-753.915,-660.812,1300.08,1722.96,-859.654,-607.111,729.085,1261.01,526.366
1.79889e+06,535663,-761.017,536.151,-1141.9,16632.1,17944.7,3042.24,3800.06,5.67303,39263.9,874.851,1446.23,438.151,-86.0458,-782.982,3046.12,20840.3
1.29962e+06,318367,-1177,-1093.99,-1200.37,-1130.69,16644.8,1549.47,1773.25,-1037.52,50656.8,-23.4364,-337.6,3256.42,-90.9044,-1247.78,735.183,3251
1.64086e+06,543381,-300.397,-494.734,-453.463,1969.61,17969.8,19596.1,1870.51,-89.3399,6026.18,412.064,1623.9,-676.243,368.419,-964.561,401.881,9124.13
1.38111e+06,506144,-1055.41,-973.465,-964.293,-237.821,22058,598.702,865.945,-382.636,22831.3,45214,1911.23,-63.9,-595.26,49.9492,2074.34,4871.14
1.29437e+06,392938,-1104.42,705.527,-1646.19,1143.7,16195.5,24277.9,751.344,-541.53,24542.5,47.9343,1065.32,1769.63,-297.842,1108.26,2547.28,9862.55
1.33702e+06,227448,-472.646,1363.79,-1358.64,-1094.01,15239.7,1201.43,5216.08,-574.222,6274.09,420.844,2708.73,2267.53,-50.982,1981.99,2550.15,8072.13
1.28638e+06,288916,-1469.49,1510.81,-86.3922,2721.64,11240.4,1412.39,9279.32,60.1212,9021.19,179.966,624.579,1704.89,164.353,-592.153,1663.88,7676.71
1.72649e+06,535004,-1084.59,1099.27,661.681,1789.45,19016.2,36415.6,4729.18,-190.772,46312.7,1198.07,1784.34,1361.62,-386.301,2300.68,-68.7569,8194.15
1.57496e+06,506942,-1638.73,157.193,-635.954,2952.32,24463.2,4670.66,7605.53,-825.487,41995.1,14018.1,-384.063,1328.91,-321.043,-1441.99,1897.12,15500.4
