"FSC-A","SSC-A","CCR6","CCR7","CD11c","CD127","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","FoxP3","HLA-DR","RORyt","T-bet"
1.76576e+06,458010,49.969,-284.538,-352.743,1025.85,16718.2,6739.14,51905.4,312.411,105376,-523.934,1194.51,6215.62,-355.221,3693.77,3187.28,9917.89
1.3818e+06,494031,127.701,-503.471,-517.169,4602.72,14640.8,1867.61,1478.85,-203.79,55273.3,529.517,75376.1,2028.82,394.303,1402.21,2517.09,3315.6
1.27202e+06,265669,-1000.28,-204.186,-931.381,11420.3,12123.3,2445.23,-585.18,-455.877,-278.45,-33.7828,174.137,912.783,-209.361,-497.169,2524.61,9431.25
1.31085e+06,281747,-1715.48,1328.53,35.3738,-606.484,10645.6,3195.33,4765.24,2598.44,23473.4,10169.3,59403.8,2024.29,-100.928,10571.3,2061.96,17226.6
1.75821e+06,493088,-2520.33,2218.43,-59.5189,997.826,14731.2,18725.5,1334.94,-422.555,9003.64,253.506,28964.1,-2939.74,-297.051,1672.64,1338.44,19529.8
1.44276e+06,376345,2193.1,910.027,-1181.4,8994.01,8833.27,21030.9,1804.96,-78.1878,2357.79,-26.4382,5565.6,747.825,-98.4499,-753,1098.2,41668.6
1.41469e+06,308976,-1583.16,1189.98,-579.131,-357.087,10693.5,2316.11,257.625,-590.445,15159,138.568,1307.87,652.034,-23.8063,-201.672,1554.6,16512.3
1.70634e+06,873102,-4370.2,11666,-420.421,831.959,27943.3,1832.55,1938.76,-954.917,38623.9,4504.58,3595.13,-318.242,-1115.97,17208.2,6169.32,14639.1
1.42605e+06,489934,-388.633,1145,-394.751,2474.83,19040.7,23993.1,1907.72,-421.022,-170.245,-311.525,172.344,1577.63,-311.506,1099.82,1841.74,8602
1.3862e+06,667597,-2023.28,1832.12,988.887,-1119.45,24553.6,4412.83,2111.19,221.468,28499.6,1330.5,3400.04,343.209,1887.97,8877.31,1062.27,32244.7
1.39109e+06,788266,-2960.53,1409.17,3877.37,-150.389,20859.9,842.997,12072.7,-1288.54,83007.4,2390.57,427.003,3497.77,374.418,16914.3,2657.77,9415.12
1.5942e+06,623704,-738.114,2239.57,-1084.63,21.3372,20660.2,1834.28,3453.61,-1294.36,13309.3,-117.784,933.743,571.399,-518.66,1070.04,2832.15,10717.3
1.63544e+06,733960,-2860.03,1373.09,617.034,6634.81,26378.4,9986.88,27961.5,-1321.99,150327,1296.94,-981.855,2767.73,-657.432,5263.03,1130.74,9549.3
1.88538e+06,2.24999e+06,1997.91,-608.842,-971.333,5340.84,17817.6,139487,4035.53,2888.48,48950.1,457.248,360.055,68.6199,-1577.88,2746.08,942.011,7814.48
1.32628e+06,407950,-2421.48,917.79,502.998,3366.26,12158,11551.5,-401.313,448.496,32488.3,-308.876,-188.064,-407.56,-464.892,-742.947,1422.05,15990.6
1.90254e+06,838291,-3652.38,1028.81,136.784,-695.373,24815.3,22669.6,1030.57,-1187.69,10993.5,15330,261.873,-483.644,7279.02,5018.07,4789.43,20298.4
1.22597e+06,364719,-770.167,1842.09,55.726,3997.77,10935.4,1976.92,666.833,107.974,7750.5,43997.2,-879.672,-2109.56,8918.09,4984.3,1139.05,9253.15
1.96866e+06,506651,-1622.94,1228.82,-205.506,7903.81,19024.7,23003,1727,-613.396,36384.8,-422.116,4618.83,298.691,-581.941,3250.2,3405.65,16449.8
1.52312e+06,487474,-1654.01,141.685,-292.225,3453.43,21824.1,19459.4,4024.85,-564.225,47530.6,212.028,465.804,-839.525,66.9307,989.262,1565.4,29685.9
1.79617e+06,606020,-2166.47,2523.93,7.89407,-198.729,14375.1,4271.48,984.269,-529.761,14256.2,878.844,-534.332,-2001.78,999.884,982.536,1438.03,8702.68
1.35915e+06,485061,-2058.72,1752.25,1671.33,-223.557,16823.3,4134.73,178.575,-438.093,13136.9,638.703,-622.533,-675.375,4670.61,516.727,1201.01,30351.4
1.22261e+06,357632,-1886.31,2051.45,-133.461,63.9964,12998.1,14656.4,1007.18,-262.437,558.505,76.1585,324.098,1716.66,7.16478,-60.1987,1666.08,3854.29
1.34699e+06,385134,151.538,5582.18,-532.299,8147.8,14074.8,14084,2653.17,-722.782,-218.443,-321.072,1844.1,-932.377,-238.645,-689.127,1320.57,979.487
1.33442e+06,282576,-2126.86,1482.79,991.253,507.082,4829.7,7251.65,-571.638,229.976,37289,-412.479,-30.3617,5967.46,-1456.71,715.207,1596.33,4812.98
1.68739e+06,387028,-2209.62,2080.24,-345.001,3845.26,16771.8,18374.8,1507.66,-719.537,12031.8,73.3466,-90.0754,-1241.36,-391.351,1025.86,3358.52,8320.68
1.37831e+06,259277,-812.874,129.85,274.378,2262.2,13532.6,1908.86,9767.86,1298.93,12841.3,1825.81,28332,656.643,-24.8069,738.847,1082.99,2740.19
1.50745e+06,599420,-2521.04,3526.23,1322.12,1563.3,21724.9,28168.1,3936.2,451.494,80702.5,1092.47,495.309,1111.5,-816.382,8087.45,3303.71,22980
1.5964e+06,424480,-1617.51,2602.89,116.654,1706.58,13219.6,2848.69,2116.01,938.729,22864.3,821.713,1486.58,-1418.56,5044.7,675.538,1954.52,36576.8
1.68624e+06,484503,-3102.49,2489.95,-933.502,4312.88,19608.5,6533.45,1074.91,-546.903,75343.4,785.706,248.018,1105.93,-617.777,4345.33,2555.73,10687.7
1.4593e+06,553927,-2409.45,1789.92,846.99,4073.21,15292.4,9548.94,27819,-118.94,55916.7,-511.196,966.498,-1217.86,-409.77,1064.16,1206.98,7350.08
1.47825e+06,313524,-719.872,738.864,-30.2491,-131.714,9474.6,60287.8,-403.471,4138.72,6662.6,-1011.72,507.754,247.215,-6.00585,1286.24,-99.4568,1258.96
1.91594e+06,425389,-2102.04,134.584,396.267,4578.49,11638.4,16816.7,-273.569,-285.047,81488.2,2026.43,-1343.59,-426.287,-644.07,3049.49,3340.34,20597
1.61015e+06,699685,-2228.9,-2.88806,1001.83,2777.48,17096.6,16020.5,13611.6,276.259,22507,-398.217,-272.064,-720.652,397.084,5342.44,921.741,7371.8
1.47901e+06,344381,-1553.51,1240.73,32.8676,2549.27,13728.1,25438.1,806.319,391.087,35424.6,118.316,111.261,-1220.19,-505.778,2252.33,1613.09,28490
1.91813e+06,916513,-2919.21,2973.8,114.361,7892.95,30060.6,26811.8,285.112,36.7297,25256.5,257.929,-953.027,-918.985,549.866,1356.78,3927.56,21318.8
1.45936e+06,483229,-804.935,3121.25,354.337,20460.2,16969.8,27653.8,-309.629,-886.321,48312.3,-907.127,593.078,-2201.66,-179.676,592.254,3019.34,18347.3
1.39982e+06,427684,898.815,6585.58,185.316,493.529,14823,2540.23,701.098,9.87443,20008.8,-523.45,-322.729,607.048,-599.387,586.351,2712.19,5148.99
1.32702e+06,475717,-2368.79,1560.36,-122.175,449.401,18491.3,2275.04,2101.49,-561.66,29073.2,3100.18,836.911,-1358.54,91.0065,10667.1,1609.84,11370.1
2.05562e+06,517502,-904.167,363.837,405.715,7418.03,19574.7,29694.5,26387.9,-51.4556,63696.2,578.354,-1984.68,-314.996,199.911,3465.08,2126.72,6658.45
1.40427e+06,302137,-493.091,912.129,-928.144,431.01,11451.9,13484.5,181.681,-521.988,25921.4,-559.422,137.323,1368.54,-284.096,1079.02,2400.98,8622.74
1.99427e+06,309468,-2118.17,2028.55,1810.98,4750.6,13554.1,11464.7,4049.79,-5.77096,1942.25,-134.629,3697.39,-1228.55,-703.9,3505.02,1484.42,77379.5
1.55985e+06,431118,411.15,502.598,-312.061,3.49808,7104.72,5080.27,1610.59,-507.558,213.556,1219.4,37.9654,322.051,2490.79,2712.41,6197.91,846.314
2.05731e+06,311382,-2577.93,371.457,74.6915,3819.85,13992.1,5239.71,503.576,-290.851,64433.5,-628.111,2679.51,1131.3,-947.395,692.353,1051.19,17035.4
