"FSC-A","SSC-A","CCR6","CCR7","CD127","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","FoxP3","HLA-DR","T-bet"
1.45027e+06,460261,-1804.56,-731.136,20.5275,-1475.17,305543,6923.71,176.545,32018.9,-942.128,172192,4327.16,307.188,9706.63,32617.9
1.3733e+06,716437,-479.207,-1197.82,1249.26,-2187.54,511063,8146.89,33960.6,21222.9,206.094,110453,-198.716,802.324,409.113,12602.7
1.96935e+06,456156,464.611,-399.02,16096.1,11586.6,223491,546.97,15.7819,582.704,3189.78,8645.75,926.041,430.311,-117.402,32611.5
1.52946e+06,309408,-3627.85,396.108,-686.318,-1256.56,129442,4898.9,638.229,16650.6,14283.3,69144.9,1902.84,329.225,2043.34,6930.27
1.2824e+06,380314,-1273.78,1385.64,-495.956,-1334.58,112824,263.62,-121.03,6670.4,318.703,113385,90.9868,241.101,-443.578,30601.8
1.38524e+06,524087,-3485.65,1501,-176.455,-1249.78,141432,1418.98,36.0156,11771.5,9771.33,138436,1887.83,-303.085,8852.93,31337.9
1.39465e+06,424347,-768.572,1989.28,-610.798,-1524.99,373722,2006.6,350.746,1445.54,771.832,85050.4,-1608.79,168.456,-41.4355,16978.1
1.71971e+06,380470,-4.93674,-32.1809,304.042,4266.96,86034.3,36.4395,211.978,19188,1169.85,434.573,-312.987,288.911,523.55,39110.7
1.53469e+06,383995,-1118.71,568.736,-1403.3,7854.56,157834,1372.03,-639.484,18812.9,-36.3118,46076.7,-889.859,753.889,-41.8164,56488.2
1.59628e+06,733410,-4480.46,1644.24,1305.84,-1808.06,734948,15164.8,22021.7,51938.5,199.334,105841,990.163,-111.735,1770.04,66615.1
1.28182e+06,346503,-1592.97,1404.84,478.368,-767.336,24190.6,16757.8,1500.88,29715.3,-980.233,1975.47,-1165.07,-551.443,-325.53,13893.4
1.77728e+06,395877,-1794.58,1841.92,483.307,-2355.29,322262,536.522,255.91,6796.84,2122.94,98494.4,513.409,441.222,245.654,47585.6
1.51777e+06,472089,-867.269,458.447,3955.97,3532.13,355622,1623.24,941.273,1260.73,1215.84,4978.89,-888.116,413.96,866.357,42118
1.53455e+06,433060,-2546.61,2075.33,3669.66,-239.611,31359.1,2340.2,482.279,10672.5,415.177,133429,-232.871,124.732,-64.1973,4133.17
1.92431e+06,866235,-4407.07,4465.23,-1304.12,-880.26,147630,8864.44,-140.563,66507.1,-546.213,224268,-308.353,117.771,1985.3,45597.8
1.58116e+06,446890,-2846.86,1598.93,-104.856,-972.963,100676,567.851,-29.5808,65104.5,-306.404,109396,4187.1,-258.238,11671.1,59898
1.33529e+06,642649,-2349.75,1672.03,-162.207,-254.397,21128.9,36584.5,611.65,53002.3,22893,174909,912.366,143.942,4334.84,13751.9
1.40894e+06,429353,-2279.78,271.757,-1046.61,-3541.25,517068,2815.58,542.098,13603.7,-169.937,89556.2,788.88,858.719,-1139.43,58147.6
1.33961e+06,339468,-2316,2144.37,290.852,-870.502,141394,435.507,-532.882,1245.19,1325.22,83713.7,327.105,145.022,275.447,26001.5
1.65479e+06,423382,-1829.91,420.214,725.859,8543.85,60908.2,1427.3,-286.751,1247.94,-40.6417,21490.7,-9.88202,472.127,-115.51,65331.2
1.8536e+06,473495,-4372.9,1702.25,857.195,-591.241,33555.1,38565,119.534,37103.4,-244.717,150499,4964.71,91.5099,6637.26,24548.2
1.5551e+06,231727,-3471.53,997.896,4102.95,6894.42,192161,-411.611,-510.843,95.4638,157.031,10478.6,-1137.04,-250.554,-615.577,26623.8
1.63867e+06,296471,-909.213,219.753,3766.57,701.304,1628.79,607.082,42071.1,10489.5,-55.3512,39993.8,926.343,-86.4552,-326.03,6604.59
1.74626e+06,358782,832.96,795.727,-619.095,8720.83,77094,3813.5,-194.826,7941.16,3596.36,2292.12,-399.066,-164.135,778.268,47247.4
1.98098e+06,385033,-2480.81,854.818,-451.39,-659.779,14242.3,11147.8,-257.137,36927.5,9431.65,62405.3,2246.9,-775.215,-1373.78,28877.8
1.54191e+06,319978,-1176.74,1995.98,372.649,-676.651,93039.2,-135.477,266.925,-44.1437,51.6399,63658.7,627.856,-4.82703,-624.11,59373.8
1.64629e+06,370701,-1553.35,-139.221,-1359.03,6782.78,259906,95.4319,-91.1164,11770,167.177,10911.4,1042.33,447.53,-93.1768,42965.7
1.55186e+06,508777,-3474.62,1524.39,18.2041,-2381.32,468351,4368.4,53161.6,71849.2,127.332,65764.6,5320.37,-325.767,426.398,16591
1.48867e+06,487164,-1145.53,607.502,-1783.69,-962.623,109035,235.61,366.325,11769.1,964.14,105872,-80.6219,435.088,773.998,64723.8
1.55049e+06,454544,-1955.37,2323.07,-1086.72,-2692.12,440374,443.735,1112.33,13050.4,-176.716,112607,-22.0922,154.531,614.746,48340.1
1.37312e+06,343116,-2941.86,2860.78,-1316.04,-110.603,33202.1,-104.899,471.172,17480.2,557.53,64421.8,3582.18,-131.359,192.609,3064.61
1.49037e+06,298115,-1708.05,909.158,654.239,-2859.23,229654,850.105,630.78,2673.46,-286.451,79204.6,-351.384,-282.449,-105.232,7455.41
1.2501e+06,450764,-1650.77,1113,-516.223,-1844.58,359986,441.255,-289.564,13616.7,1374.2,131069,-1672.24,507.016,-1121.32,52620.5
1.42744e+06,410076,-1644.09,1062.06,-2277.6,-1439.11,226689,772.554,166.318,7625.92,4517.8,108113,-1760.89,311.732,43.0723,67079.7
1.48229e+06,428012,-1753.85,1055.73,-1052.43,209.121,22440.3,506.69,-270.477,23598.3,9037.76,127384,1990.04,-221.244,923.678,3783.14
1.63018e+06,568488,-4076.28,225.954,-192.008,-1516.27,413645,2799.27,5580.19,10009.8,-181.62,16969.9,8153.92,313.61,-326.756,16203.6
1.61142e+06,431396,396.436,454.849,-1095.14,103.256,31185.1,492.638,285.387,454.036,-245.782,143449,1465.96,576.564,-1570.08,62310.6
1.28582e+06,477989,-1169.82,622.649,887.179,-431.367,93165,419.556,-275.186,11368.2,995.748,119367,555.966,217.861,-353.629,63750.7
1.53079e+06,330730,-2279.92,1393.75,-2011.5,6402.27,163215,-197.524,-299.897,39413.8,255.94,5703.7,-3447.94,-103.877,10975,58187.5
1.33715e+06,319437,-1309.86,2383.08,3685.91,-32.0919,11859,2610.45,2877.3,46366.1,1006.2,136888,5018.28,-27.3201,-1519.26,3815.8
1.49245e+06,858982,-4853.03,3488.21,-934.687,-4460.76,583853,10642,71706.5,29488.1,163.509,163896,1692.88,810.433,382.832,9396.85
1.34913e+06,416579,-590.049,420.43,-1012.95,-2696.64,341455,2936.97,1339.31,8592.17,532.128,110033,1631.53,723.348,994.4,40572.4
1.49624e+06,751208,-2806.88,9525.98,15102.8,-978.716,111.782,48736.5,1635.2,7909.37,985.225,337359,-700.785,1399.06,2096.62,7596.6
1.8812e+06,352533,-4236.19,2787,-649.964,-1266.23,265336,589.5,-1036.01,-104.888,1309.38,120716,-581.643,-131.493,-976.053,53430
1.3365e+06,323884,-2623.01,3054.96,520.199,-912.639,43894.9,1014.77,-353.723,16758.4,172,92744.9,-971.223,-187.573,4115.6,45344.3
1.38825e+06,418106,-2843.3,608.88,-1531,-4006.7,596554,2234.26,767.981,12071.3,1009.96,69591.9,-1582.52,902.118,-989.123,46642.4
