"FSC-A","SSC-A","CCR6","CCR7","CD127","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","FoxP3","HLA-DR","T-bet"
1.4184e+06,468639,-2146.36,140.624,-539.627,-664.177,650148,8095.3,889.016,15164.9,340.765,110733,6322.85,417.461,-113.561,26847.3
1.78483e+06,304244,-400.925,3600.13,13471.4,-573.565,16686,2335.94,-96.5624,557.393,-166.701,22176.1,4510.4,-88.3029,1.09277,19582
1.57258e+06,320393,269.701,236.08,-1011.85,-297.619,15107.1,1431.11,-578.001,15860.1,-442.128,18459.9,3934.64,319.272,251.613,19274.4
1.53468e+06,385169,-3257.91,3525.82,1028.12,1204.71,568939,-758.307,-634.088,43815.6,1606.11,120712,2886.23,-365.307,661.885,45472.5
1.54465e+06,556942,1445.83,543.831,3778.15,7123.56,68527.1,4861.81,-192.797,11704.6,689.391,51011.5,-1697.82,-153.326,3501.94,31448.6
1.61196e+06,509920,-2170.83,4119.53,-695.33,25.3098,19257.7,860.816,-519.603,9499.08,630.41,162466,4718.4,-154.932,2770.99,12128.1
1.60119e+06,648375,-1363.84,1576.4,246.997,-592.546,8313.52,33763.1,842.394,32840.7,-773.311,33299.6,2942.45,184.159,1793.97,16892.6
1.90024e+06,455176,-570.557,3279.27,6803.2,-17.158,1279.7,908.72,-228.379,-232.615,7565.92,169151,-1070.12,577.677,1701.63,5100.33
1.3023e+06,419569,7442.57,3733.81,-880.333,26.8814,153345,3455.82,-428.442,1253.97,-259.649,1861.66,1171.63,7473.16,-520.392,1115.09
1.31173e+06,382008,1172.31,548.241,-136.609,-1685.88,254362,14842.5,-147.531,2311.3,-604.528,106804,516.157,467.069,-443.875,58551
1.39459e+06,321827,-1419.32,579.954,-18.735,7182.21,140192,954.913,939.916,1306.2,-216.521,30132.5,599.758,-57.3709,451.524,48343.2
1.55229e+06,538573,3091.81,147.18,3080.34,144.243,1960.57,4667.24,-144.742,44264.3,-297.242,74511.7,4461.55,237.226,-556.721,9123.27
1.46545e+06,430981,-4078.95,3318.62,82.3827,-1056.08,505428,1361.03,-165.42,2812.29,-450.639,203082,-1483.85,-317.028,1722.37,56635.7
1.76515e+06,382051,-764.255,1406.44,-354.314,-1248.74,180411,501.066,547.104,1092.77,-732.921,107506,511.647,53.6773,-121.764,73669.8
1.36625e+06,395856,-905.17,3266.84,-889.342,4805.79,47655.1,948.398,-977.576,-279.918,593.638,97.7812,-1241.96,12877.1,-51.9851,12266.8
1.9078e+06,499633,-1645.46,2613.94,4623.17,14321.3,55791.4,1681.28,-196.141,36877.1,-594.154,67834.5,-2398.17,-233.762,2685.88,34184.7
1.63674e+06,378837,-1437.67,2237.35,-512.334,-1695.13,583930,4626.97,287.784,580.672,-436.69,105360,-46.7897,536.955,2051.45,71422.4
1.93689e+06,570769,-1711.78,1497.44,-1099.41,261.395,570379,4826.06,-174.037,414.825,1394.55,130445,-161.826,486.946,-181.15,32327.2
1.45651e+06,436063,-2382.88,-332.62,-121.89,-759.66,8756.26,3952.93,-509.336,8834.28,779.182,69777.4,831.612,-259.764,-802.918,25305.3
1.53459e+06,333617,-3157.47,2610.39,368.821,-324.784,33890.7,310.248,615.576,2556.36,749.862,117932,2151.74,4.89969,-10.6641,6430.53
1.50088e+06,674928,-1081.26,2680.8,69789,41.8036,6410.33,12375.7,8341.89,20060.7,713.362,182187,2684.41,321.104,-186.27,8465.36
1.64723e+06,387013,-240.609,1751.79,604.136,-23.1258,296937,-178.121,-214.528,2207.06,350.207,77360.8,-137.457,-494.312,1440.32,55026.1
1.44694e+06,381936,-211.573,1628.04,-1415.68,-2479.91,344754,1621.12,368.138,1919.76,935.033,172960,785.205,819.684,-1722.2,53397.6
1.41042e+06,354326,-2752.53,42.4528,-32.3907,27.9318,8696.67,1490.3,-75.5336,7908.71,421.667,191306,2393.76,20.9341,-730.848,7374.33
1.4093e+06,357504,-2226.82,2120.96,2123.98,-1364.87,106238,519.384,-706.828,6450.89,496.636,75096,-686.275,-985.83,-546.682,45429.2
