"FSC-A","SSC-A","CCR6","CCR7","CD127","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","FoxP3","HLA-DR","T-bet"
1.53926e+06,305334,560.618,1322.43,8802.59,1487.15,235703,434.802,16.7515,546.096,261.287,106155,-612.632,175.986,231.988,37988.1
1.18651e+06,263936,-2477.19,4564.96,489.841,-250.156,221790,6.15878,-200.844,878.887,-68.751,95036.6,-1715.39,-473.282,957.182,61142.7
1.5862e+06,458375,924.887,1004.64,881.665,-1120.43,297544,2717.76,514.515,109922,-152.103,235775,4328.13,492.991,5286.99,60674.8
2.10859e+06,437636,-1066.51,94.2731,5307.49,6081.73,523216,271.636,-641.05,1165.59,116.495,24258.9,190.906,-47.5928,1590.42,54022.1
1.39646e+06,628304,-2167.57,1204.75,-107.056,-517.99,787725,3118.74,651.605,39110,-223.753,147654,5153.56,557.471,5119.92,6894.47
1.4525e+06,685870,-1196.56,1688.59,300.168,-542.952,44926.8,2673.41,5734.54,12858.3,541.583,82756.2,711.78,357.454,1215.99,21235.3
1.83136e+06,372662,-614.698,2798.82,2381.71,563.601,375697,578.503,-51.2389,4234.52,166.483,36817.1,-421.255,23.528,496.169,44041.3
1.5177e+06,476811,673.766,-579.404,6463.45,13345,345672,1173.11,-196.339,16941.8,157.066,18385.2,543.621,1234.54,-144.183,59383.6
1.53655e+06,458490,882.972,3464.78,577.387,12686.9,222956,987.812,-499.483,-1587.4,-737.571,35146.8,-3358.25,-144.61,1956.81,72755.9
1.57393e+06,289567,-776.976,4341.05,-676.906,141.213,374692,1593.06,-383.35,-362.754,-509.973,124491,-843.418,714.708,2292.54,48615.2
2.15411e+06,301654,-2815.29,3174.96,-2946.69,350.213,204937,562.409,78.6824,1419.27,796.977,111356,-904.748,541.376,3164.74,55198
1.40505e+06,294031,-807.687,1791.47,2364.66,13230.5,116501,274.462,1618.18,19182,-332.225,51875.6,1303.58,49.0227,11790.8,60892
1.42057e+06,511195,455.193,830.144,-1435.69,-80.9847,119928,1844.37,1332.42,17843.2,1166.58,111217,6006.6,646.478,3590.12,5675.55
1.75356e+06,679501,-2206.54,5756.77,2025.99,-570.712,419777,5642.34,25.8955,82928.6,985.516,273166,-106.42,-448.035,6786.71,89334
1.29142e+06,480137,-1567.58,1282.1,154.34,-1507.42,94409.9,2179.88,292.822,34996.9,95.1606,70750.8,7241.96,-30.5242,4443.88,4328.17
1.26253e+06,424692,-2689,5542.89,-372.651,-576.757,124524,1584.53,-268.407,43116.5,-445.4,158883,7917.04,114.415,4223.59,3415.66
1.42513e+06,378619,3870.48,4436.36,792.496,496.448,524722,1017.3,-847.161,14543.2,429.223,118101,-1475.12,490.298,1710.12,67961.9
1.79899e+06,315339,4013.37,1179.52,-946.721,20892.9,331570,938.033,-225.562,36541.1,-756.617,53769.6,406.06,316.009,865.121,44693.2
