"FSC-A","SSC-A","CCR6","CCR7","CD127","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","FoxP3","HLA-DR","T-bet"
1.4384e+06,350236,-810.756,1696.65,-25.817,7652.62,271177,1994.64,-610.704,1806.47,1173.05,61149.8,-1323.05,485.826,174.42,50689.6
1.47088e+06,286305,-473.26,2006.5,1298.11,-849.319,211663,912.59,501.597,1312.96,-64.3315,111366,1059.95,-216.409,2417.98,23300.8
1.92225e+06,1.11397e+06,-3956.72,1228.32,405.199,-3459.6,983424,2562.99,2736.27,91127.1,1372.55,289326,7917.8,643.146,2595.45,26421.8
1.51465e+06,454232,-2691.81,1529.87,112.538,26.4179,20713,4810.64,-162.473,58007.8,1115.03,101620,4759.66,-144.066,1147.08,3223.45
1.65074e+06,557995,1002.19,-510.065,5864.05,13665.5,246438,973.38,474.342,1218.93,1028.71,8711.08,1828,567.763,-1385.31,57675.6
1.85133e+06,398433,-2171.93,1271.46,-1613.71,434.516,392287,4117.87,5908.94,6839.63,100.43,53854.3,3687.95,93.6857,441.037,10942.5
1.64101e+06,297703,-2055.12,1897,-1024.28,-861.452,440684,1100.46,267.922,9431,384.852,72427.5,-2229.4,352.145,-169.689,57587.4
1.50581e+06,448259,-3558.35,1102.67,1957.07,22822.6,200749,1578.39,3111.8,33136.8,228.212,59367.8,-1029.12,-210.181,1531.23,56845.4
1.24789e+06,279056,-897.709,829.269,-393.863,-187.106,316722,879.002,175.163,4585.88,2078.47,6584.13,6948.71,136.203,116.157,1772.49
1.32679e+06,623264,-2080.71,1824.53,-1164.65,-621.601,60644.9,5672.91,-141.059,9804.32,16908.4,313407,17182,638.068,5347.93,4958.19
1.36654e+06,409988,-615.373,1087.18,391.328,-820.018,145379,1314.5,1172.61,28090.2,2672.28,121210,4896.98,-51.393,2608.02,4432.91
1.49522e+06,431761,2125.8,1158.3,2500.03,7591.08,345420,1845.77,935.771,1655.28,1029.9,40153.9,1879.86,617.789,-449.721,38562
1.53e+06,538965,3770.52,2572.02,5481.28,-857.773,11767.4,5205.04,75447.3,67826.5,6999.67,298042,9755.57,-45.5643,4248.59,2479.14
1.45831e+06,606652,-4681.94,1963.89,1247.29,-1516.68,715582,-123.279,532.056,45230.9,920.726,126159,6630.39,-378.169,3378.1,1706.59
1.25102e+06,396566,-1866.47,2915.43,-125.361,66.3256,39457.9,287.922,698.68,16462.7,-338.354,104454,4751.28,-194.204,5909.18,5296.3
1.41098e+06,298960,-2180.09,1380.96,1018.69,8670.17,328940,3926.8,-593.126,29143.5,4393.22,1585.4,6185.56,-425.453,198.891,4901.25
1.54759e+06,305442,-2838.19,2425.99,4339.75,-212.086,275221,1206.93,294.802,4136.34,152.223,109086,-786.288,-278.645,-579.4,54123.2
1.26946e+06,424213,-1025.91,4164.86,3882.29,-143.486,2956.14,4290.65,-375.631,3305.7,-264.036,91850.2,1829.84,-166.277,894.004,5835.53
1.34676e+06,486725,718.847,-675.952,353.82,-1412.05,130006,1058.69,576.597,17164.2,1124.04,26609.1,8804,466.578,88.1758,4017.06
1.42571e+06,445193,4127.14,1756.64,2416.95,12786.9,324448,5739.38,-271.636,5324.57,775.152,43905,-1163.84,-170.182,4504.75,56473.8
1.44493e+06,432386,266.308,2668.94,4049.99,-358.274,23368,2101.03,-232.117,6961.74,498.299,34024.2,5996.67,60.1963,-226.568,10873.8
1.94209e+06,432013,-402.853,-906.403,1209.74,6062.52,402651,3626.61,-149.736,2064.65,-75.4307,28463.9,1372.97,279.747,400.728,49126.5
1.48396e+06,869498,-947.158,1640.65,-16.3465,6.5928,14652.9,5256.11,569.205,9201.58,6237.72,70010.8,8902.24,92.6736,592.322,7933.64
1.52185e+06,380976,-2516.46,3441.78,1096.06,-240.392,128002,410.425,101.864,42483.6,-537.157,74190.6,4378.15,-656.204,935.086,12970.9
1.50556e+06,404016,-2754.43,2217.93,-997.72,-1117.62,249136,2221.3,-260.503,5189.31,1467.03,162546,-135.075,823.11,5170.43,82600
1.2692e+06,464923,-3358.2,1047.38,8547.07,-789.165,264979,22738.9,765.567,1233.9,1867.39,110833,2805.61,-78.5933,213.555,5788.34
1.69107e+06,338252,-953.492,957.629,227.378,-585.97,366186,1390.05,438.302,23322.5,4370.36,82928.1,3290.77,48.465,-242.123,3145.58
1.46945e+06,470508,645.292,2529.87,-235.424,-1171.66,518148,1534.35,902.46,11860.9,2237.31,155130,2129.36,403.724,1799.11,52918
1.29955e+06,231717,-1943.53,256.104,1367.78,-627.1,15888.8,16843.6,35.233,13079.8,6827,67110.1,3110.54,-423.992,-174.053,3523.6
1.62738e+06,886348,-486.72,-273.301,1446.25,410.425,129335,5311.44,7348.94,16549,-533.043,49137,1657.37,164.59,-911.266,41565.6
1.48755e+06,403672,-1051.13,1799.13,430.971,-1056.07,104823,607.41,205.119,1589.54,468.121,113201,3677.74,17.0921,614.879,15472.4
1.26043e+06,283670,-2320.86,121.467,-498.516,-300.716,433126,-290.158,77.7423,12953.3,-358.445,27697.2,3353.57,483.356,391.326,8788.41
1.26359e+06,425048,435.518,-695.596,3481.8,179.106,46037.9,5577.6,569.711,1082.33,13759.2,79855,527.614,-345.949,-170.318,2750.21
1.5618e+06,492366,-3024.32,2503.18,-105.887,-2329.17,567246,3716.17,202.967,41532.4,2549.6,132025,1564.64,-95.1582,4255.58,55108.8
1.34508e+06,441611,-1463.18,3356.07,-669.609,-291.316,277357,840.931,-406.771,2814.19,4289.55,109439,-732.966,168.411,759.049,42691.6
1.57104e+06,374723,-2320.88,4227.45,-19.75,346.804,417909,8449.15,-375.986,11076.1,4891.42,291532,7946.01,113.035,18977.7,4102.95
1.49368e+06,540038,-1999.01,2125.42,1078.68,-1336.85,355013,866.82,955.217,19234.6,20929,154990,8874.25,4.79665,1050.25,20154.3
1.47975e+06,213247,-1459.49,35.8609,-493.072,-525.241,17722.2,4061.66,205.95,21354.2,14428.3,43759.1,6599.81,-119.563,3159.68,5084.34
