"FSC-A","SSC-A","CCR6","CCR7","CD127","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","FoxP3","HLA-DR","T-bet"
1.50912e+06,611559,-665.684,3540.77,-1077.57,-78.4211,8588.76,752.367,1978.15,1428.27,-199.185,199961,4154.5,408.578,19329.4,31672.3
1.46072e+06,311333,340.099,1171.45,353.841,-2102.17,234120,794.206,126.67,9481,884.569,81963.8,-949.321,628.209,-168.742,42715.4
1.60091e+06,336338,-310.114,600.68,380.073,58.628,15223.1,-720.064,-169.717,5899.88,-436.311,15117.6,2280,-188.105,-771.23,17291.6
2.31899e+06,444870,-5056,3792.41,121.981,-428.373,32518.7,2720.44,-349.856,8921.09,1022.88,117275,7829.23,-254.523,10876.6,5294.58
1.54668e+06,352088,-782.831,5193.2,674.189,-319.006,29936.6,2818.72,845.198,3107.93,487.524,119255,1711.7,573.155,-148.646,4586.62
1.58864e+06,390418,-1174.13,2759.59,175.576,226.756,21706.9,2332.67,-381.594,4396.88,-222.834,62196.2,-17.6152,-242.704,1113.95,13124.8
1.82565e+06,457595,-3360.06,2916.27,959.123,255.999,26211.6,66.5025,-895.905,19551.8,-149.384,226079,3071.09,41.9255,9056.15,5098.24
1.90678e+06,608450,-1103.06,5345.29,-819.432,-520.903,23453.5,584.327,1662.41,3245.2,6863.28,230099,-2367.06,559.53,8492.65,65736.6
1.27607e+06,261006,-2259.79,1084.45,-905.218,-417.648,17719.5,7893.15,944.61,12488.3,-118.661,103864,6480.12,-20.1036,12682.7,2394.54
1.39416e+06,460969,-1290.05,1274.81,-4005.21,13986.5,8869.85,-408.371,567.234,-247.618,366.657,126219,-111.87,496.391,1498.36,63584.6
1.61093e+06,240222,-906.102,1157.74,-356.444,5057.36,13954.3,12487.3,15.5373,2884.62,-249.988,32376.1,-144.108,-33.0318,5512.33,33188
1.46378e+06,400373,179.582,1835.93,-1666.82,-119.601,3122.89,736.971,-208.845,1774.42,-148.548,87193.5,506.955,-100.196,-1208.07,29483.7
1.66591e+06,503311,228.18,1332.92,427.34,-286.776,40315.9,518.98,139.739,2234.8,1044.49,84666.2,1105.67,351.901,-433.311,55890.5
1.73937e+06,510928,-510.046,8085.12,425.585,154.925,90439.3,1459.38,-130.687,2487.61,1527.21,234415,327.009,261.264,5108.34,40045
1.48992e+06,325436,-2043.92,26.4182,-241.279,-503.824,46345.8,2998.7,3879.79,26041.2,-605.335,64728.6,2785.45,145.954,5173.5,3490.67
1.43235e+06,533379,519.683,1153.72,1189.31,-128.486,1302.8,791.742,270.178,2558.84,-848.009,94655.2,3639.81,-34.1635,1048.54,66826
1.33971e+06,260713,-1439.5,1387.5,-3241.29,-197.76,33154.2,24.3774,-432.477,2921.14,-3.49658,47899,-1749.03,282.37,-550.649,89744
