"FSC-A","SSC-A","CCR6","CCR7","CD127","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","FoxP3","HLA-DR","T-bet"
1.65926e+06,426078,-2064.37,1328.58,1291.83,12449.6,233606,9750.65,-141.62,-1608.45,1172.95,33264.7,-1940.84,283.861,-473.813,55195.5
1.71244e+06,687608,-1716.51,-123.11,-594.465,-1447.52,120164,1319.46,110625,32203.9,353.826,189270,785.978,205.323,-1451.01,35579.8
1.38951e+06,445930,691.327,-841.717,-33.732,141.729,13334,149.506,1634.06,4444.19,505.707,87062.1,2323.96,309.428,-736.541,21947.4
1.27807e+06,309995,-2354.71,1365.33,-1461.06,-202.319,174760,444.313,-198.062,2720.95,407.518,80533,-1096.73,458.325,-1114.32,14717.6
1.23554e+06,566300,-4449.4,439.273,20.5268,805.302,241541,120.84,85044.3,624.207,775.979,12789.5,1548.63,-189.853,-566.271,4179.78
1.32536e+06,367108,-4333.42,3758.51,-240.005,547.361,358888,11.6212,-692.772,8373.01,-361.516,65679.2,-2525.08,-806.67,-9.11914,44058.4
1.46276e+06,472241,-1716.09,528.097,-61.0705,316.022,145738,777.299,-509.451,1917.04,426.887,142778,104.192,103.809,-86.8672,14656.8
1.40698e+06,240153,-1492.83,2392.27,-25.4382,257.179,33300.2,1421.81,-639.195,1153.32,963.319,75481.1,4408.75,7917.99,3433.04,2370.96
1.30603e+06,398043,-2753.2,3118.01,1103.34,-808.502,93994.3,1163.98,715.392,-128.59,-1176.25,84115.6,-1671.22,107.235,3754.23,48143.6
1.31439e+06,437629,-409.761,49.3572,1909.45,522.425,4901.21,13997.2,13834.9,31623.3,373.029,259942,1596.21,627.774,362.371,13809.4
1.63172e+06,433000,-1663.41,2458.12,3406.78,-142.765,24033.1,981.629,3865.56,1762.83,172.714,45250.6,1202.44,487.671,338.617,24189.3
1.70496e+06,444045,-3088.4,6918.53,2085.62,450.923,1226.64,-398.866,87314,15683.5,726.826,225341,7844.84,-115.08,1045.67,2085.36
1.49992e+06,288629,-1941.38,425.697,-910.517,415.251,16001.8,2845.67,845.696,8733.21,499.825,104909,4675.11,-162.081,4155.64,4526.56
1.60217e+06,537034,-3278.48,6751.89,2279.93,-1038.84,2116.3,26211.8,-742.94,29851,893.412,245879,-737.277,-101.391,-617.352,11272
1.76797e+06,305215,-1250.17,649.881,915.769,12035.4,20892,1369.78,443.72,110.356,-673.825,1628.74,-144.213,-59.2547,1620.23,25968.8
1.79102e+06,417425,-3396.92,186.197,616.319,-262.772,362966,1173.35,387.546,16140.2,206.993,62932.9,3064.91,105.447,-227.083,15836
1.25358e+06,287254,-2230.28,3459.5,-1155.07,-91.7128,120390,788.179,134.943,-1268.82,1799.82,54863.3,-1315.44,-86.9834,176.369,17120.1
1.81502e+06,462947,-2553.06,966.456,-1714.21,12818,426730,1714.56,173.194,8826.89,1042.14,37862.5,2.85114,506.131,2485.51,69442.1
1.96581e+06,462516,-1995.52,3684.39,1253.21,9495.25,49813.4,-567.394,-678.038,284.859,64.5146,9737,-1352.96,505.723,1038.7,21722.4
1.42602e+06,359907,-247.139,1117.55,4401,-615.576,66074.7,1100.92,-677.001,622.056,189.463,112704,1444.99,243.902,430.52,18290.2
1.96423e+06,557111,-3126.57,27693.4,12837,-178.01,15331.4,151.878,-626.486,-40.6237,631.537,117090,-698.277,-678.709,1259.64,3971.01
1.50663e+06,338036,-2882.76,2692.58,431.483,180.084,166003,286.948,-495.624,13504.7,671.448,98403.6,4043.15,-195.811,825.561,22253
1.65328e+06,377080,-1598.56,951.644,927.442,-593.21,34608.9,6347.44,-101.598,25059.9,-275.037,104464,973.339,70.4028,-183.203,12069.8
1.80985e+06,455083,-1090.56,444.607,776.461,14398.7,151142,3927.88,235.194,1469.65,-23.4907,25124.8,2.24548,3451.12,4160.69,38553.9
1.87239e+06,381224,-463.723,1025.15,124.156,12055.5,143430,2307.11,-491.078,1241.47,29.1687,18236.7,-254.247,851.28,2909.42,54532.9
1.5323e+06,581172,-3035.18,4498.54,1051.65,-991.588,2235.96,21950,-68.8139,11307.9,849.375,111853,-1063.58,-332.364,1500.69,9586.62
1.65834e+06,621650,-3449.32,-261.573,188.835,-1613.29,581806,211.174,448.554,13097.4,-669.813,10119.3,12087,-155.761,302.094,3272.6
1.56456e+06,337139,-2629.12,2276.13,506.319,74.7763,19993.4,44.404,2486.87,9919.22,24099.1,102009,1359.99,-512.933,12565.3,15112.6
1.65897e+06,652901,-3966.67,2795.81,599.155,-2415.78,427198,2434.53,55151.2,16259,573.312,301403,1703.66,1106.93,1087.91,27587
1.53409e+06,350724,1483.82,2188.94,-293.594,5627.41,30317,-268.931,293.543,-2030.83,403.533,11110.4,-2463.64,-193.726,489.161,34479.3
1.33678e+06,600521,-2644.81,4257.36,495.695,-42.2197,7931.05,6624.9,-126.774,19499.5,988.876,117607,560.94,-185.139,1194.36,22688.4
1.51763e+06,291215,-3368.6,1155.42,-937.034,91.3608,236038,267.034,1375.01,12414,-107.754,38106.7,3458.35,123.62,-372.506,3075.37
1.23466e+06,543117,-3288.3,643.357,1143.01,189.876,990355,3494.05,1015.24,34733.2,-456.991,45220.9,5140.16,298.988,1502.39,4048.84
1.81536e+06,492304,-1156.52,2539.63,-597.107,-1410.75,59059.1,1985.23,-174.239,24739.6,53.145,53475.6,5598.13,397.886,11770.7,7697.64
1.28326e+06,220496,-2378.06,1515.48,-674.423,4826.43,47294.3,934.468,-176.222,4860.15,13.2839,10747.8,-1832.81,114.976,282.279,16547.1
1.63653e+06,474892,-3901.43,1982.43,2277.3,7675.47,229077,1297.1,-191.98,-408.945,91.1083,36173,-757.312,-466.114,663.739,69095.5
