"FSC-A","SSC-A","CCR6","CCR7","CD127","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","FoxP3","HLA-DR","T-bet"
1.28155e+06,563921,-2788.97,1451.44,-286.833,-987.814,319995,1896.42,445.881,13023.4,2175.58,91955,3456.55,380.179,782.465,5434.83
1.64071e+06,458685,-2661.07,1399.06,303.448,-1.4053,520105,1829.4,298.01,12075.5,13699.2,128027,3962.85,398.249,1174.77,32795.8
1.56826e+06,370593,-1227.03,873.707,2348.62,11187.1,46172,1031.96,-390.432,11085.2,447.292,7975.94,-1475.81,-295.18,271.129,69596.8
1.55811e+06,364884,-2597.75,1049.66,-324.096,-9.5089,68374.3,4069.96,2334.12,11336,2028.54,84933.2,2587.81,-248.366,3214.12,21550
1.24791e+06,262073,-2115.04,1746.99,-564.002,-413.373,35895.9,333.685,70.2132,10743.9,4598.48,57993.4,5914.26,-97.6042,266.186,4660.01
1.28788e+06,424748,-793.323,953.214,1065.61,-1752.01,548832,540.402,21.828,8229.69,-404.227,138788,950.098,651.982,-754.35,12031.9
1.46934e+06,537974,-1803.64,3426.26,-607.943,-388.901,5070.86,14491.1,-407.17,17521,4190.56,130801,571.813,2357.45,1220.07,13887
1.34076e+06,516808,-3326.45,20.168,2567.92,-1091.51,363871,5915.77,92309.1,7486.18,-96.7363,13575.9,3169.38,83.753,-688.395,17263.6
1.38736e+06,718787,-1830.8,1757.84,1084.48,-1.22531,490452,828.99,3324.14,8791.96,713.445,110575,2439.36,412.235,1735.17,23382.4
1.53119e+06,427042,-1049.02,896.405,-871.968,-665.634,1280.62,15396.6,4670.33,6418.54,1939.8,106487,-265.331,109.91,729.295,7801.84
1.5196e+06,551499,-4108.59,2138.12,-536.1,-2166.72,653440,3391.36,162.021,8310.3,1122.36,147756,1955.03,1828.45,2192.07,31919.9
1.38519e+06,645553,-3022.51,913.485,694.589,-893.627,128137,14546.2,30398.3,10944.2,462.519,60892.6,1785.85,246.956,-1.49023,26854.5
1.47142e+06,256052,-1759.77,2936.9,2424.68,-273.731,14885.9,2019.46,-240.658,95.1841,504.731,108336,1306.17,-159.275,1187.2,31034.5
