"FSC-A","SSC-A","CCR6","CCR7","CD127","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","FoxP3","HLA-DR","T-bet"
1.60402e+06,355505,-799.641,155.283,5237.26,4915.73,34180,781.692,131.487,991.303,-502.319,3786.35,-219.242,5.55331,2312.66,36271.8
1.41642e+06,309530,-3643.68,1321.27,923.834,2183.73,279996,1092.69,-198.619,29806.6,5211.35,42444.4,5907.73,-547.475,70.373,1124.47
1.25347e+06,318551,1808.05,470.339,3123.56,9785.46,109948,348.649,693.248,2590.38,-990.325,1171.95,1515.63,112.416,-0.401367,58420
1.53152e+06,426519,412.625,-110.448,-535.2,5735.44,137099,1091.28,-210.889,598.603,2119.72,12351.9,-1059.05,-84.0306,-1197.95,40756.4
1.50327e+06,313292,-793.976,386.034,-125.848,528.944,51763.6,607.082,797.809,7529.64,291.189,86505.2,718.765,-230.321,943.865,19962.9
1.38916e+06,447418,-1079.39,1029.62,-1123.09,-904.769,295250,944.199,241.346,6239.91,411.349,83736.4,401.307,-56.5579,1466.42,34439.3
1.24492e+06,245497,-1846.87,1462.62,-1583.43,-463.02,20369.1,346.614,312.263,0.125355,640.69,40610.4,-1481.89,-72.4345,96.4189,52374.1
1.48183e+06,310847,-1187.86,17.8103,1032.2,4408.08,211298,1616.81,-200.694,5427.4,203.34,220.147,-710.963,77.7837,-1323.92,14859
1.60931e+06,267141,714.004,606.304,-338.443,-1573.29,263416,2004.4,657.019,402.016,-293.754,48089.4,960.448,31.1459,668.33,36623.4
1.55773e+06,256255,1505.57,355.393,1379.54,-1198.24,70220.6,638.824,-583.436,13064.6,-409.099,40918.1,-384.433,233.871,-679.432,20608.7
1.82904e+06,308468,-918.819,1496.62,-361.768,7767.19,77275.7,12.7583,-391.66,23087.1,32578.3,20920.9,157.987,37.5673,309.223,29400.6
1.50553e+06,420805,-1709.08,1330.51,8155.84,8119.21,117420,75.2718,1645.75,5140.48,3373.27,955.033,-227.321,-434.064,-214.781,19763.6
1.6556e+06,496756,-3289.26,5725.63,3324.05,-3444.31,3995.58,70103.9,1041.63,41854.7,-670.164,60564.3,4802.46,-919.684,3259.66,10006.5
1.45186e+06,427843,-839.492,1208.62,1799.02,-10.1424,13872.7,249.44,2327.7,724.437,598.557,1642.85,-55.7682,-618.342,756.404,29144.8
1.60499e+06,235980,-1752.42,2109.94,304.074,302.37,45837.2,2799.06,47.4416,18528.3,172.936,37638,2642.42,-233.788,-192.334,2888.4
1.9968e+06,431154,-2588.33,1756.9,89.4435,-630.844,562873,3228.78,1733.05,10838,734.452,119242,7715.27,407.03,728.074,7907.9
