"FSC-A","SSC-A","CCR6","CCR7","CD127","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","FoxP3","HLA-DR","T-bet"
1.31044e+06,364125,-2186.55,1772.45,-285.037,381.012,433251,677.109,670.457,664.641,2952.23,99306.8,-1197.44,791.355,1540.43,35831.7
1.61922e+06,418788,530.703,1779.08,-465.56,535.913,28073.7,1482.38,-674.579,2243.56,904.318,159880,4021.22,463.031,6812.15,21869.4
1.60672e+06,383895,510.215,758.147,-457.519,-971.567,223035,1313.75,76.833,3660.62,2887.42,123782,374.954,138.413,529.27,40269.5
1.79404e+06,381020,-152.286,22.965,693.327,11248.6,226008,1011.46,535.618,5509.17,767.664,1880.96,859.527,73.177,-550.261,79040.7
1.28906e+06,388707,-2337.89,647.011,521.114,927.532,64013.1,1180.34,31.9972,18599,17507.4,118049,2554.27,460.55,147.709,6557.14
1.97348e+06,373863,-2918.88,4633.72,2570.04,-1571.33,383788,680.785,296.928,1202.47,-277.036,194041,-2462.27,355.609,2456.96,47661.8
1.38538e+06,367248,-1233.87,1850.61,85.8034,-318.398,21085.5,351.716,-171.865,14422.7,954.061,59405.3,6776.34,-261.867,3264.52,7083.84
1.86052e+06,479253,-386.696,2585.43,-86.3927,-511.112,432404,2769.63,857.77,966.61,3904.79,136557,-688.128,23.7951,4859.32,46433.7
1.752e+06,302027,187.775,-199.92,48.7633,8688.14,48761.1,1063.28,773.352,-251.404,-476.589,88446.9,315.87,617.608,1150,63114.6
1.36573e+06,326565,-2049.24,3115.34,-305.105,-1405.51,370118,1247.32,745.466,7591.21,2204.11,129621,56.7391,204.441,758.336,23780.8
1.97704e+06,478500,854.358,3679.78,3079.5,-1050.7,141155,2509.24,367.665,460.483,5943.23,221788,1212.45,362.981,2003.17,45281.6
1.57914e+06,471032,3326.2,1501.05,1446.12,9959.4,280640,2308.39,243.406,2131.5,3284.61,24131.9,-1857.28,247.289,1314.37,61193.8
1.90944e+06,520487,1741.55,1611.43,1966.46,-901.232,247605,2229.56,218.961,8876.08,6911.26,167836,1233.49,274.175,-420.316,63304.8
1.29955e+06,424050,-1763.47,263.068,278.548,12773.9,476618,599.015,-43.2055,1430.36,185.791,8750.57,-1127.38,-316.609,950.241,56698.5
1.4975e+06,431688,-865.598,950.984,4466.34,12284.8,238951,2576.43,280.673,722.944,-28.2368,71024.1,304.185,-85.9413,821.266,51482.5
1.5085e+06,283510,-858.874,704.187,229.619,-255.255,125361,2202.01,-302.085,3.71468,2346.94,94469.5,373.359,-31.5624,-196.4,39186.5
1.62662e+06,557843,-1415.21,1804.42,4706.32,73.8887,17607.2,4352.03,190547,2306.31,25977.7,83828.2,540.583,114.645,-163.803,6618.2
1.26729e+06,442278,-476.28,1342.71,519.276,559.914,95899.2,-68.4617,667.152,3319.09,-369.127,91789.2,1032.11,-163.266,1789.78,70416.1
1.65593e+06,580581,427.935,1807.1,-874.679,11192.4,247765,3459.79,425.8,420.977,187.61,84719.6,57.6619,517.197,1932.66,75039.6
1.32693e+06,328482,-796.017,2470.07,434.581,-968.711,13413.6,10406.8,3029.49,27929.6,-194.097,113408,210.738,228.794,1881.07,10219.6
1.5336e+06,610412,983.372,1107.34,982.651,27.963,77812.9,1406.6,209.611,19296.9,10832.2,66237.1,3996.3,47.0948,2313.21,3747.6
1.76029e+06,396677,-71.3975,1996.7,-382.656,-389.998,222308,1035.98,-122.011,-320.044,726.771,161495,-1365.94,406.96,979,37776.1
1.43202e+06,410758,359.371,2008.13,-1118.27,1269.62,210673,368.657,294.174,4720.46,5313.31,120120,-457.406,116.065,2713.08,51543.8
1.95172e+06,268886,1865.95,588.566,787.864,5696.57,293846,785.148,540.349,1335.23,-326.031,28749.4,453.728,-480.854,1309.97,52225.9
1.73143e+06,389325,4138.48,1183.03,-2386.82,-2260.63,438685,1776.69,538.788,1776.31,1840.72,163685,491.891,730.608,1699.24,45658.2
