"FSC-A","SSC-A","CCR6","CCR7","CD127","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","FoxP3","HLA-DR","T-bet"
1.43667e+06,392892,-1205.84,1036.3,34.8204,-2196.91,676500,5409.6,2133.23,51378.2,-439.531,72191.6,2290.89,1031.58,1952.44,18324.7
1.52403e+06,490981,-720.21,-478.517,17378.4,10566,234655,1048.6,-537.699,2996.29,-50.2242,744.917,1081.06,-376.184,937.644,48057.5
1.90827e+06,696001,-2095.85,1836.97,-1372.27,-47.771,10521.7,4847.88,4593.02,4952.6,-924.578,97680.1,3000.13,324.864,1092.38,30725.5
1.25544e+06,361231,-1329.25,1554.27,-501.628,145.796,4651.66,7987.69,352.992,9669.75,423.521,27171.8,2876.99,163.856,1935.48,11599.5
1.63849e+06,232913,689.865,298.779,1026.57,14204.8,54963,830.177,-110.535,40829.4,-907.877,215.09,1743.6,331.31,440.616,20202
1.687e+06,509235,-4449.22,3118.44,963.573,795.51,658844,7082.27,2479.81,46360.1,583.375,115056,3215.57,67.2005,19285.7,32518.3
1.35865e+06,424972,-707.998,-6.29376,27970,11169.8,223735,1804.66,-117.719,10852.2,-294.071,1486.59,2297.06,4.48295,333.084,49958.1
1.95575e+06,283699,-1333.72,1279.76,400.409,-103.179,48859.3,5419.87,3982.12,28478.5,-573.057,43591.7,4284.41,122.315,2646.86,4197.16
1.36194e+06,257574,-1584.66,2096.05,63.6478,-488.24,83301,472.274,-358.294,31619.4,381.7,23385.9,11229,-419.435,1183.17,4024.23
1.3181e+06,368905,-3776.67,1668.88,-542.416,941.22,232432,2429.2,596.637,18795.3,-80.8169,98890.4,7936.73,-160.433,6168.96,12437.2
1.38707e+06,439654,-4402.77,5261.53,-905.57,-1085.18,143634,5545.74,346.498,19540,1112.23,166749,1469.3,-371.527,4033.73,28698.2
1.53506e+06,344227,-1942.7,2657.55,-547.488,762.553,7801.34,-696.228,9670.53,41591.8,205.019,23056.1,3945.67,-739.231,364.713,28095.6
1.26828e+06,394639,377.39,853.235,3889.62,9095.4,434630,2804.78,388.288,20761.6,540.439,1805.05,2442.98,203.297,-279.207,31663.1
1.83116e+06,504588,-2143.58,3867.76,2601.19,-34.8511,40540.6,12026.9,2169.86,-725.572,915.064,89818.8,466.894,-660.366,-3.52344,18279.6
1.45988e+06,338089,863.134,1906.64,1734.28,9322.28,159734,338.464,-369.54,27231.9,338.736,13530.6,-165.778,-494.232,1246.49,43062.3
1.43737e+06,475109,-1832.79,2534.98,4402.42,8877.74,386496,2499.07,-1056,81001.9,-351.224,22041.1,-266.827,-578.999,3036.34,57578.3
1.52637e+06,472833,3397.26,238.024,7990.61,13883,366229,1151.83,-307.689,17606.4,483.294,-195.98,420.866,477.723,835.139,42437
1.87758e+06,480585,-1921.45,3098.47,7152.68,10503.6,380459,1791.14,-61.9387,18049.2,1355.5,24333.1,-1584.75,-605.536,7135.16,85759.5
1.53665e+06,698252,-1017.47,2955.46,-213.186,33.7563,19658.4,16091,12.4085,35440.8,681.554,144888,256.932,433.501,6469.52,21429.3
