"FSC-A","SSC-A","CCR6","CCR7","CD127","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","FoxP3","HLA-DR","T-bet"
1.74833e+06,416350,-1652.26,2988.84,-2399.66,-2613.64,406318,3720.56,-24.5982,3588.62,-255.384,177098,-987.813,1003.06,2407.62,52792.8
1.4967e+06,479426,-779.704,1084.73,-853.998,-1677.03,337182,2081.02,-274.493,82221.6,624.742,193865,713.195,298.115,382.645,19499.7
1.42652e+06,375231,-1131.7,461.731,66.5054,566.593,4391.4,7689.29,17870,12157.4,329.094,40092,1896.2,18.6024,1502.07,7922.85
1.98356e+06,452100,-2183,398.072,154.424,11642.3,263223,430.361,-279.435,31259.4,1221.82,25794.3,768.919,-113.83,3074.58,57523.4
1.47298e+06,470350,1659.1,-91.9169,-274.5,438.988,58978,1917.53,-467.789,38792.4,33.9121,176147,2568.13,461.08,2746.93,28960.5
1.93389e+06,482652,-323.775,3740.57,-3945.47,-1367.04,177953,3627.13,-410.171,595.63,360.844,164462,-1756.21,858.97,1044.84,72636.3
1.4399e+06,392364,-1015.22,978.663,-595.101,393.335,170007,15352.8,491.344,21729.3,56.1758,129357,1239.04,43.2845,437.133,11863.6
1.42704e+06,270674,-749.96,986.832,27.1068,-525.684,65772.8,-121.853,492.433,1599.75,-302.15,67438.9,653.588,552.468,1396.71,47448.5
1.48383e+06,554498,-2221.64,794.032,209.911,-3678.22,499584,2649.6,673.933,10927.5,21522.8,113337,231.148,702.929,-924.219,34819.3
1.59013e+06,396822,-2012.51,3205.78,-556.896,7920.11,306262,1242.87,-806.337,369.737,468.228,9123.3,-527.178,-6.1249,221.309,42715.9
1.51876e+06,979283,-1218.5,973.974,-679.577,-396.989,11141.1,12362.7,102.87,62746.2,14726,48696.8,1959.41,-197.05,3121.32,5173.14
1.43931e+06,467996,-204.961,1276.51,-865.739,-233.033,35965.2,2991.99,431.252,13197.4,6685.27,65146.5,695.6,38.4033,-2000.63,1954.74
1.5001e+06,420715,-1360.27,3277.77,-1966.47,-812.725,123625,513.519,308.471,4546.45,-650.547,109090,-162.61,-265.203,3109.09,36871.2
1.28639e+06,293698,-3071.09,5139.24,322.505,-139,20939.6,2653.76,-282.751,24501.6,39245.2,187072,1060.28,-505.599,6312.29,7449.82
2.04512e+06,919468,-1115.58,1298.01,60.4997,301.004,16437.1,35389.1,53240.8,61728.1,5442.66,61642.3,987.973,1200.29,897.014,43605
1.32167e+06,408116,-2449.33,972.416,457.451,-385.051,546924,517.031,137.275,21881.5,682.556,37167.4,-782.772,-307.03,-989.156,29984.1
1.28691e+06,338389,-2455.91,1314.72,-576.241,146.554,7362.28,983.283,3167.47,28997.7,11983.8,105566,3478.96,-530.996,977.373,7263.75
1.3166e+06,337188,650.475,309.966,2816.01,3859.42,235682,429.326,159.539,11124.6,1379.26,5737.2,-131.516,-362.749,381.854,37908.8
1.74097e+06,375977,-3823.8,3745.98,426.58,-308.169,28602.3,1471.91,-482.067,4247.19,13260.6,81752.6,463.519,-233.421,12845.7,5779.74
2.16006e+06,689403,-1071.68,340.362,353.68,123.437,3154.37,12651.8,80846.6,50502.7,414.968,14032.1,1219.98,413.044,-1302.11,16375.9
