"FSC-A","SSC-A","CCR6","CCR7","CD127","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","FoxP3","HLA-DR","T-bet"
1.46024e+06,366434,-2424.32,4918.93,372.672,-480.266,26031,309.916,-269.901,2216.08,639.386,154829,-1066.05,-298.928,3578.04,40770.2
1.75843e+06,317960,-853.236,852.779,2762.87,768.482,70952.8,2804.44,-580.4,220.456,14836.9,110962,-315.405,359.096,-408.08,52268.7
1.67538e+06,379630,-1078.66,3114.72,-1020.37,901.37,186903,715.291,-193.948,1449.85,875.537,110107,-1330.91,-105.458,2412.57,48141.6
1.48124e+06,283987,-1030.91,644.322,301.449,5814.69,310778,1240.03,285.701,4558.38,52.0596,26578.6,-531.533,582.021,3553.09,55301.8
1.84585e+06,530392,-3652.27,5216.65,1131.49,-1027.5,2563.05,31363.8,1246.35,6357,9957.01,142806,-653.905,260.652,8316.45,29845.1
1.71438e+06,473974,1368.58,1179.56,-437.475,8966.13,489046,1550.7,630.014,9354.95,-421.036,83954.3,2309.61,461.774,239.588,61655.8
1.37872e+06,378457,-3204.45,6120.54,213.785,27.1556,15382.8,2445.96,-686.89,42821.1,899.967,115926,4148.85,-425.136,4525.17,9576.64
1.71898e+06,553725,-2018.11,4766.88,-196.366,21.2596,2874.5,7412.75,550.471,20100.3,1217.54,110637,5983.54,148.004,2219.8,10253.9
1.30817e+06,310901,-2708.89,2076.71,-868.64,9653.56,264547,203.03,13.0733,8639.23,607.319,41758.5,-1498.4,297.012,4794.36,46943.1
1.63347e+06,476247,-4139.69,8341.63,1489.23,-138.097,43602.4,7672.49,1059.87,16025,6870.08,142606,1847.7,-764.597,3943.5,10266.3
1.63544e+06,301701,-1134.41,1873.92,-95.7314,-807.261,9686.41,4837.34,-297.158,17147.7,899.669,84602.3,1988.05,46.9089,-771.781,4768.18
1.63032e+06,429604,-2826.59,6249.95,-842.451,270.17,14893.4,2428.89,-336.532,28215.8,787.499,134633,1000.17,-275.474,1340.71,7672.57
1.90295e+06,360299,-2687.78,5047.17,-2431.13,-592.738,11576.1,19440.9,1474.37,29291.5,13815,183699,1764.26,-6.11467,3298.23,27285.6
1.80701e+06,484280,-1153.92,-459.172,558.99,-2239.77,261526,1804.85,617.651,847.49,3328.95,200870,1807.82,814.049,25636.7,56230.5
1.426e+06,452843,-1052.84,3376.2,101.279,-372.764,192099,956.339,381.179,1273.45,675.463,175700,550.841,780.475,64.2266,48642.2
1.74548e+06,543088,-4601.87,9051.85,-254.703,-825.068,23107.7,3971.16,664.333,26216.9,2136.37,267270,2690.31,-566.295,6125.43,10819.3
1.49818e+06,421997,-2106.84,-885.892,-84.1807,79.8981,15428.5,4868.58,383.628,38518,15215,203852,5038.18,467.075,6211.2,22853.7
1.54986e+06,422908,1020.34,78.6504,4500.25,9828.15,140462,-329.532,-57.5549,985.468,-204.272,34588.7,-383.006,322.164,-89.4072,48579
1.87534e+06,468959,-1466.47,1336.98,972.546,-69.1961,909.721,4425.68,382.427,14072.7,9092.74,68738.5,4245.72,-592.848,1509.88,6551.83
1.55144e+06,633882,-487.195,1962.7,135.647,198.347,23240.2,5584.23,286.798,19927.7,624.1,244099,6761.29,307.67,8220.84,13671.5
1.67681e+06,454014,48.8252,255.524,-553.765,-1200.52,299864,1691.42,-299.078,4221.91,4275.38,141696,-726.07,506.057,2652.4,64600.3
1.37716e+06,415752,-2740.46,3176.96,3043.13,-593.555,23051.5,31565.3,-142.682,5736.49,13927.3,157679,940.271,-138.776,-1266.02,26700.8
1.4929e+06,377013,-2458.12,3550.89,-510.43,-547.735,18197.5,3109.95,-342.36,13076.7,24335,113798,2694.58,-429.505,35878.4,17895.9
