FSC-A,SSC-A,DC-SIGN,HLA-DR,CD56,CCR6,CD45RA,CD4,CD69,CD8a,FoxP3,CD16,CD14,CD49a,CD163,CD3,CCR7,RORyt,T-bet,NKp46,CD11c,CD127,CD86,CD20,Eomes
1.66E+06,257368,157.117,-698.813,-144.276,-3450.83,179433,16239.6,1138.86,-1413.62,809.766,69.7493,2177.11,1227.25,-6.32846,27795.7,6193,1654.44,688.658,-682.839,572.68,3731.05,320.433,64.7399,-1383.22
1.83E+06,555028,-529.594,663.871,-460.631,-1548.58,7729.05,545.159,593.262,149608,2395.54,1921.54,1103.47,7340.16,-440.781,34606.4,3168.88,4555.96,3181.9,263.83,-1065.04,6989.93,77.5762,-114.872,779.807
1.29E+06,276406,310.378,-1273.21,-452.672,-2037.19,61571.4,21229.7,-143.409,317.162,-53.0281,-901.088,329.687,1200.24,-474.862,26716.9,7897.55,-189.421,218.426,-438.916,-343.098,6328.14,784.185,923.352,-67.6935
1.12E+06,682735,1229.2,71494,-249.934,-3417.43,168458,-2043.84,195.702,494.889,-3.23892,-298.914,-157.458,536.125,-1664.71,3272.44,-758.273,1282.81,29011.7,477.879,18342.2,4178.19,6261.98,60091.8,3701.65
1.03E+06,419530,321.752,-2264.86,-514.699,1420.58,175001,741.27,463.915,190526,7365.48,760.468,-527.422,1076.38,-428.366,12203.9,1052.96,-1681.11,1280.11,380.789,-937.282,12721.9,160.746,316.585,800.044
1.85E+06,395253,-745.958,311.146,-151.871,-2371.19,447667,-1173.58,1021.22,69494.7,197.412,5018.6,1111.25,-546.429,-524.231,13272.4,580.751,-2678.32,20219.1,-1191.63,1145.4,-106.599,952.24,1296.61,587.029
1.08E+06,437124,1588.66,59776.9,123.24,-3465.82,282077,-780.168,216.707,1383.17,439.35,36.3227,2526.49,-192.289,918.481,4920.61,2507.82,3394.72,3259.44,-392.408,1263.3,354.374,3065.9,34740.9,-1088.12
1.18E+06,256541,-171.188,50.2554,136.083,-1656.89,86292.4,16403.9,-340.705,135.113,-9.52676,230.513,1107.63,1372.66,510.727,27431.6,4741.43,964.794,1054.47,597.519,-87.6202,6566.53,-169.058,-512.309,-141.645
957290,444335,150.68,215.803,-90.6761,-2447.6,1707.18,17287.1,-445.474,463.367,133.242,-1424.21,-774.99,382.94,233.219,14222.7,117.76,2934.68,4144.68,945.881,-790.706,10690.3,-529.918,118.77,-343.637
1.34E+06,448099,-1496.54,-139.984,-708.127,-3209.55,28116.4,-785.002,-61.8846,39381.8,-53.3486,86.8684,867.084,-996.273,513.689,11677.1,789.816,2841.04,61613.4,-418.225,914.737,-803.581,271.696,458.721,-1070.13
1.44E+06,403648,-123.983,-558.89,-311.52,-626.431,46317.2,20251,1128.04,333.755,1614.71,775.206,92.6093,1854.27,-200.066,40945.5,4755.23,2253.27,1099.69,774.203,-280.661,9424.23,-343.575,860.008,-736.159
1.72E+06,995195,3390.21,29147.2,9455.44,-2229.72,40892.2,-1170.9,281.135,649.039,-279.079,25304.6,-1324.16,407.895,380.302,1038.19,-964.135,5284.13,1048.04,785.345,28827.8,1070.84,3793.65,-20.3304,2168.25
1.30E+06,532574,2258.09,19940.4,363.532,-3646.42,117603,129.288,-87.7699,463.459,25.4401,5175.75,-532.408,-691.676,-293.048,1699.01,-1024.61,2067.43,920.369,227.336,35347.3,350.483,1600.6,-133.135,656.8
1.13E+06,263983,4911.18,96713.2,184.976,-2626.95,69621.4,-1067.42,-1626.13,1549.38,319.782,-1863.24,-224.582,873.475,-603.469,3361.26,3379.71,433.553,28049.2,-987.615,6557.15,1540.09,5107.4,79888.8,-977.042
1.67E+06,698436,909.508,24727.6,777.5,-4161.32,51380.8,-952.287,498.706,-674.491,-129.206,6105.08,36.0404,437.926,-665.111,1275.84,406.19,4515.94,1490.46,-214.266,49541.3,713.205,2505.79,-855.524,1382.22
1.07E+06,265417,519.854,-829.949,379.807,-2040.69,10867.2,11922.5,126.676,85.4452,1295.06,218.987,474.142,519.594,58.031,37088.9,21439.8,1160.39,678.674,-256.217,-800.575,3947.53,-63.614,128.837,-1081.45
1.47E+06,337534,-1927.5,247.369,602.635,-4831.13,242231,-470.225,4579.49,36780.2,-451.126,-149.961,1961.91,111.262,694.546,1360.29,1086.82,2080.26,80325.9,-38.3682,3793.03,150.455,88.6423,2414.2,-286.499
1.40E+06,427170,-144.519,675,39.114,-1473.21,48200.7,238.08,249.446,81942.2,705.596,672.989,564.192,697.749,176.816,7608.07,315.772,82.6819,14440.7,-883.468,-150.472,731.069,637.257,147.344,294.522
1.47E+06,668651,17519.8,69717,64.6619,-4008.38,288764,-119.921,-736.691,2044.65,1662.64,692.067,1211.08,-464.915,2200.42,3919.25,1389.08,4636.04,27309,415.126,3019.96,575.025,2545.88,34291.8,7009.03
1.43E+06,453457,637.049,301.361,672.22,-1904.57,462769,6829.29,1060.57,0.714706,1586.62,1736.53,1744.65,1654.41,-184.642,30009.3,1305.62,-3569.2,381.091,-519.363,-839.172,668.68,213.542,957.906,-206.703
891826,233153,482.544,-629.726,-376.464,-4477.56,389718,-451.835,1526.44,17773.9,5915.69,997.526,988.851,2888.71,-140.958,11152.3,1814.33,3538.2,958.284,243.793,-142.952,1051.6,-188.472,-597.45,2010.24
1.58E+06,270358,7659.44,51587.5,159.147,-3862.05,126641,-121.614,-1033.03,-325.594,15.1322,-21.1773,-7.29009,-114.665,-527.445,1079.57,1144.35,3582.4,47172.1,-543.84,3456.32,-1485.2,1699.35,61598.8,499.461
1.33E+06,383149,3427.58,53563.4,539.898,900.551,484608,90.5168,2055.48,-1111.26,1414.26,2395.25,658.68,1464.61,-1913.2,5226.23,1051,-8450.59,-492.811,984.209,586.524,-465.161,-760.821,53563.2,2940.07
1.42E+06,428236,-1773.6,586.854,215.14,-3873.41,221591,-577.821,5661.63,85028.1,5093.13,1447.34,1991.48,2406.73,1802.94,18177.8,2103.93,849.492,46652,-796.858,-402.849,931.183,722.665,-261,379.287
1.52E+06,265911,553.883,883.242,-609.438,-1212.48,2528.46,16250.8,69.8127,-240.43,444.244,525.703,332.657,435.984,147.932,40265.1,4611.84,2758.39,1187.71,19.5456,-902.125,4199.71,157.685,1822.42,-1035.1
1.24E+06,455537,907.661,62169.6,-490.23,5661.98,298676,-664.46,-291.287,-313.904,-294.491,-610.442,185.965,511.35,-637.047,2897.47,2519.89,2909.17,2277,-1668.06,610.803,767.925,2951.02,51499.8,316.291
1.17E+06,363842,-1692.34,-577.92,1103.18,-2720.76,293744,-160.4,4178.05,56767,3349.53,6722.67,2044.93,1938.77,818.141,6562.61,189.886,-5902.3,69384.6,-279.571,-93.2334,486.281,923.511,-212.376,1295.09
1.22E+06,376060,1394.42,64042.2,130.313,-2516.8,207317,796.391,487.418,479.499,1694.19,697.157,-893.425,1450,80.0075,5483.21,-71.1071,-212.063,10869.4,-1063.01,265.639,1309.94,1518.1,53618.7,3231.51
1.53E+06,335813,-1265.66,-574.156,-714.145,-2872.85,61937.7,31427.8,1144.78,1520.16,793.739,-99.4883,-480.697,15275.6,-1065.35,17291.2,6517.53,3684.61,1086.29,-137.263,-1692.38,16752.8,-217.058,-556.409,813.482
