"FSC-A","SSC-A","DC-SIGN","HLA-DR","CD56","CCR6","CD45RA","CD4","CD69","CD8a","FoxP3","CD16","CD14","CD49a","CD163","CD3","CCR7","RORyt","T-bet","NKp46","CD11c","CD127","CD86","CD20","Eomes"
2.17973e+06,1.19558e+06,-822.386,4418.33,449.345,-1855.77,-449.134,14327.7,1011.33,48182.9,-465.775,677.163,421.61,2910.89,-398.307,558.043,63850.2,10057.1,1956.52,96.5162,-2018.6,2270.06,300.571,295.146,917.931
1.72889e+06,379368,200.71,-807.583,-318.668,-690.896,8694.54,5495.83,14913.8,-80.3972,255.512,1356.64,86.1659,3090.39,460.368,70411.2,1297.45,2672.14,5276.23,104.791,-515.892,651.709,12100.9,-820.816,9203.75
2.18001e+06,2.79094e+06,2368.09,239496,10623.4,425.862,33136.4,1535.45,393.931,1443.79,401.348,1568.07,125373,-561.58,105104,2438.11,-3457.55,6802,1692.11,-1116.62,67389.6,2142.98,33319.3,-1809.82,2178.62
1.50663e+06,752539,626.375,-424.383,123872,-3352.35,227409,152.265,2276.23,33464.7,56.2785,159.518,-264.39,9175.88,-526.422,1283.72,661.401,4655.95,3758.02,912.633,2473.03,-87.3249,350.945,7250.56,11442.7
2.03993e+06,1.90232e+06,347.893,151089,93756,-949.491,1070.25,5023.44,1437.54,405.22,87.6029,954.722,156160,2390.34,10620.1,3709.06,-1481.35,8576.1,2163.36,814.21,27961.2,1015.74,65093.8,-1114.66,872.171
2.52324e+06,2.08037e+06,2277.19,272697,2662.63,-2192.47,935.375,-125.422,-1098.75,-3219.5,-320.199,8581.49,16623,3073.63,26950.6,1447.02,6624.38,4994.5,2607.64,-32.7256,33552.2,889.292,17023.2,823.502,-348.429
1.82302e+06,578202,627.175,-60.248,742.731,-1372.34,278291,-939.131,30380.9,117533,917.347,3939,3116.8,312.362,518.432,29931.8,-315.942,-1432.94,61151.3,1273.95,3569.72,-1441.02,-141.356,1566.91,2333.6
1.80447e+06,573841,467.583,2256.61,-163.932,-2297.38,279258,8740.15,9509.99,1640.49,121.381,850.213,781.092,1923.34,208.344,35507.4,772.699,4563.92,57985.7,194.791,1459.56,692.361,-613.93,1441.07,-1664.38
2.77976e+06,1.59036e+06,-2601.77,681783,17920.3,-401.443,4807.34,8197.46,1636.49,2124.35,-1800.3,11003.2,238446,3905.14,62023,6359.49,-8969.91,8552.67,2263.73,762.885,84614.5,3782.81,15116.7,-2331.64,4988.94
2.98746e+06,1.77089e+06,-3234.05,468900,3685.97,3431.88,1261.69,4145.02,318.938,1817.48,722.149,26317,101880,-1036.55,15729.3,2918.76,-3226.89,14057.4,14032.9,1867.64,48837.1,729.577,76685.8,-380.654,3354.81
1.75451e+06,1.0092e+06,1174.39,101296,26320.9,-964.952,39677.5,184.945,-357.351,-740.991,-114.466,1385.46,26347.9,4133.53,603.351,2490.44,707.392,2552.13,2126.08,-829.564,4766,127.253,15296.7,-398.019,1230.2
2.48738e+06,1.90697e+06,-1317,171637,28594.2,912.389,1386.38,4104.61,384.367,-1532.3,582.362,672.091,26756.7,2431.42,8878.45,957.833,1037.54,10718,2183.86,556.477,5639.64,800.723,1697.82,-599.722,1428.79
2.54301e+06,1.40147e+06,36505.3,403863,35568.1,-1453.57,8214.09,3019.33,1466.37,1567.02,654.588,3437.05,69019.5,191.053,18578.6,2932.28,-10419.3,10858.9,-2604.71,275.854,33327,2610.68,7621.79,2349.37,17386.9
1.77755e+06,554869,-708.669,25330.1,12345.2,-8180.61,203620,-1191.88,1410.5,-474.436,-87.8552,193471,-2025.11,827.887,-2303.56,694.365,51.3733,9018.33,213.514,315.003,76617.3,234.922,4052.65,-1148.49,785.164
1.51552e+06,814588,-476.028,267.333,-292.711,-2361.87,50646.4,-169.185,13300.9,34123.5,91.6083,746.332,959.637,-221.042,948.422,782.309,950.997,4063.68,8775.97,2084.25,747.02,-33.9261,-162.483,-482.544,17701.5
1.26087e+06,465897,-1083.04,-594.344,114.46,-1651.27,230227,-731.204,12490.2,66205.3,265.723,1029.15,675.966,345.922,608.327,17786.9,48.3977,-198.942,52845,199.954,716.475,1256.51,-695.652,-270.159,1367.67
2.34899e+06,3.15457e+06,1862.23,47329.8,5322.84,-2741.77,-3671.38,361.971,-914.419,-767.231,3395.29,7459.98,129934,-1012.61,21253.2,1976.09,2344.77,9664.64,1232.38,-474.705,22846.9,1693.03,95649.2,-565.83,872.175
3.04854e+06,1.97729e+06,3176.53,278190,47922.1,-390.052,-2047.24,1908.94,-466.844,-2541.14,1304.92,5347.21,99530.6,1089.69,24570.8,1030.9,4156.17,9728.72,1262.94,349.644,22802.8,497.525,21817.9,558.434,2332.59
1.45014e+06,1.36435e+06,8267,118962,17308.2,322.487,7520.63,-638.857,1293.77,-1633.65,469.281,628.328,49682.8,2733.36,-1604.95,1843.36,-1504.45,6423.74,456.971,1344.74,5170.86,982.203,13810.6,1082.17,4603.16
3.26873e+06,1.80865e+06,-3375.27,611653,36276.7,2220.28,-329.543,11929.9,918.76,-1381.36,-1183.94,16369.4,252430,2606.74,14644.2,3768.86,524.913,2337.37,1203.71,828.418,86348.5,790.489,177865,-1384.08,3305.45
