FSC-A,SSC-A,DC-SIGN,HLA-DR,CD56,CCR6,CD45RA,CD4,CD69,CD8a,FoxP3,CD16,CD14,CD49a,CD163,CD3,CCR7,RORyt,T-bet,NKp46,CD11c,CD127,CD86,CD20,Eomes
1.46E+06,965404,-33.024,272.778,191.694,-2066.1,22952.5,-883.544,8894.51,56089.4,172.267,16955,-420.084,309.335,845.159,626.502,1053.03,4696.54,40543,-848.403,7416.52,1019.09,413.761,178.464,3373.09
1.86E+06,642920,-239.777,-1113.77,38336.1,-1034.26,182972,-1630.81,626.882,293879,1076.91,1034.94,385.316,560.156,826.918,16258.6,-600.38,-1869.95,22220.5,72.957,810.773,13478.8,54.3223,-1906.64,646.448
1.74E+06,1.27E+06,8523.43,91367.6,60722,-1868.67,103687,1506.34,-382.631,2584.06,-106.278,1738.02,47045.6,3953.35,7706.04,2378.7,-1178.7,8940.97,281.856,928.164,19618.5,3732.54,15326.7,704.516,5487.32
1.92E+06,555014,-1072.11,-677.529,-685.098,5513.46,166129,10801.9,1947.92,57348.8,478.164,754.901,2386.26,3872.03,293.645,56118.9,510.191,-4089.65,61360.2,180.623,1290.79,354.169,-244.102,-1423.17,1204.35
1.24E+06,414534,629.873,1259.65,130.65,-1566.85,9899.04,136.389,7437.07,74966.5,163.499,-538.633,203.37,784.071,263.199,44152.4,965.952,1229.12,342.745,-273.267,129.562,948.175,-272.602,-44.067,3082.44
1.47E+06,775489,271.573,571.672,491.71,-2421.85,4999.73,-28.13,7710.08,179932,460.244,448.992,567.359,2226.62,1294.59,43942.8,5611.45,5355.45,15750.3,-396.277,-36.3316,-1217.85,605.627,717.983,-885.463
1.36E+06,490970,-469.42,7973.99,-316.458,-4304.84,432731,-1081.02,12429,76586.7,-414.556,-713.981,1186.74,403.726,587.758,1294.21,1672.14,2916.31,5301.02,20841.7,4763.01,-290.093,90.3911,1840.08,9390.42
1.69E+06,856633,6959.12,40438.6,7007.9,-2991.72,61296.3,-1276.87,551.077,776.211,143.375,3500.99,683.692,1551.95,-398.084,911.599,-1711.74,9999.53,-880.301,576.017,134868,2887.6,7851.57,721.611,4460.9
1.84E+06,1.03E+06,6398.59,99776.9,19479.4,-437.059,342737,30.7498,1845.67,1480.65,762.801,20985.2,-99.1862,285.987,-1840.01,1616.21,-3024.89,-4140.42,-2531.6,-929.104,174553,1876.28,6572.3,-1199.47,5721.56
1.97E+06,1.09E+06,-440.249,44142.3,116890,-1768.65,1152.04,21382,1551.54,-22.1085,408.238,47.3061,-450.724,8885.66,-260.721,533.397,-346.732,7251.06,1630.93,-19.0774,-1065.37,1590.05,1048.4,-235.521,538.115
1.56E+06,522374,580.06,9119.61,358.139,-2130.65,2873.94,17301.7,21390,-519.021,123.508,-730.014,-547.686,2755.35,83.4442,32875.5,153.585,1998.57,9875.64,-49.6682,-576.497,2770.46,3606.89,-548.153,-155.846
