"FSC-A","SSC-A","CCR6","CCR7","CD11c","CD127","CD16","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","NKp46","RORyt","T-bet"
1.40851e+06,827629,-4908.77,487.081,1028.83,2219.92,21659.1,-31.6436,307753,962.417,385.31,21470.2,498.118,15141.8,6372.72,6126.12,8211.8,23349.6
1.77482e+06,656869,-398.217,752.36,11832.2,236.265,1192.42,-750.738,38160.5,93.61,61317.9,17267,224.314,3584.96,4718.2,1714.04,966.299,-292.49
1.23827e+06,513224,-1414.27,437.178,2697.51,1853.12,7968.69,-632.516,360444,2166.97,854.701,27774,-408.137,12720.1,6575.46,1543.4,-4931.33,16679.1
1.31432e+06,717200,-2806.42,1270.12,-208.361,1045.5,9141.94,1745.4,244898,994.674,1725.12,21953.6,-45.8569,1392.91,5907.55,1703.46,9349.92,15555
1.47085e+06,693398,-4797.75,443.11,13700.5,2244.76,1118.42,-393.24,503819,562.804,21154.6,32715.9,807.269,19140.1,2603.3,20343.9,9820.81,20490.2
1.40083e+06,447521,-277.202,-570.113,2953.77,-1483.11,3938.08,-863.323,525340,2642.26,10356.8,16516.8,729.236,37865.8,8701.53,10560.5,-8334.04,5956.4
1.31257e+06,402760,131.93,439.973,4573.52,842.09,109554,-2077.76,568746,1985.41,1844.58,10307.7,808.13,44002.9,5260.03,1762.14,-6394.26,22999
1.59196e+06,593679,-564.392,168.639,2237.75,-246.915,46894.4,-300.054,64408.1,14379.6,3562.39,9845.77,155.141,2929.18,107.564,7204.14,1072.62,5869.23
1.49827e+06,613168,-2250.17,-355.102,15523.5,581.944,30844.2,-1266.03,188993,6061.36,65962.7,12680,1320.62,72296.4,2918.77,10492.2,1054.52,15696.2
1.76073e+06,552147,-7618.29,720.235,7009.68,-334.315,110008,-84.4583,417827,2165.66,761.504,5898.4,-499.863,5455.91,2138.15,4017.15,11755.1,41124.6
1.36534e+06,574700,-2977.89,1062.31,4740.23,1216.06,1615.37,-1424.39,516029,3892.12,104912,31001.2,1348.95,50158.9,4627.62,16379.7,9020.09,4697.47
1.66352e+06,760576,-1201.35,1141.41,4703.44,614.76,224.149,-452.444,329265,1835.75,120978,38615.8,723.488,23134.9,2848,3421.66,1662.38,12259.6
2.0958e+06,733210,-1761.29,766.917,14093.9,499.846,246.586,-220.132,19112.5,1590.89,187190,20491,891.252,39543.1,3005.99,205.316,105.062,15029.9
2.11082e+06,518566,-2539.85,503.286,4165.47,-431.112,456.169,-675.067,526440,1053.43,176326,32537.4,-72.8625,38995.3,7837.7,6342.37,8649.19,3533.81
1.41084e+06,446370,-1826.65,1028.81,7084.15,336.217,168449,-1450.31,277990,632.68,1839.81,10949,88.6558,17512.6,1604.54,2277.75,-2410.27,26602.6
1.71362e+06,831371,-1176.14,125.219,22130.4,-185.537,1877.74,-603.046,5132.55,3642.91,117987,54490.4,1005.69,4818.51,3931.55,9235.05,1523.1,9455.87
1.55475e+06,426412,-9226.63,556.307,3208.04,-270.095,141543,15.8871,529408,1696.83,459.721,536.793,-646.987,4124.92,4226.25,653.892,13745.1,54892
1.42961e+06,837761,-3524.75,2489.49,328.953,-364.042,12608.3,-47.3716,286499,297.828,522.027,15371.4,597.037,68004.4,4523.85,819.713,7785.74,10974.7
1.66855e+06,741180,-3228.68,822.408,2797.09,-762.045,157389,410.986,644644,3107.88,2634.09,1000.95,-655.157,9694.15,10835,5638.82,5500.66,35884.1
1.59652e+06,339454,-3459.62,410.145,1714.27,-515.025,62468.4,-899.527,352515,1404.23,465,1087.52,-506.798,50994.9,3262.17,9836.3,2513.75,34432.8
1.52269e+06,418644,-1246.58,705.033,1238.63,-2728.68,17383.9,-384.873,600571,636.782,869.364,8557.08,-908.292,14521,5902.88,617.79,-4961.18,48460.3
1.45254e+06,367797,-494.973,-6.65223,-575.379,-1306.61,48827,-1448.19,266501,1913.93,17.7335,6007.09,-263.985,4765.39,3157.1,1461.93,3889.46,31723.1
1.91876e+06,467831,3014.18,812.265,6498.46,196.308,237258,-1665.2,395094,3170.26,2787.91,10610.6,-977.643,56482.6,2972.58,2171.23,869.352,53164
1.55052e+06,270994,-2771.92,1079.6,1548.37,-1533.96,367.273,-535.478,270691,795.083,443.702,8105.13,-76.3628,15391.3,2710.55,2170.2,4259.64,14363.1
1.57909e+06,358162,-898.911,-152.322,3999.36,-391.242,11193.8,-1331.95,273436,162.068,1308.74,32266.6,365.59,23268.8,2547.26,3580.69,-3546.48,16728.9
1.46684e+06,399378,-2525.59,951.44,1391.58,-749.075,71378.7,-393.997,460421,929.462,1011.09,9195.3,-56.8733,37895.3,6308.86,683.923,4070.01,31264.7
1.84381e+06,1.54078e+06,-2686.5,111945,-521.418,1967.11,-114.422,30758.9,-344.865,1256.47,1239.7,475.841,1710.56,-2169.81,183.983,-244.085,5225.63,2105.76
1.64753e+06,653833,-2445.75,605.339,949.812,-491.219,58022,54.1149,199681,1491.77,329.509,40240.7,-291.619,3875.39,4247.25,1093.88,3815.85,10761.3
1.6075e+06,541000,-1323.78,588.823,9383.93,-13.3181,2230.4,-2368.54,441397,1515.06,154652,31387.8,-713.528,50013,6864.26,10054.1,-8249.3,1652.86
1.30118e+06,469557,-3511.1,474.846,6120.04,-1276.57,15098.6,-1295.43,375919,1541.25,-178.606,9340.27,1656.99,19802.7,-543.155,-723.724,6615.39,44413.4
1.37772e+06,669582,-1981.68,890.022,2620.8,1102.84,5233.82,-464.508,143914,626.248,5321.54,25344.5,971.739,32400.6,17085,13699.6,4680.58,4237.62
1.40222e+06,423084,-4174.49,454.978,5418.72,929.107,13543.8,350.175,186720,-458.382,2098.09,21957.9,1105.77,27960,8996.66,8160.83,4198.43,15435.2
1.73918e+06,655710,-1790.44,-182.349,5298.94,427.319,1741,-1455.32,593124,2340.4,43858.8,36052.6,31.5439,28113.7,5917.73,4554.93,6800.77,5265.83
1.37292e+06,352672,-7930.76,508.408,13403.7,-445.461,129603,-617.801,492059,784.409,1216.06,5044.34,418.98,10031.9,3908.95,4445.3,5388.45,13731.2
