"FSC-A","SSC-A","CCR6","CCR7","CD11c","CD127","CD16","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","NKp46","RORyt","T-bet"
1.6184e+06,708582,-3612.75,2059.19,5595.91,-1167.27,2442.47,677.285,662180,4649.8,30007.6,18971.4,245.425,58578.6,8855.45,7467.71,11556.1,4213.43
1.6675e+06,1.66337e+06,-331.42,17668.5,-1324.7,1183.76,1208.64,8045.66,679.639,460.127,810.959,835.048,18.6963,831.645,793.859,272.422,8140.32,2646.89
1.60717e+06,917329,-30.5868,383.314,4659.06,2335.96,205.759,-2782.46,288701,32587.5,84364,45746.2,327.153,46764.6,1866.14,3001.36,1965.64,18172.2
1.66148e+06,481503,-700.732,343.376,4676.56,677.11,115901,-1364.67,425918,223.541,280.892,16641.1,284.73,96914.2,9448.43,375.101,387.454,36307
1.52316e+06,644261,-2524.22,662.578,10988.8,-849.283,1034.69,-669.689,393873,1992.05,62193,19431.2,2376.31,77195.7,11622.1,12198.2,-1434.7,2926.4
2.29095e+06,802247,1126.4,87.878,5850.13,913.43,94400.5,-2032.77,741164,1530.02,68016.2,28144.4,227.384,127385,12694.6,16150,-9941.46,7075.48
1.97631e+06,891207,-1698.58,465.469,1873.76,996.976,6336.39,-690.596,163299,1015.69,37511.1,12158,90.1764,28684.2,8254,14034.1,3804.68,13006.5
1.54019e+06,512042,-2271.19,1936.85,12373.6,-2091.28,147021,-4599.65,629054,2602.04,1212.51,10789.2,5445.58,81181.2,1918.31,-637.895,3567.02,54540.9
1.44775e+06,2.16876e+06,1974.06,580.136,716.799,622.523,3609.22,-1225.43,35350.7,33269.8,155791,2315.5,343.817,5454.36,1634.02,-284.032,4886.97,1626.2
1.77031e+06,936651,209.064,1889.54,-2910.54,787.53,-274.152,43089.6,4061.52,489.81,151.64,-402.833,389.845,1913.22,814.212,-77.6292,5642.97,1369.54
1.34687e+06,318096,344.508,-297.49,8897.1,657.297,58339.2,-733.01,317091,340.877,1135.23,13659.5,-494.279,18103.3,658.256,354.554,-1327.61,2581.88
1.76739e+06,1.18458e+06,-333.562,7420.82,-713.261,1351.67,435.607,30665.8,24.9614,372.542,-106.128,1165.32,-834.448,20696.9,197.564,264.057,5049.85,3691.47
1.36494e+06,273296,-1673.92,886.505,8823.43,-1183.2,61407.4,-839.405,463643,2704.78,1022.41,6893.02,201.033,67311.5,3662.47,935.005,-225.912,33445.7
1.72014e+06,357662,-658.122,-872.161,7106.16,340.193,-1259.36,-280.745,4958.26,27816.2,146129,14548.4,633.885,19323.5,2854.45,2326.67,2275.92,4990.7
1.33003e+06,417974,-711.004,871.635,6297.71,-1835.52,81717,315.443,404365,866.931,587.621,25836,-113.608,44097.7,8526.26,864.438,-2988.57,40569.2
1.56091e+06,989777,-1214.01,-395.761,5164.34,247.496,4025.75,-253.318,788354,1951.36,123928,18786.2,1201.62,144122,10008.3,19310.8,-13343.5,5815.7
1.28825e+06,722661,1375.07,-27.438,23181.1,222.531,219756,-2496.48,668068,3409,2163.38,114855,4434.09,73410.3,1408.68,-273.229,-10474.8,72609.8
1.47231e+06,471890,-421.129,81.9273,17773.6,955.054,55430.2,-1459.68,422160,1562.95,1682.4,6191.76,505.113,59686.4,5669.27,-16.0767,-7126.81,41924
1.50755e+06,453039,-9712.31,534.016,8207.12,-2505.66,193754,-677.691,462198,1151.28,1721.46,14354.4,17572.9,72814.9,98.2878,32.898,7125.55,55779.9
1.67752e+06,980884,-2221.77,7136.88,-632.759,1023.79,211.824,17337.7,561.333,546.212,-518.194,5027.13,315.194,4890.27,-369.606,304.015,6138.85,915.941
1.45986e+06,1.2031e+06,-2378.19,-39.1118,-511.656,262.848,-661.164,-321.139,-693.159,1048.05,3767.18,-328.211,-344.491,614.067,582.675,146.873,1346.16,140.503
2.02497e+06,504656,-27.1649,266.962,7857.99,627.808,599.158,422.209,57511.7,8304.96,44805.6,33589,861.824,43624.3,6728.25,7552.83,3255.35,2839.52
1.74229e+06,441823,-591.966,471.938,9887.12,583.719,1217.71,-854.222,5731.12,28174,110755,9308.74,276.898,34420.5,6421.64,2054.71,3046.99,3583.65
1.34162e+06,481033,216.481,1627.32,745.41,-616.588,59374.2,147.74,533595,550.926,1778.09,13506.9,242.461,152287,4488.96,178.082,-4558.98,28611.6
1.40254e+06,952680,-5084,4110.03,5117.12,-362.25,1150.34,-1680.41,410540,8528.88,108309,26156.6,2479.46,151063,7963.55,7144.9,8299.52,8268.28
1.41842e+06,416269,-6976.97,929.983,1877.39,-1007.24,91752.9,-2836.76,466621,760.737,762.629,41394.1,137.956,51746.9,68.4694,-178.723,6310.41,15379.2
2.04943e+06,628593,-319.829,847.66,5358.15,-680.189,10971.8,-799.003,235698,82.4506,3283.86,17328.9,-230.959,60348.2,9410.35,308.988,1820.13,35343.4
1.46063e+06,472232,-2427.42,917.193,11808.2,-701.702,37242,-711.608,337274,711.597,798.745,16103.1,547.008,35160.4,1576.58,-3.06833,1543.82,37684.5
1.56326e+06,313502,-2127.41,-43.5476,1942.3,-145.351,-879.386,-552.55,461436,330.027,-359.847,8164.04,163.559,24064.9,6262.38,3590.15,1313.85,47796.8
1.81629e+06,674953,5791.61,488.061,-903.668,18212.2,161.31,59.2658,1613.51,-338.73,778.448,38303.6,-629.438,-129.893,1348.39,646.389,8080.6,1158.39
1.65474e+06,396890,-3265.86,733.25,2972.75,-2020.92,56152.8,519.361,421620,1158.78,715.065,4873.91,904.56,43755.8,5364.01,2389.81,2383.4,24155.4
1.43775e+06,529069,-2293.88,345.66,741.12,-321.858,118549,-1000.79,506538,1852.95,340.145,49983.3,747.97,122059,4218.19,-141.021,-3809.04,64930.7
1.30577e+06,551259,-2491.32,1865.98,5661.41,-1888.73,6399.5,387.968,451520,370.585,811.525,17600,96.8347,59066.9,6228.68,1045.59,2006.65,39185
2.42775e+06,1.54003e+06,-276.861,9483.6,211.666,2605.99,86.8354,38207.1,11648.2,1563.28,272.265,2218.34,-732.628,17580.2,84.8889,744.022,7097.08,1241.67
1.77427e+06,404385,-1327.77,685.063,1984.27,-955.034,301.729,-923.259,22254.1,26596,35960.3,21114.6,358.954,9378.67,3058.83,5482.24,1936.66,16449.8
1.91746e+06,632121,-2094.7,473.661,5136.91,1050.91,-549.361,-392.517,145734,9351.02,169656,67272.8,-141.55,28314.3,10719.7,2136.61,3522.09,2957.92
1.26578e+06,609767,-53.5821,729.773,1054.18,549.586,-831.079,-732.351,203186,5565.1,124789,14311.4,368.324,52741.1,16196,11615.1,4927.39,3756.82
1.62094e+06,467104,-14306.9,1927.26,11146.5,-4.30754,199692,-1844.55,607815,1612.42,1449.07,11657.8,990.595,80273.6,4464.4,1856.82,11898.4,29678.3
1.45751e+06,761344,-840.907,-486.476,5301.46,303.389,900.72,-401.17,409536,10954.5,81912,11920.6,1253,97085.1,17816.1,11301.7,-5477.46,330.93
1.30561e+06,495791,-549.647,403.223,1557.49,-259.682,-521.244,483.455,163689,14452.4,41704.4,10330.5,274.58,85455.7,5399.33,7071.96,2120.05,1030.83
1.46307e+06,664026,-1689.01,190.186,14539.8,1571.51,503.165,-2286.36,498650,6076.48,88683.2,47061.9,300.116,30341.4,9509.71,8937.99,-2933.77,22991.7
1.95098e+06,803388,716.211,96.5244,18891,-1273.71,381.347,-840.709,296442,6025.43,121369,11073.8,599.714,29732.1,9369.62,6659.59,-4194.09,2600.25
1.43865e+06,694219,-1284.2,408.835,3336.59,849.586,398.766,-1688.16,419383,1088.92,34742.9,27796.4,201.08,79537.4,13366.9,6148.99,-4990.2,3205.62
2.09516e+06,851920,1309.29,633.745,12827.7,-375.182,4727.44,-1427.13,445037,18280.5,79887.2,21320.4,184.778,47060.6,7405.43,4208.72,-6348.53,5097.97
1.39563e+06,435852,-4131.9,707.561,1362.52,697.907,3820.61,-752.142,384021,600.075,-457.971,33457.2,500.506,46707.4,4951.57,-740.536,5253.07,60924.2
1.39155e+06,667621,-23.0824,106.205,5853.62,-168.456,199.727,-35.4128,22990.4,4951.56,50493.3,8333.18,468.37,17238.8,4029.64,4425.55,3564.48,9127.15
1.45147e+06,1.22573e+06,-2697.12,-97.1904,2003.81,-796.797,-1778.87,943.273,171103,-51.8594,189485,7554.47,236.545,29307,24917,3020.04,2885.21,1320.81
2.30844e+06,822582,-1755.28,-196.83,1581.93,136.51,4464.79,-552.102,198957,923,22559.7,6290.45,66.4167,72472.1,25131,1049.05,2516.35,10968.9
1.8346e+06,284611,-5222.47,1491.31,823.376,2513.08,26432.5,-2298.81,436939,2606.23,1548.02,45775.6,-177.062,86517.3,11039,137.102,8263.15,23001.4
1.41422e+06,675614,2230.61,1012.75,12619.8,-467.482,165964,187.454,394756,1705.84,1403.92,17710.8,-1288.42,116952,4107.58,3974.33,-755.771,48674.7
1.36366e+06,537212,-183.412,-330.723,12763,2021.71,26962.4,-2399.76,637773,1585.31,2361.79,11712.3,26702.4,35246.1,3702.15,621.647,-12175.4,77414.5
1.37716e+06,444239,-1458.85,1180.39,10088.4,-57.9152,167137,-586.693,435573,1976.3,720.558,8841.08,82.2246,61476.6,1390.43,-67.7139,3584.74,48361.6
