"FSC-A","SSC-A","CCR6","CCR7","CD11c","CD127","CD16","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","NKp46","RORyt","T-bet"
1.30025e+06,455612,-971.847,419.544,4638.13,621.005,103401,-1326.68,163686,1419.42,375.87,15624,853.317,13926,17469.5,3192.71,-1047.46,17885.9
2.54715e+06,2.46459e+06,9813.68,507.444,19963.6,-118.371,21693,-191.675,173373,1473.26,-616.685,27378,-148.052,29362.9,2555.72,1419.02,12830.3,108272
1.87025e+06,645323,-8556.94,1007.57,5986.12,617.636,38638.7,707.395,610350,1952.97,39.1469,59283.6,427.311,64734.1,3464.81,843.54,6130.14,57196.8
1.61344e+06,907487,2388.35,235.489,26964.4,-783.789,678.793,176.284,3331.9,43154.2,176394,26567.7,-126.891,24755.2,5179.06,1899.34,4638.44,19647.6
1.40568e+06,931182,-4233.05,1865.6,16403.7,282.829,-232.196,-138.258,390133,8107.89,142209,24480.9,1420.92,74014.5,4041.12,13714.6,7478.19,10255
1.85365e+06,619054,-3851.35,822.915,15581.8,156.899,67435.9,-821.792,6894.22,17826,212365,14641,914.14,30884.2,6308.46,11769,5414.25,6103.7
1.56313e+06,582231,-13633.4,1383.16,7828.55,-1.02863,210512,-414.344,546368,1687.29,1106.73,21450.8,433.617,112654,3613.32,5878.4,6948.62,61865.4
1.80152e+06,398207,-1518.33,-106.845,4361.6,801.28,-636.539,-908.756,231810,1145.99,18826,12885.2,60.9609,7706.56,6211.12,-385.813,1900.71,4165.19
1.55253e+06,450428,-8991.41,2549.01,3288.09,3153.4,150321,-1539,498784,1580.13,862.941,14619.8,405.961,118268,546.629,-770.208,2320.19,70981.6
1.60311e+06,774290,-2746.25,123.731,1563.63,-655.319,29496.1,-708.239,147088,2313.09,681.838,10239.6,177.528,50981.3,13831.6,34314.6,2715.65,13737.6
1.85316e+06,919226,-2251.57,1128.56,-241.368,-675.353,193.283,-395.164,165950,1281.37,-997.904,29890.3,147.327,76055.4,-225.146,373.849,4149.08,4114.65
1.71909e+06,657939,-5624.99,1600.17,4662.26,-312.825,47637.5,-1683.54,450950,2161.47,1351.29,21578.1,1647.64,60962.3,9460.17,27473.2,5677.1,10289.9
2.76914e+06,684662,1721.9,1784.85,5621.8,447.11,-235.896,66.2197,1327.43,1329.46,187697,17075.6,586.087,70010.6,4976.72,32294.9,3359.6,5624.51
2.12025e+06,1.21911e+06,-334.927,989.716,31654.3,721.083,281.33,3954.99,-88.2536,1946.77,35533.6,541.324,1944.51,-213.968,-742.31,253.384,4713.65,1825.58
1.45222e+06,342511,-136.765,511.766,7324.74,67.398,114508,-1842.61,398010,469.483,797.894,9937.19,263.611,78250.1,584.354,-315.832,-671.479,56275.2
1.46342e+06,573849,20.5518,-336.583,2394.87,1374.64,-1087.48,405.028,5689.48,14458.7,100433,26834,1313.66,42725.3,4198.82,175.951,1686.55,28766.1
2.09937e+06,948454,-1573.62,485.873,2369.18,-842.19,-388.687,-436.52,35754.9,4425.86,140967,23821,-90.6455,71663.5,9504.28,3654.02,3848.49,32148.3
1.37463e+06,293129,-2677.2,918.258,4726.5,-1295.41,357.646,-2370.82,277543,-148.155,368.359,3650.52,-56.3064,32563.5,7062.53,1515.59,-65.0966,47513
2.21826e+06,1.90527e+06,-440.826,36918,-2346.28,2471.32,463.38,33573.6,112.845,-322.63,2313.8,1882.04,973.481,1898.77,-69.041,620.688,8976.62,2017
1.449e+06,482564,-1302.48,1100.34,12846,281.612,1046.9,-1162.44,155605,2251.14,3530.98,47687.6,946.757,24408.6,13898.1,3747.44,-1525.97,3022.44
1.71841e+06,862098,-4753.16,1110.53,2870.15,1116.77,6159.61,-1778.32,559808,500.423,994.835,15403.3,419.476,77239.8,23175.2,812.636,-5790.34,24264.3
1.48838e+06,438272,1457.36,1461.87,3867.53,1188.38,139549,-1041.97,378811,-389.656,1093.82,4205.07,-1053.15,131027,1724.35,974.231,-2474.06,73771.7
1.87172e+06,418391,-3563.74,2048.43,3155.99,71.8305,181.888,-1323.08,307818,2554.5,44760.7,9788.42,581.642,65192.7,3948.73,1219.71,2423,1410.91
1.96095e+06,1.34753e+06,3663.92,-60.071,-332.626,-175.368,-640.617,325.314,2883.06,955.944,1996.86,635.856,-552.523,682.527,1854.77,984.041,-550.066,488.779
1.98698e+06,234033,-2693.75,96.7716,2971.08,1126.89,21762.6,273.481,301260,-106.512,4535.17,12636.1,990.472,17739.5,3437.5,-381.504,755.964,34750.7
1.50875e+06,473917,-1656.3,811.368,9674.39,577.424,1108.79,-379.695,1381.34,-280.125,112316,11538,-313.651,24476.1,3819.37,7039.9,465.752,2266.88
2.18825e+06,1.13675e+06,212.316,-175.468,1506.68,-119.274,5924.36,-929.02,222734,1716.52,589.448,18670.9,-500.257,88092,14550.2,1301.69,1980.14,23285.5
1.35082e+06,843845,-419.844,-238.621,10684,178.755,16417,-267.022,12877.8,302.78,310683,26815.6,178.798,37790.5,9246.25,16864.5,2859.78,2592.61
1.45701e+06,399519,-6573.43,73.2761,2580.99,-502.935,68037.1,578.44,402253,-359.49,-34.9461,7963.74,182.344,35752.2,5084.66,1266.17,7038.22,41853.3
1.38991e+06,707472,-1762.4,1091.93,1175.34,437.857,-735.233,-327.19,19821.1,4867.11,56744.1,16494.5,434.905,41453.3,3960.89,11876.1,2121.99,14693.2
1.32316e+06,411925,-711.087,-53.4688,2046.56,409.087,-307.582,-415.301,89042.3,1767.72,-325.816,17798.6,-85.5991,3552.27,5957.3,8469.66,-148.597,11910.5
1.9364e+06,329076,-1749.56,321.718,5600.42,-2297.57,61583.2,-325.183,218672,-379.937,475.192,1524.46,-176.285,44307.4,-312.3,857.362,427.026,65448.5
2.56164e+06,577718,-2720.34,-9.50585,9830.39,-128.006,58052.3,-19.4082,495924,21848.3,1164.76,17210.6,81.7849,34987.4,8126.97,600.348,-1705.03,33903.5
1.87618e+06,283266,-3984.74,887.246,4448.14,-1996.73,28150.5,-2248.45,287191,534.311,-90.6326,6690.02,-1034.23,30248.7,471.593,2349.8,1955.29,93518.8
2.25216e+06,1.21847e+06,-879.32,713.286,17029.6,-896.476,-261.648,-408.838,74071.7,42886.9,392989,1278.43,91.933,8.66043,9602.62,396.16,659.539,808.93
1.46506e+06,419294,-892.536,1721.95,5209.56,660.757,67916.6,-1269.71,544241,897.132,1377.87,12457.6,280.748,63162.7,5112.5,1424.82,-5858.21,57788.8
1.54213e+06,689259,1369.04,330.846,6248.04,-315.531,218558,-1243.75,633436,696.126,2771.96,5614.42,-1740.81,122098,1368.54,2371.23,-8548.7,72886.6
1.6472e+06,707628,-1051.46,-453.607,1112.79,-681.19,-691.103,-155.229,1705.35,427.802,97893.5,5088.33,375.224,27030.4,11309.4,21684.9,3936.42,3727.72
1.77337e+06,1.41184e+06,1066.08,-154.339,5462.38,960.221,14.6908,-94.9147,166611,-103.69,1056.99,11953.1,147.803,6296.62,26148.9,-140.873,1019.26,79960
1.4768e+06,558726,-6698.2,21.1026,4301.48,-488.054,127787,-1098.37,538674,1331.77,201.225,38989.1,141.941,19192.6,2989.88,113.728,1873.81,52727.5
1.7972e+06,321432,-3748.66,888.72,2023.31,614.548,14914.4,-1774.97,535835,-243.671,-176.223,8987.18,320.728,21697.4,4697.07,-134.83,3194.28,33986.8
1.62226e+06,592828,-8603.68,605.833,11862.3,-2715.76,302349,-1206.6,647147,-1012.77,2705.12,60131,-111.963,81789.9,2072.91,1564.89,-548.835,80657.5
1.337e+06,691826,-1946.4,784.822,4351.63,274.75,174.8,-439.211,137367,22.9929,33394.5,6196.06,-326.125,14005.1,10543.3,3532.75,4054.47,2258.01
1.65611e+06,403699,820.17,529.48,2863.69,1757.27,108536,-3174.81,666406,2109.83,1806.4,7537.28,-823.916,102653,1259.74,282.744,-8584.86,48886
1.54881e+06,1.00837e+06,2507.15,575.929,736.996,21030.4,492.987,361.232,739.121,-289.847,-657.783,209686,-189.348,-892.347,2865.56,-144.742,3828.76,5817.49
1.95573e+06,1.05461e+06,-1885.26,1032.59,13087.3,387.87,-1149.84,219.929,16622.7,5495.54,435637,11805.8,884.266,160162,9701.71,27854.5,4460.15,5017.18
1.50074e+06,575671,-2356.77,-518.667,2555.55,-821.155,-595.063,88.3897,194366,658.567,46130.1,28038.1,231.28,44589.9,15536.6,13387.4,1358.59,7519.31
1.74525e+06,514816,-3455.24,485.726,8301.04,599.998,608.82,-3818.96,753762,5091.64,103506,70422,-90.0686,34703.7,11720.1,2522.12,-5133.71,5313.4
1.63139e+06,462650,-3490.15,2205.91,1939.38,812.634,340.508,-713.916,18459.2,18162.8,10484.3,33841.3,866.728,123862,9436.74,5605.7,2773.54,18819.1
1.56547e+06,344491,-1157.43,-92.4028,2708.74,391.304,9248.82,139.095,80746.5,-2037.66,56.3702,11525.2,464.575,35176.9,6021.78,143.191,1275.39,6340.2
1.87062e+06,279331,-8137.29,1000.1,2931.18,-973.994,143875,-915.881,369544,1498.6,1846.83,11369.5,403.653,46749.3,1893.65,1111.14,6609.03,60151.7
1.43359e+06,661211,-4513.61,2851.04,11080.9,-826.124,310935,-79.0278,487409,-618.764,1700.8,11009.8,-123.333,95503,2773.22,3053.59,4418.95,71412
1.58967e+06,467800,4152.47,-727.624,3672.33,1246.89,186202,-1127.08,488389,2658.46,2175.09,22677.1,-562.734,107787,199.581,879.168,-8225.06,94040.9
1.65041e+06,517900,-1190.4,452.199,577.662,1890.99,-927.693,-108.383,898.139,13331.1,130283,10778.7,994.461,58624.6,3399.67,1520.45,2335.04,18426.8
1.57051e+06,406341,-6260.73,1687.04,5194.43,-837.056,81536.2,-2844.23,462092,1045.22,61.9049,12894.2,-779.491,96787.7,484.5,2789.97,5357.16,70498.6
1.32136e+06,286714,-1719.18,613.955,1077.72,-143.932,65742,4.48404,443835,553.652,-172.842,8818.24,-276.051,66771.2,488.035,151.543,2425.61,4002.66
1.58974e+06,548382,458.655,737.735,1678.83,2496.36,105856,-743.911,620190,-22.4145,1375.11,5528.23,-193.879,173490,3107.22,68.8347,-7791.12,56533.7
1.29746e+06,692968,-2597.88,2440.13,11895.4,1140.57,1103.72,948.427,355030,1542.54,30517.7,47454.3,1281.85,122106,18234.4,37637.2,6035.2,2047.47
2.29488e+06,1.16717e+06,-721.573,471.262,5707.25,-1382.1,4059.38,-1613.57,179826,896.358,1061.43,10761.9,483.949,32413.5,19258.8,802.984,3459.63,36786.1
1.74059e+06,1.44912e+06,2000.54,-440.177,5409.39,842.185,96113,-1621.55,380309,1265.14,1228.71,24370.4,603.585,41765.3,29745.1,3382.99,-6748.29,32072.3
1.34092e+06,733980,-3476.01,1005.58,5677.64,758.473,337.598,-741.435,11598.5,2495.93,242672,19313,314.038,59056,7560.35,17956.3,4772.44,6835.36
1.4476e+06,697672,-3451.11,1153.2,5727.71,1040.81,-1524.49,-321.247,5988.77,3240.13,177134,14281.3,-283.052,34335.4,10474,3380.97,3234.33,6448.63
1.66809e+06,616157,-1617.52,1050.83,4213.17,-279.601,-371.172,-523.159,27176.3,3897.7,141564,50260,-817.363,33349.6,6587.33,14343.6,2403.98,23524.6
1.37152e+06,673896,-2905.51,397.84,5420.06,1885.5,-95.7819,912.691,397354,768.551,101113,26083.6,363.713,43235.2,11649.8,11375,1796.45,2866.06
2.13185e+06,575817,-305.999,706.923,11253.7,237.948,-579.544,-392.688,28255.2,7203.42,190043,18546,435.822,53599.5,7300.43,7715.31,3557.25,747.317
1.37714e+06,330681,-2860.37,-80.3459,517.051,-970.012,35100.6,-1931.81,482297,855.194,1940.91,20044.8,34.7354,73864.9,70.8908,632.533,-6971.95,22761.3
1.57872e+06,871226,-608.029,162.963,1483.97,-231.243,248.513,-172.958,7480.62,266.605,109143,8490.22,-392.882,3738.88,9256.13,2827.54,3745.71,1804.22
1.28081e+06,552893,2893.39,339.864,1280.15,377.763,178048,1464.31,419653,230.78,1669.59,946.854,-984.621,92130.1,4220.17,2255.84,-2893.41,59907.4
1.95066e+06,1.77536e+06,-1016.1,43275.5,-1607.29,4467.4,1444.82,29421.5,310.623,-774.594,1583.97,1124.64,931.174,742.421,467.727,-144.279,8130.82,2835.39
1.92042e+06,785582,-992.764,172.69,1221.42,-149.04,-719.749,-157.284,3104.57,-458.535,24740.1,5215.26,15.3015,8505.39,27662.4,1218.85,4429.4,1455.46
1.40116e+06,352728,-5128.94,212.176,12456.8,-398.265,50427.4,-918.527,480089,132.659,609.578,4012.08,828.571,54263,6983.84,91.9852,-1962.38,37854.6
1.5916e+06,522850,-1035.61,318.966,11883.6,1169.64,-508.921,90.5688,15202.7,740.953,39837.9,22182.2,146.537,30411.8,11854.6,15046.8,4238.02,2712
1.56201e+06,330384,-7446.3,-261.985,3008.11,116.768,111541,-352.455,279977,833.283,192.972,37514.8,-320.906,55249.7,409.522,2241.61,5070.43,38662.3
2.04335e+06,432904,-1647.06,-502.697,3062.62,-708.515,-611.741,-1433.56,436452,260.649,87877.6,21498.4,278.293,10315.3,11719.6,3142.67,-4278.67,1123.21
1.57236e+06,353066,-4911.95,1147.67,3103.75,548.743,5944.02,-1426.66,378426,565.798,-149.065,-461.42,795.484,42023.9,369.486,-177.493,4651.88,55779.4
1.52157e+06,1.73716e+06,-4675.95,1521.81,16955.9,-884.187,1381.7,-3109.67,778130,13264.2,1402.72,41965.8,227.12,121673,10399.5,27248,-794.24,37505.5
1.34396e+06,575099,-4615.1,857.841,2939.77,421.424,197.126,-736.606,418101,7648.69,117860,12477.8,294.407,77906.5,15440.7,10884.6,8660.3,743.007
1.34677e+06,354124,2826.44,214.745,8628.96,-761.895,36945.5,-3331.56,497996,942.525,264.682,18331.6,1120.33,49247.9,11749.3,5284.54,-3719.93,12398.1
1.27106e+06,705028,-2265.13,1620.24,4967.17,-880.673,-976.179,-904.079,-1.20117,24183.9,114059,8147.68,548.88,38479.6,1754.29,2149.48,2897.02,20025.4
1.52193e+06,279257,-5330.54,1043.73,739.258,-783.776,43307,-554.367,381510,712.731,613.009,9068.81,-415.641,44336.8,945.485,880.295,5795.03,72403.1
1.5398e+06,488207,-1781.96,774.707,2416.81,-2014.84,240037,-1128.94,425838,682.577,1952.63,36054.7,-342.864,110461,1697.52,579.667,-1756.61,79546.7
1.60445e+06,346886,-4723.74,1402.57,2876.91,-20.9967,29363.1,-2153.06,181716,28.6066,50.5872,3043.04,466.042,57074.8,2461.35,505.199,-845.074,69865.9
1.51131e+06,1.87168e+06,-286.346,12233.3,-1205.85,1428.21,385.027,6246.8,-605.343,210.784,1039.31,-169.139,-484.925,1015.32,-236.301,646.582,10393.5,1723.29
1.30874e+06,708133,-1823.93,1960.59,824.236,296.548,7358.9,774.875,265282,-199.249,-79.5282,38261.8,591.184,37875.3,2187.98,1306.17,6405.29,13700.4
1.34949e+06,430624,-7879.05,706.064,14964,-2462.82,122748,-2244.25,594745,1353.96,1863.35,32480.7,1583.74,136968,-602.254,62.5323,2213.13,66992.8
1.78206e+06,584512,-156.352,1075.37,4207.55,-605.747,140.324,-1217.2,9691.3,9313.92,1461.84,49126.5,590.289,64149.3,3484.83,129.553,3797.98,22885.4
