"FSC-A","SSC-A","CCR6","CCR7","CD11c","CD127","CD16","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","NKp46","RORyt","T-bet"
1.45477e+06,394653,7062.02,-759.284,262.635,12465.3,100.128,-540.929,1021.53,-648.246,-370.511,20938.6,-82.7465,323.791,-815.327,323.722,4680.71,720.373
2.16685e+06,2.5186e+06,360.917,991.717,-821.023,2251.44,3244.28,20335.1,-59.2302,12204.2,4368.25,-379.4,5814.09,17.1158,-145.503,1001.67,18961.8,2267.62
1.32069e+06,748385,-2404.16,325.271,5733.98,148.978,2081.95,-2631.92,613823,1212.99,57919.1,8504.64,392.976,23325.9,11275.3,2252.84,-11328.2,1577.19
1.36012e+06,736574,246.592,143.158,16550,661.128,4675.13,-2835.65,700339,5294.85,26071,21269.5,842.787,45727.8,11656.2,4882.22,-15697.7,6459.99
1.47667e+06,703509,-2639.24,1428.83,2261,272.561,1589.2,160.825,498773,763.867,45172.8,10056.2,-1033.27,55018.9,6633.07,9309.96,9173.39,2764.51
1.56207e+06,523531,-160.432,853.382,2452.1,643.618,-267.632,265.255,28357.6,106.181,6528.72,9020.18,-199.925,20311.8,7169.8,1107,2980.9,2636.5
1.68884e+06,1.11559e+06,-941.358,-452.911,10011.3,-399.531,4200.97,-3948.56,913525,3412.58,5099.79,11761,498.125,201425,18638.3,11296.5,-15068.6,2320.11
1.37834e+06,861480,1704.4,-89.0586,4935.51,895.663,2052.38,304.475,429246,281.363,93329.9,33418.5,40.6605,13832,6208.49,2315,-5747.38,744.877
1.48505e+06,703138,-3286.78,1814.03,11923.8,466.074,23322.8,-262.143,17778.4,8114.34,279675,23357.7,-274.062,58471.4,5136.89,29367.3,3091.39,3688.38
1.59374e+06,871486,-908.43,893.126,19359.5,1183.27,23134.5,-4397.33,678454,1234.28,39826.6,21155.9,-779.154,44146.5,7059.42,42833.5,-3789.14,-313.944
1.36425e+06,590263,424.207,-316.433,7619.09,65.382,4134.57,421.782,476789,2043.14,43225.8,7908.88,1073.72,46924.4,7878.77,1868.54,-5259.19,148.588
1.37198e+06,866344,607.273,-302.287,13235.4,827.839,2161.54,-802.134,288442,1996.16,1650.31,27465.7,1317.43,93575.4,10137,15560.8,-5576.01,1344.99
1.36221e+06,792163,-660.491,5906.25,16293,481.97,2542.25,-3078.26,658806,14684.9,171292,18658.9,877.799,96222.8,9961.55,9075.12,-6321.58,3645.33
1.45328e+06,729131,-4269.26,2035.4,7444.08,2456.93,2166.8,761.971,386104,4630.46,104466,23826.5,1051.76,78615.1,10907.8,3148.03,8547.92,1904.43
1.30712e+06,585825,-624.617,873.683,6109.28,-1056.39,1748.34,-1374.59,287531,4049.9,55086.4,25210.9,192.36,69784.5,14248.7,2246.89,-2748.06,3085.09
