"FSC-A","SSC-A","CCR6","CCR7","CD11c","CD127","CD16","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","NKp46","RORyt","T-bet"
1.723e+06,566302,-1508.56,-162.814,2423.1,-251.971,-218.482,391.592,44762.8,1573.26,34602.3,13175.8,-953.48,13647.2,4543.83,3263.74,1598.34,12392.8
1.70946e+06,1.50438e+06,-5534.45,3083.5,146.247,2232.15,-749.274,-1878.32,14716.5,7944.13,6616.12,4177.19,8843.85,51.2578,-623.679,1062.52,-5064.03,-560.655
1.33946e+06,657998,-1493.94,-279.867,3302.8,-138.803,176393,-2317.72,505181,1351.8,2468.33,27196.3,611.089,177283,-424.874,-1208.35,-8141.15,59512.9
1.31631e+06,523162,-558.249,461.072,6886.43,954.378,533.962,-193.869,8350.22,852.833,101295,15017.7,405.108,13704.6,1225.56,1024.52,1502.72,941.884
1.47358e+06,721082,-1487.93,1231.02,5996.07,823.783,248027,-2952.87,720444,2302.43,2042.56,7233.17,-370.046,58409.8,3350.51,5407.24,-4393.43,60875.8
1.72071e+06,493271,-3242.88,306.439,12805.4,448.236,15311.1,-2888.98,348355,443.649,1096.17,36491,1265.81,36002.4,3333.37,1706.21,-3012.66,27315.1
1.55997e+06,306079,-2998.48,278.769,3336.22,523.713,1385.24,-1095.36,257923,-804.832,2608.01,26833.8,-34.5664,37106.5,4541.62,1207.5,-3707.13,5470.72
1.29218e+06,431775,-9311.68,1174.51,5543.17,312.279,141280,-2539.45,582180,2008.78,1493.34,8492.28,651.419,97990.8,1497.75,256.85,4453.66,45512.5
1.28364e+06,419790,-6288.69,181.688,1490.45,-857.423,115975,-2011.31,424881,909.325,248.902,12124.3,-1102.7,62734,3282.18,2700.07,1288.14,55570.6
1.3824e+06,633844,-2371.57,-176.845,5080.03,402.971,-1555.25,-1049.32,241150,5023.32,194413,12778.9,388.013,62543.3,7904.51,5619.38,-4171.72,238.332
1.3506e+06,478161,-3537.19,613.73,4275.94,-287.857,77084.4,-3575.79,446052,952.607,1009.87,9755.35,-327.406,52719,2580.94,1789.26,604.821,42140.1
1.48904e+06,350673,-7259.56,894.393,2606.67,-932.982,97278.8,-2367.76,501369,1286.98,536.028,7424.85,861.288,78581.6,2319.92,1000.81,5796.29,54552.2
1.32378e+06,362705,-4996.71,116.71,2851.1,-886.2,137809,-3008.23,533080,3563.82,1794.78,12763.2,708.612,53481,-1689.71,-139.339,-3061.41,42048.1
1.80884e+06,433142,-3931.5,-758.142,1445.5,-1929.56,47901.2,-3850.4,693773,3021.66,1676.59,11660.1,-120.643,141591,3129.27,464.028,-7319.5,52976.4
