"FSC-A","SSC-A","CCR6","CCR7","CD11c","CD127","CD16","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","NKp46","RORyt","T-bet"
1.27542e+06,711254,-187.406,761.92,1078.32,246.564,-1458.16,-197.179,108046,1423.3,54098.9,8111.49,788.035,7573.12,5661.93,154.93,2555.37,3082.6
2.566e+06,710698,-998.883,1909.65,2348.4,-3181.15,117.97,-1469.56,68881.2,17402.5,5101.63,8944.75,575.739,66548.1,1573.04,2515.43,3754.3,50007.5
1.43074e+06,400430,-1544.85,357.101,3235.99,74.5754,-287.893,-362.743,3638.09,7989.69,154688,12820.1,868.723,35127.3,1412.74,3709.99,2991.32,20049.3
1.7605e+06,1.62769e+06,1113.32,95.5792,8976.66,18.3032,1422.21,-682.976,33246.5,13353.2,237122,3386.24,-16.6709,8016.62,6603.61,-63.7313,2292.97,2211.19
2.16559e+06,991650,-2715.13,694.123,4822.78,-1172.41,473.345,-1282.19,439889,2554.74,78897.3,10161.3,661.625,90703.5,10108.5,18082.3,1727.48,975.434
1.80674e+06,1.11604e+06,-4680.73,2320.35,9478.95,411.024,9353.68,-3504.81,923324,1027.25,1673.26,33812.4,312.728,181016,13289,137.174,-1529.75,56500.4
1.58483e+06,496196,-2442.12,648.747,5323.55,-553.113,2428.4,-1162.35,568617,2704.27,48981.4,30242.7,936.713,17455.4,6512.85,1235.65,13259,2448.58
1.52471e+06,667949,444.354,651.451,10340.2,-514.21,776.039,-751.38,208981,3042.16,53184.3,29507,-272.755,27827,5408.28,6083.27,2076.1,24778.3
2.68447e+06,1.63975e+06,381.772,272.686,2981.54,-1017.33,4009.82,-826.431,85440.5,5391.48,80468.5,5852.1,264.226,26765.8,4845.46,-204.534,2424.67,23662
1.39202e+06,373610,-5352.97,1709.38,4654.45,-89.13,105678,-1189.33,421100,504.345,706.935,10370.5,247.92,98502.8,4079.18,-325.109,919.098,54205
1.79796e+06,698870,-1606.56,980.435,6628.49,-162.898,340.547,-64.2217,61570.9,3035.58,86744.8,14044.8,1344.3,51327.9,5798.17,4369.13,3473.91,5839.27
1.56617e+06,550690,830.173,357.749,846.534,425.465,18220.8,1456.88,354251,4196.79,86716.6,10119.9,-207.563,104981,10777.2,8533.22,-4926.85,5673.31
1.9968e+06,500550,-3862.93,2192.72,9500.23,-290.076,747.37,-697.797,273121,1444.57,34172.8,19866.4,1009.83,78261.8,11386.9,16358.1,8030.01,1011.39
1.93766e+06,793184,-2684.98,437.038,755.155,-660.727,679.768,-755.319,629687,1191.34,49094.7,6575.5,917.52,85057.1,8718.57,10952.9,4865.41,13558.2
1.26798e+06,497563,-15662.8,1706.94,7759.33,14.1105,219927,1297.01,565536,1032.84,28.5813,3817.56,599.435,71484.3,4576.51,6087.79,14430,37082.1
1.44956e+06,526123,-212.89,1944.87,-904.81,27053.9,3774.47,-430.943,25122.1,1099.51,-3068.55,11074.8,-638.438,5268.44,485.887,711.311,44100.8,2015.84
1.6827e+06,586753,783.292,1107.06,4592.98,137.859,1390.53,-236.19,26296.1,11138.8,83714.6,14517.9,681.167,66133.9,9972.22,213.495,2488.76,11763.9
2.20622e+06,1.53025e+06,928.4,-673.586,5878.03,-1090.41,8683.5,-1067.9,140389,624.173,1132.39,3813.88,278.444,50559.9,5322.71,278.486,230.053,58182.6
1.58473e+06,482030,122.547,384.901,3654.84,-759.049,816.533,-341.643,1458.19,4322.54,63696.7,16182.1,1125.62,32504.7,3239.76,80.0638,2092.08,16917.7
1.6472e+06,782449,449.094,-603.245,-889.085,-139.211,229.375,675.928,263328,1897.13,55164.4,23550.3,730.077,92669.2,11002.7,1258.15,-56.3685,15376.7
1.83355e+06,895197,-3593.52,623.969,29571.2,-973.117,-483.617,-182.905,20138.1,17055.1,257069,76187.2,1091.29,106725,4351.58,343.697,7075.65,16346.1
1.41324e+06,766201,-2365.27,1175.67,2555.16,359.438,1925.1,-1084.15,410084,10579.5,89813.6,12217.9,1081.03,159662,3498.4,6325.41,-102.733,17556.9
1.59022e+06,1.06769e+06,-1078.14,563.827,7705.05,878.736,-138.965,-529.27,118929,518.664,10088.8,10661.5,-681.465,8922.47,3664.77,461.058,985.69,9897.7
1.44326e+06,1.14962e+06,-790.276,866.673,1041.41,320.479,1054.03,-74.3654,46000,2880.07,8677.13,1811.85,340.824,5063.48,5037,-121.737,4247.47,19689.8
1.54123e+06,412058,-214.955,-321.172,2188.18,-264.021,1556.81,236.948,192536,2924.25,28696.3,12273.5,947.862,37759,14265.3,4099.71,-2167.46,9751.66
1.64343e+06,562740,-1281.42,790.727,5505.76,282.893,959.68,-1330.98,346643,2821.5,10102.6,45297.3,1077.3,35262.2,3716.88,2345.96,304.365,7040.6
1.31056e+06,456615,785.666,-116.391,12619.8,420.855,122.642,368.181,44420.8,11592.1,57942.4,11568.5,629.563,14430.5,1794.83,732.518,1540.32,11740.1
1.29594e+06,662346,198.313,-133.183,3135.56,519.676,655.464,445.399,11789.5,5887.57,97159.8,7952.05,549.083,45824.9,3333.23,606.158,2622.8,6133.79
1.61943e+06,675665,-820.522,-827.837,4321.31,251.442,62.4617,-661.441,132455,2980.08,47634.5,2973.37,619.123,58929.7,1899.01,808.603,77.4044,24729.9
2.15243e+06,645093,-670.665,-16.9588,6266.52,-862.859,-203.21,1708.88,-136.23,1449.36,43510.9,314.128,725.958,497.062,-289.946,-156.113,3939.85,1329.79
1.49735e+06,574247,-1805.56,-85.9895,11705.9,664.765,2150.96,-2951.99,777452,2289.65,62017.4,42471.2,1078.64,31509.4,11177.3,1904.55,-6562.05,3296.03
1.43614e+06,687710,-3153.17,1653.61,10526.8,2202.03,-1310.65,-785.253,621774,5411.88,50028.3,39486.6,410.683,58379.8,11073.1,-136.058,5355.08,6134.84
1.72193e+06,876397,472.259,339.061,-602.799,795.432,1264.95,-253.818,3666.86,-137.953,7098.5,778.512,4297.68,-275.804,728.744,-877.095,1043.72,284.716
1.44856e+06,793519,-4397.77,1503.57,9773.46,-271.354,2494.45,-1190.71,841469,4588.47,85264.8,11660.8,1056.95,58730.1,19494.6,5492.06,14874.3,2686.16
1.37626e+06,809003,-2719.59,400.644,7117.46,-843.626,-540.237,399.766,433401,-180.57,58694.2,18486.4,715.483,37029.4,11369.4,3411.78,2613.73,668.56
1.4377e+06,633417,-2492.11,550.96,9527.49,736.092,4053.43,608.63,309790,4991.02,1169.5,43997.2,670.452,174193,19681.4,4518.56,-1649.94,832.744
1.79379e+06,757567,-626.769,913.186,12405.2,434.764,-426.961,-604.35,26468.2,8957.63,217117,16623.6,-200.002,56411.2,1474.06,3560.38,4644.63,38174.8
1.48185e+06,639037,-4856.55,1192.93,2083.53,-162.219,16432.4,215.479,648294,384.826,-341.086,4741.43,711.293,87124,1250.04,306.115,10586.1,52277.9
1.45617e+06,690668,-632.151,459.038,5679.5,-109.879,386.012,-1068.44,124915,8005.96,64359,6882.96,709.372,48152.9,7000.16,11402.1,2583.7,2817.61
1.89562e+06,839017,980.217,576.296,3826.17,-568.511,9970.6,151.728,300887,1734.32,27569.4,15423.7,898.149,47357,14227.3,16598.1,-1189.65,16324.8
1.43202e+06,379572,-2903.51,515.543,533.82,1198.27,775.779,-72.9735,178871,3016.17,-135.795,42155.7,815.498,61512.3,10432.3,705.795,1533.2,12208
