"FSC-A","SSC-A","CCR6","CCR7","CD11c","CD127","CD16","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","NKp46","RORyt","T-bet"
1.27215e+06,398532,-84.2855,203.105,2861.39,-435.476,1490.64,-18.5756,195977,760.736,70247.3,36986.8,-775.692,4536.42,4014.79,2090.11,-83.743,3537.48
1.57009e+06,779923,-1617.43,621.948,534.224,772.779,3581.11,-1636.59,188986,1045.38,-983.863,2536.29,1132.21,140.74,2674.76,1121.14,18487.3,7144.46
1.6913e+06,529882,-2074.75,-235.523,4612.79,811.92,768.52,-1245.79,226646,7846.08,60627.2,17592.4,509.986,26118.4,3745.27,2086.71,7352.1,7360.52
1.53427e+06,405623,-150.542,1503.73,2450.38,120.621,-1071.4,-137.026,3892.66,1307.51,2114.86,6174.41,371.498,10011.1,7791.75,5134.58,1166.6,2540.19
1.43239e+06,874423,-1050.66,319.872,3987.03,-217.347,480.092,-462.033,48204.8,1864.85,55735.7,29606.3,-521.841,-417.992,6845.6,8476.58,3948.79,2160.16
1.54155e+06,477336,-516.422,266.454,3876.38,2253.26,37986.9,-606.657,469455,822.749,1462.11,35079.8,287.419,28304.9,12823.7,2254.31,-11160.1,22379.1
1.86831e+06,764526,-1188.51,-12.472,18624.2,2012.78,791.956,-918.359,27827.4,3991.85,41662.6,57853.6,523.189,730.122,7118.38,27070.6,1611.02,1322.08
2.06392e+06,3.6182e+06,12906.7,1067.69,1473.5,-551.964,-328.738,-615.983,96485.4,1539.5,-429.134,32363.7,333.131,22509,4876.2,3576.54,7950.23,22096.4
1.84987e+06,971525,-412.851,231.653,117.273,-66.5824,588.661,387.869,7831.36,-581.632,-56.0587,3312.57,70.0435,4244.73,4149.36,291.749,2817.27,3182.13
1.57542e+06,422071,-4406.95,1259.4,4033.34,2643.49,8644.36,-2050.23,526147,925.441,469.076,4834.44,-151.937,63251.5,8375.95,239.165,-1365.32,55905.4
1.7217e+06,878942,-523.602,-549.826,5815.24,-1710.97,144419,-2469.87,776947,15418.4,166148,40903.4,1588.6,53045.4,3694.8,16094,-3157.56,28327.5
1.76901e+06,270758,-4301.74,-40.1411,4169.7,-1204.08,-441.979,-2106.64,562889,53.6162,64.6334,6039.82,739.91,20804.3,808.907,-102.647,-2983.35,68098
1.45382e+06,339932,-2046.58,864.407,5640.72,-1941.73,10681.3,-3313.7,494966,1936.67,1347.03,5341.06,531.952,33741.6,2284.92,-163.549,-36.0657,26815.4
1.6987e+06,407793,695.446,-305.452,9635.59,931.167,283.952,-369.954,41155.5,1126.82,89431.4,26828.4,997.475,1753.36,10439.3,1962.24,1151.55,481.335
1.4996e+06,828521,540.266,719.701,5459.48,-448.808,19003.6,-814.76,43016.6,2930.2,135578,27447.9,147.096,62979.4,13814.9,4059.69,2750.78,11642.9
1.54766e+06,661680,-91.8955,-41.4271,-120.047,-681.845,-89.7962,102.29,23462.3,11057.5,107419,21326.3,1308.08,1496.93,3241.86,1140.91,1793.56,1799.44
1.29441e+06,439406,-747.135,1255.8,2418.2,369,17767.7,-55.8831,23724.9,1249.07,-168.549,5118.19,-999.298,45669.1,4925.27,3290.94,2355.56,14074.1
1.56402e+06,372802,-4849.29,819.842,3016.22,-968.567,10681.8,67.0385,348187,-1146,607.478,6010.13,46.4929,38328.9,2034.51,-220.489,3726.3,72768.6
1.57667e+06,375861,-2675.16,-185.921,1336.06,-682.408,10092.6,-1552.08,518757,1542.56,2854.26,7714.41,-138.8,28422.3,1882.95,865.327,-4021.44,31662.5
1.19745e+06,320216,-932.668,370.446,1152.24,250.623,-274.991,-412.742,11241.4,888.955,53.9953,780.3,29.499,38607.5,4057.96,507.943,1684.93,44782
1.599e+06,627848,-142.863,-444.564,8328.05,1369.08,5689.65,-2064.53,583987,1880.69,3969.6,13777.8,577.542,78989.3,9896.47,14849.8,-13925.3,8226.94
1.4536e+06,361048,-1082.02,192.728,3862.11,-100.334,911.786,-619.878,54637.8,6343.79,66169.4,4978.48,-237.94,16935,3817.81,950.105,-866.881,642.122
1.64021e+06,815912,-2605.67,1197.16,7341.8,379.172,-645.609,-679.416,495140,9103.69,271379,62148.1,-521.464,5525.11,5096.21,14773.1,976.6,1023.93
1.43203e+06,750402,-1173.8,1049.19,283.934,-1124.58,8136.98,-1590.49,277897,7019.48,58393.7,7313.7,163.231,17456.2,1860.72,3265.06,3946.05,4107.59
1.60099e+06,427338,331.788,1137.1,3304.04,1084.72,1338.39,208.882,59957.7,2347.63,137594,14261,761.358,39029.4,3797.22,1480.51,1406,1346.1
1.62166e+06,478987,1489.99,-244.156,5683.16,1771.33,178363,-1956.59,578641,2370.95,2856.13,5173.77,439.166,124909,8387.27,4107.52,-6392.96,52102.1
1.44662e+06,427063,-3598.7,119.02,1970.77,-934.026,33055.3,-1040.94,625670,1643.48,673.57,12946.9,-323.56,36536.4,6466.93,3764.31,-5371.79,41456.8
1.50488e+06,383445,-3428.39,788.979,5758.39,-1615.91,10251.8,-1798.72,510097,1711.77,423.736,13662.1,17.3845,32346.8,602.829,268.065,966.525,61359.6
1.30515e+06,370092,-2628.14,368.118,218.034,566.013,-453.471,-158.538,3398.51,4666.53,58389.1,17417.1,280.829,11639.3,1553.99,541.358,2039.61,16600.2
1.53387e+06,298110,-2765.6,282.854,2061.84,-1243.18,15174,-2220.36,358560,669.85,478.299,24150.1,-121.594,5352.67,4368.35,-96.6063,262.794,51336.3
1.29037e+06,567906,-3863.67,711.405,4959.25,1302.28,1272.49,-2391.6,556860,1212.56,56228.3,42655.2,166.506,15534.6,6635.32,1629.67,163.145,2576.66
1.59106e+06,449266,-79.3853,278.801,2318.32,414.071,8654.22,222.704,117959,128.728,-1082.58,150.033,360.055,-55.387,1620.27,143.302,12979.4,6112.78
1.67444e+06,1.02233e+06,-1048.15,-85.7275,3004.55,1063.02,-73.4018,-144.101,2986.25,48.0778,122733,18718.5,675.371,27678.6,7709.62,4036.23,2128.93,10582.5
1.84567e+06,453421,-1610.36,-57.9711,3605.09,326.297,388.574,-972.004,301395,-108.704,31210,25491.5,-166.904,1725.99,5245.97,412.121,-434.538,2192.77
1.68239e+06,498348,-5133.08,1135.17,10895.6,1850.24,22009.8,-562.711,515422,2776.79,292.139,28659.8,1538.01,82410.6,517.224,-1117.41,5561.36,60669.5
1.28202e+06,342424,-409.182,627.944,770.007,-14.3807,633.938,116.48,40748.2,198.799,63350.3,10562.1,298.828,8906.5,7842.7,1931.42,1677.34,2350.23
1.53201e+06,566711,840.129,161.631,16747.7,-67.3713,866.717,-78.6618,14375.4,630.641,1084.11,13496,238.94,7960.44,9692.74,2677.72,2295.72,11979
1.57764e+06,607811,121.339,424.361,5196.96,1112.18,2952.35,786.055,554721,2309.33,814.904,14765.9,858.817,13864.6,9761.42,-437.426,-8911.14,57991.4
1.6023e+06,2.33938e+06,10405,797.269,3180.34,-850.681,13914.3,1363.78,6353.77,-389.704,-395.333,9298.16,-782.434,7799.38,12762,2368.3,8441.67,24607.1
1.63508e+06,745005,-1264.09,-5.69884,2663.65,261.541,-157.09,70.464,364.276,-114.063,72499.8,9189.63,-115.557,21511.7,5961.85,7496.53,1386.94,750.651
1.27595e+06,364300,-2340.33,546.927,3324.21,-1600.86,105635,-974.352,445550,941.459,1859.27,11257.4,-1152.38,75348.2,6381.12,1667.09,-4056.98,49787
1.33501e+06,405605,-552.231,-75.0864,742.85,787.676,454.774,509.084,16940.8,2370.75,61607.1,11512.8,208.577,9132.82,6005.11,1508.85,1131.89,11571.8
1.59558e+06,409710,-2033.89,551.357,4242.15,186.186,10116.4,-1239.48,507525,-38.9851,808.218,10579.2,304.703,34624.5,673.291,416.338,-5478.45,15933.3
1.59537e+06,383091,-3582.74,-441.381,13678,-159.142,24463.3,183.746,337550,41.1445,-445.419,8664.36,-550.728,38662.6,5698.8,1703.16,2369.68,36579.8
1.86129e+06,285096,-922.948,1174.36,1728.51,-41.8542,112.377,237.134,27489.7,986.945,-95.3276,2114.35,245.25,78589.5,7831.6,6629.07,748.402,21205
1.37312e+06,307479,-3537.54,5263.88,3573.64,612.278,77765.8,-2391.16,215057,754.492,2493.34,12078.2,-145.383,58246.8,1062.26,1781.82,1805.04,1463.43
1.35304e+06,399602,-1591.88,-160.83,4225.3,638.331,4599.26,-875.221,197580,1250.98,351.955,6366.08,-149.982,27469.9,6785.61,128.039,-840.534,32677.6
1.41574e+06,656567,-1752.51,548.605,1749.64,-185.53,6288.66,-403.82,9598.13,14252.6,138627,17471.9,40.7642,36411.7,13243.8,1693.1,3020.3,4773.49
1.66405e+06,387708,1545.69,236.277,-491.595,20410.2,630.305,29.159,-720.313,1087.12,-540.709,3695.38,1117.5,650.855,-1037.43,-81.7988,14276.3,584.729
1.48364e+06,717010,-2746.36,39.6029,8823.74,-104.246,-508.4,-263.734,27652.6,166.036,73692.8,55255.3,185.446,12564.2,4450.07,2946.39,828.424,3077.06
1.63257e+06,622538,-4131.63,602.125,13173.1,2050.17,378.277,-544.419,385771,11494.3,58447,33741.8,1489.64,35170.5,10615.2,2170.27,4885.79,18775
1.66782e+06,1.10165e+06,-1882.53,928.694,5124.42,183.469,199.457,-389.012,233510,397.986,-216.324,5405.13,128.388,18052.9,4253.5,562.039,2488.69,9875.42
1.89593e+06,659875,-3101.55,230.451,8799.14,-200.298,-157.653,377.357,45124.7,1005.25,170109,30855.9,867.9,42142.5,11837.3,6576.03,3493.1,2751.03
1.34116e+06,344758,-2111.95,1611.57,2224.06,1316.48,5025.91,-1512.97,377816,1214.09,7656.29,2091.54,351.426,36424.5,7092.61,5187.95,-3875.42,16736.1
1.85462e+06,2.27805e+06,10328.7,834.964,-52.8593,-126.221,4883.05,7108.5,5158.18,4436.07,123.485,-8.73402,2290.61,655.224,-269.13,1071.97,8373.24,912.317
1.43345e+06,274905,2505.34,603.777,-787.791,-836.024,801.194,-267.821,2085.25,750.088,-1205.96,-221.572,685.524,817.269,-667.613,-298.006,1777.94,916.711
1.86063e+06,458643,-1536.16,213.815,728.236,495.189,-487.105,-289.74,4760.16,-28.2854,-111.194,1478.33,-347.544,12263.8,25967.2,656.153,2369.65,32057.9
1.53149e+06,442249,-853.506,300.905,5864.06,20.2072,-238.524,57.0045,9182.11,567.275,79881.2,9878.36,62.6938,11369.1,5777.67,2702.46,869.178,1022.95
1.57579e+06,734544,-388.026,584.209,3231.27,259.219,133.204,-499.051,193290,203.78,2982.08,8501.98,467.471,14048,430.141,3589.86,2022.69,16272.3
1.56918e+06,277678,1579.72,713.776,154.888,-592.851,315.716,-59.4634,14944.3,-447.034,-50.0328,912.561,-19.8919,15069.1,9582.18,1189.01,2543.45,11242.6
1.80952e+06,506123,-701.101,87.7027,3631.48,-273.902,19519.9,-55.402,56849.3,609.689,42849.7,22253.4,1169.29,20432.4,7206.52,10233.5,2328.57,2490.61
1.44442e+06,589996,-6870.09,867.691,4159.46,-246.364,114280,62.77,514116,1589.65,1634.13,14654,181.095,12344.8,4103.29,1202.22,4502.68,20471.6
1.44727e+06,473056,-4417.23,1120.4,4970.73,-327.782,52714,-2694.14,538189,955.415,1212.69,21311,698.034,71081.8,1377.97,-625.139,-5269.26,39323.6
