"FSC-A","SSC-A","CCR6","CCR7","CD11c","CD127","CD16","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","NKp46","RORyt","T-bet"
1.59757e+06,455793,-5155.22,1232.69,1990.84,54.5556,120601,-2194.74,423678,1552.93,822.811,28521.8,-384.349,55339.8,1711.15,464.708,3770.16,37729.2
1.89881e+06,551773,-1147.04,1697.93,4582.8,2858.65,741.163,-1055.98,70988.7,7146.38,75507.8,26613.9,141.794,72985,3336.93,2866.22,2870.98,36987.1
1.56696e+06,284855,-3387.59,1543.93,1533.3,355.792,52160.4,-230.207,268606,707.188,340.854,12650,52.0764,85832.8,1347.08,236.711,3939.24,30304.6
1.59385e+06,285823,-2306.13,1049.62,1249.19,798.387,-174.062,-93.5205,64000.8,9313.16,104927,15229.9,1124.32,12116.1,3328,2301.69,1867.75,10419.8
1.5437e+06,783621,-1617.13,599.275,3496.92,192.584,210.368,-449.708,9799.22,5740.1,208549,43087,636.187,136176,2959.28,819.258,2541.3,8156.2
1.46649e+06,439637,-6997.05,945.183,6296.66,-1835.13,257021,-3141.77,655044,2005.33,2389.96,4505.16,-12.7773,111907,1178.61,1568.77,-1904.76,64751.2
1.48775e+06,632822,-1629.94,1083.1,2026.87,-738.868,1972.22,-1899.92,495308,3734.23,136828,50982.8,-336.203,54641,2527.4,4671.98,2428.48,10907.5
1.51387e+06,563760,-5492.45,710.181,4465.07,-88.271,100052,-2355.8,519650,2023.53,959.783,5515.15,-284.259,32178.5,-806.065,1383.66,1322.05,35094.7
1.39531e+06,418903,-1563.46,273.546,5179.64,1379.77,198632,317.216,497500,453.064,1731.91,19232.3,-86.9541,78635.7,3403.06,1066.51,-3624.77,65590.1
1.57671e+06,620161,-1474.21,388.953,1425.62,2901.23,1010.11,-2783.95,531654,1509.91,36921.9,11269.8,-90.4618,32254.6,8443.44,5780.54,-6043.85,614.031
1.61177e+06,634182,49.1527,-286.726,4147.74,1103.83,-306.838,-292.337,2025.38,15722.2,199440,18941.3,638.541,33498,5748.04,4789.12,3214.96,12308
1.28305e+06,524596,-7749,3537.62,4003.3,-2385.55,125548,-246.668,618972,70.7784,466.032,20103.3,1888.78,191962,2399.04,384.775,4908.7,57295.4
2.01959e+06,590086,-659.832,349.79,3248.83,-36.0651,379.071,-95.2257,39563.4,7985.65,74340.2,13978.2,1480.36,52916.3,1520.19,14976.4,1390.1,14296.6
1.55591e+06,376006,-4513.92,493.234,2370.27,-1939.06,95355.3,-1126.17,471919,2217.11,1743.58,5708.76,-1225.16,55174.8,415.704,5437.15,1589.82,60735
1.59367e+06,436051,-1654.14,597.562,2207.51,-903.109,-19.2521,-709.146,112494,4523.3,72520.9,19521.9,43.9993,19969.6,3701.62,2432.94,1191.41,5369.92
1.31034e+06,344686,5408.87,287.808,-575.556,13821.7,20.908,138.272,1681.84,708.634,4638.21,13029.6,638.992,302.939,477.632,-261.153,12695.2,257.921
1.64945e+06,551581,-2107.73,463.368,2424.66,13.7479,17510.2,63.2765,231261,694.936,51994.4,26417.2,-559.867,145542,6915.04,7885.15,-659.008,16492.6
1.54134e+06,411768,-2523.48,808.968,2702.21,1180.18,2356.26,-1172.5,317643,2368.1,853.646,15956.9,475.667,95647.5,3212,1357.94,-200.283,4813.83
1.84389e+06,572267,-1541.58,516.267,920.953,-576.001,-1554.06,-945.905,184958,1727.54,194107,32210.2,1435.22,70097.5,4612.5,1027.64,1599.83,6700.5
1.83126e+06,877110,-2662.36,751.345,5468.21,690.217,1922.21,-1647.46,407440,6638.24,230116,39129.6,288.706,38762.6,5059.91,6654.61,301.286,3676.86
1.40646e+06,412778,-285.351,1144.74,637.072,896.756,5650.23,49.8513,398870,925.431,780.574,32418.9,-113.507,40809.5,9112.94,-16.6212,-5282.24,6765.66
1.60069e+06,992439,-1276.82,944.414,5416.11,282.471,1206.62,-1410.74,373986,19908.1,190760,16409.9,297.114,91464.8,5712.94,5031.45,48.5123,7165.25
1.66304e+06,569226,-1077.68,119.313,-349.701,1577.03,-590.209,-455.557,72418.5,7604.45,80986.8,34829.2,602.345,15212.2,4472.32,227.749,2621.13,12338.5
1.66462e+06,1.50254e+06,-258.814,287.232,-871.09,2060.93,142.52,54504.9,2495.08,-274.465,0.178986,743.19,269.221,106.295,-2.2832,300.213,5311.94,974.91
1.36567e+06,645525,9.90231,498.049,3298.92,159.088,5152.84,-88.5167,648178,3268.07,80128.5,22250.4,1919.94,56138.5,5420.54,2007.9,-7988.88,1274.84
1.27904e+06,368057,-3649.05,1747.91,5848.73,-375.435,38932.1,870.993,492672,-477.462,1158.17,18621.5,2309.86,44892.5,3386.43,-254.693,10956.1,14571.7
1.36974e+06,704294,-279.772,108.531,2946.31,92.486,1457.39,-460.249,307240,2465.58,78156.3,26056.7,527.197,30465,3008.49,1779.71,3560.23,924.805
1.48904e+06,736542,-2320.65,1399.19,3805.55,-71.4684,215.625,-1778.64,554246,1998.71,145873,13375,-213.943,95067.7,14270.8,2989.96,-2693.84,1423.88
1.86887e+06,1.90257e+06,-1193.1,5238.93,-886.295,3106.66,947.879,24867,-69.134,-284.98,816.707,310.151,3482.89,923.613,93.7383,-194.601,5094.01,235.971
1.54801e+06,623060,-1127.38,898.49,2674.03,783.856,1296.96,-1321.92,335117,903.366,711.179,30050.5,158.582,49486.7,11684.8,6620.96,3512.82,3710.25
1.84518e+06,617982,-6440.21,1647.58,2209.63,-1491.01,139364,-570.138,619829,2962.27,-37.9752,27691.4,1018.92,122433,4451.86,338.488,4684.77,56812
1.65743e+06,517114,-2951.83,413.938,585.854,405.959,-1761.87,-992.68,411611,2024.1,103362,21484.3,28.4602,56892.7,10870.6,835.646,931.478,6084.6
1.56415e+06,894481,-1847.05,1343.91,6058.66,313.168,1133.19,-863.988,178528,65450.2,18340.7,50659.5,1434.71,67968.1,1778.37,5252.92,1736.65,36975.6
1.51037e+06,348056,-342.251,-236.101,2189.85,437.126,1807.01,-1535.75,358230,1247.9,87670.7,9459.37,688.024,64494.3,12336.2,1533.1,-4284.83,1845.68
2.09527e+06,1.21149e+06,-214.546,673.578,-1273.83,430.6,-190.967,22029.9,-126.633,315.637,2092.77,-35.6459,121.126,1171.34,845.552,281.318,4273.43,1431.7
1.7466e+06,789039,2727.24,824.845,-385.855,4884.8,574.998,-255.253,642.68,1450.94,37813.3,34141.4,30.0576,52427.1,384.242,83.9511,6465.67,1078.81
1.77203e+06,490222,-214.865,708.767,1742.57,153.798,2640.19,-2360.68,587796,5447.16,66872.6,28887.1,473.342,68911.3,2438.36,4071.94,-6245.25,18745.5
