"FSC-A","SSC-A","CCR6","CCR7","CD11c","CD127","CD16","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","NKp46","RORyt","T-bet"
2.49742e+06,3.30128e+06,-7900.38,692.635,-2391,302.353,-3682.38,-2715.35,-1878.42,4221.56,-2216.42,-254.21,508.362,34.1339,-1270.8,2647.68,27440.8,1361.16
2.2054e+06,677737,-3858.05,670.422,18427.6,833.673,-1160.05,-426.98,10743.7,21372.2,219757,22972.5,959.966,33425.6,3634.57,2834.01,4254.66,14180.5
1.47818e+06,535382,-3642.96,640.507,3735.01,665.927,1024.09,-819.3,34895.2,1403.86,38749.7,10552.3,452.195,40988.4,10308.9,2082.29,3186.84,23125.4
1.84182e+06,610592,-2945.09,732.432,2477.61,1057.85,97.4535,-321.182,57393.9,3105.42,5923.63,10073.2,-286.409,10798.7,12032.6,152.926,4059.78,20943.6
1.59698e+06,858244,-2528.14,1197.89,9391.91,-530.532,561.617,371.199,10349.6,-851.502,43912.3,22217.2,790.696,26036.7,4482.5,3657.85,4022.51,28545.3
1.51799e+06,651067,-1956.07,224.945,1284.78,357.794,25373.4,-187.176,91537.1,359.398,89412.7,3900.15,536.018,12709.4,14803.2,1855.79,4329.47,6116.14
2.02751e+06,1.06697e+06,-1859.22,-414.655,5919.66,1131.06,5093.5,124.331,7741.25,6727.94,139068,11356.3,-751.026,44842.3,9578.86,1455.98,9296.54,19054.4
1.64854e+06,1.21021e+06,-3729.82,-220.795,3544.44,465.747,3179.92,337.478,280571,649.885,96678.9,35417.6,-138.407,26388.1,11778.8,505.617,8518.25,7820.43
1.59797e+06,720276,-1487.62,121.162,4855.4,235.955,-426.975,99.4034,952.502,-227.322,67593.4,2899.28,642.325,5979.68,6315.5,-310.513,5103.67,1666.44
1.39776e+06,669803,-162.49,103.963,5688.2,106.907,29494.9,350.583,15317.7,81.689,86780.6,2700.38,-1247.03,11159.1,11369.2,7073.89,4146.22,3827.91
1.79469e+06,859062,-1110.45,-361.022,2961.35,777.572,-189.777,584.155,6923.33,-612.401,97972.8,6812.42,-408.662,15470.7,2665.06,2321.45,4834.31,11589.2
2.01325e+06,1.09878e+06,-2027.63,769.466,5075.04,770.921,4398.33,1685.58,100914,621.76,21001.8,17609,97.7443,20076.7,23111.3,230.379,8242.85,8615.94
1.87438e+06,1.09616e+06,-2031.74,6340.69,-250.684,22.6692,2399.93,-3.16469,55219.4,899.317,26631.2,13272.4,1.84326,2559.12,8766.34,50.8635,6801.12,19301.1
1.32996e+06,930996,-2742.44,-114.176,12340,758.096,1187.98,-846.104,42211.1,-521.455,116288,18275.2,-107.912,25995.7,3981.39,4285.53,3167.25,36277
