"FSC-A","SSC-A","CCR6","CCR7","CD11c","CD127","CD16","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","NKp46","RORyt","T-bet"
1.58194e+06,988640,1990.54,740.435,15542.2,-751.112,41818.8,-402.438,574597,2131.15,1463.44,30823.6,1402.74,14231.4,6173.29,-118.332,-7620.84,25313.1
1.52053e+06,2.00881e+06,5112.75,1116.92,5377.84,-1484.24,8757.79,-37.506,48195.3,706.386,2057.81,24049.1,-49.6846,4936.98,4547.78,161.628,3111.21,19493.8
1.51263e+06,770794,-196.727,542.486,1433.73,335.865,280.268,-167.997,6491.15,855.966,37297.3,11202.6,-64.1777,18771.4,3402.95,1688.14,2533.49,10569.9
1.65851e+06,831088,-2742.03,1290.3,4146.65,-626.505,2228.14,-563.002,662684,2562.96,324035,15544.5,1548.41,109807,8468.11,36768.8,2470.79,1118.03
1.8071e+06,1.36975e+06,-747.959,2495.21,-551.904,717.509,739.266,14076.8,2087.74,671.1,997.13,592.792,891.075,-1010.4,49.984,476.373,4188.88,1195.23
1.45923e+06,525980,-712.036,-189.225,2965.79,-975.344,2622.53,574.314,91936.2,-675.984,100.451,8286.15,-133.217,4625.87,5972.93,-596.651,1937.72,21940
1.41436e+06,398361,-2410.92,196.099,13189.8,-644.214,40802.5,-659.047,316154,1399.96,1491.96,12006,-1597.91,41808.2,3578,2159.28,-2543.45,50999.7
2.39502e+06,2.4697e+06,-4520.4,997.32,21103,1521.13,6198.31,-3834.28,150324,92168.1,636603,2651.77,-156.967,416.411,12843.4,339.648,7749.22,421.435
1.44894e+06,601735,-2553.2,472.246,6211.38,1425.77,-401.564,-62.5038,14633.1,846.286,109397,25410.6,350.91,4873.96,8789.32,3121.86,2254.31,3112.98
1.69051e+06,1.65404e+06,2506.38,1330.75,344.981,1026.01,16694.8,516.265,83392.7,408.404,855.896,13316.6,-252.251,21781.1,9756.21,91.8853,8086.28,54849.8
1.90279e+06,1.38544e+06,1704.17,255.342,4718.06,-396.713,10481.8,-125.825,23680.4,-726.289,2083.68,7874.06,78.2724,4378.3,7324.65,99.3379,424.24,18251.9
1.916e+06,983812,-2569.37,1684.96,14595.5,-906.099,4416.27,-1338.05,474123,1919.17,324089,13856.7,442.44,52190.7,9761.94,606.236,6421.72,27302.7
1.91802e+06,1.26695e+06,626.421,724.059,7261.69,-522.275,1274.24,-309.563,225075,1638.26,1901.36,14957.2,-467.18,26922.2,16359.8,328.957,1539.47,30578.3
1.43932e+06,1.1159e+06,3421.1,-715.885,5727.06,44.4297,7266.01,-0.842985,484735,3977.71,212254,15011.3,772.144,68052.9,11833.2,21294.1,-8005.97,1445.05
1.59297e+06,799165,-1882.31,395.596,4525.97,83.0991,1114.65,-160.896,106792,5688.81,924.008,64378.9,680.164,20311.2,3605.46,540.371,1673.45,8491.28
1.53997e+06,705674,-1453.22,211.439,4186.77,244.133,-597.798,-550.478,302996,1326.45,126616,23594.6,-101.751,19249.2,9040.74,142.293,1199.18,4617.08
1.55603e+06,675969,-3887.95,2183.32,2813.52,-29.5054,541.677,1000.96,254805,8272.11,169506,16089.4,589.625,102827,8188.59,3013.68,4245.15,1754.02
1.3242e+06,473160,-12046.4,1846.02,9201.02,1084.72,226035,1411.36,341583,1818.34,681.459,12761.4,-269.501,27205.9,4647.84,4428.78,12784.2,40877.9
