"FSC-A","SSC-A","DC-SIGN","HLA-DR","CD56","CD45","CCR6","CD45RA","CD4","CD69","CD8a","FoxP3","CD16","CD14","CD49a","CD163","CD3","CCR7","RORyt","T-bet","NKp46","CD11c","CD127","CD86","CD20","Eomes","Time"
1.5196e+06,551499,-332.641,2192.07,162.021,31109.2,-4108.59,653440,-2166.72,8310.3,147756,1828.45,893.998,1128.6,3391.36,-253.375,38005.7,2138.12,-518.885,31919.9,-897.938,3891.95,-536.1,1122.36,1763.3,1955.03,1.4431
1.5683e+06,1.5317e+06,-5845.64,487526,23833.9,49346.7,229.053,791.105,980.891,815.498,187.119,-85.0071,1709.47,37396.5,5951.91,-1567.05,1842.99,3070.29,4244.59,1083.96,-1130.31,33976,2056.11,34069.6,-449.264,1446.61,1.60065
2.7464e+06,1.67645e+06,1093.78,167225,149944,93918.4,-2113,12090.3,505.131,228.838,-957.875,176.241,-656.865,81948.2,-424.026,8592.62,1205.51,1671.6,4675.35,-27.2627,-393.58,12014.1,1398.34,13804.5,-98.3013,166.761,1.69948
1.38519e+06,645553,-130.861,-1.49023,30398.3,57229.1,-3022.51,128137,-893.627,10944.2,60892.6,246.956,596.913,746.915,14546.2,-129.316,82540.1,913.485,2590.16,26854.5,-819.92,1848.02,694.589,462.519,5019.58,1785.85,1.74059
1.76856e+06,1.70842e+06,-2096.46,373875,125748,67501,177.052,84629.3,-1065.55,379.156,1497.79,131.791,116.527,46150.4,1835.14,2617.04,1649.55,-2101.56,5034.19,282.097,-965.428,23930.8,937.344,36664.7,-64.2979,2078.63,1.94114
1.62308e+06,888024,3438.67,29412.3,41593.6,62646.3,-3114.79,26746.6,-692.856,609.24,-105.246,-114.144,1126.77,10527.7,1054.39,6671.47,1933.29,-165.125,7090.86,975.026,1205.93,7547.48,2558.11,6857.54,-563.174,3048.68,2.02167
1.47142e+06,256052,-1704.61,1187.2,-240.658,49821.7,-1759.77,14885.9,-273.731,95.1841,108336,-159.275,-698.104,642.536,2019.46,549.153,33113,2936.9,177.849,31034.5,-306.994,553.628,2424.68,504.731,1205.08,1306.17,2.08358
1.35495e+06,479295,-1633.06,487.725,-124.16,107841,-2572.27,4071.6,5736.56,6139.49,1683.83,390.696,-508.411,-90.4236,725.01,-485.408,46735.8,-1134.52,-172.923,7562.61,495.255,-195.696,575.889,58702.1,-1542.92,2169.76,2.1322
2.00591e+06,1.21082e+06,-2023.87,208718,66542.7,35770.8,-317.126,-159.003,-387.099,1598.4,-2037.52,-23.2493,-301.568,1157.59,6725.21,558.07,23.9171,3690.32,3051.02,1550.27,-576,10395.1,511.868,2856.44,-548.459,491.003,2.1552
1.82716e+06,377991,-1396.05,68.9458,2127.96,24261.1,-4470.1,388406,-3173.71,4650.14,15099.6,-147.294,94979,316.165,1166.95,-991.871,1143.1,275.467,2025.09,38006.6,3394.4,5807.05,-1930.81,-413.768,997.558,2999.76,2.29394
2.26481e+06,1.7685e+06,-2505.51,353827,332039,98471.8,-939.642,1088.77,397.557,516.22,-1862.54,-1033.96,19163.3,89736.5,799.98,7709.63,1546.4,2264.28,859.785,957.201,-1199.71,25009.9,836.489,11846.8,-1699.98,2273.05,2.34296
