"FSC-A","SSC-A","DC-SIGN","HLA-DR","CD56","CD45","CCR6","CD45RA","CD4","CD69","CD8a","FoxP3","CD16","CD14","CD49a","CD163","CD3","CCR7","RORyt","T-bet","NKp46","CD11c","CD127","CD86","CD20","Eomes","Time"
1.30862e+06,309206,377.07,1818.07,-176.827,45517,-2421.32,5732.56,-105.486,12340.1,99257.7,-322.498,887.096,424.603,716.971,913.585,10301.3,2135.27,3867.8,2939.69,346.003,-305.093,2057.44,-341.49,-260.543,3681.25,0.826057
1.9377e+06,392051,-923.615,391.554,71572.4,62630.9,-1807.74,15138.2,347.911,22583.5,5279.83,284.656,416.454,210.233,5146.56,564.722,1178.44,232.741,3323.23,10495,949.01,122.242,820.577,-252.769,-610.127,4899.51,0.828361
1.32296e+06,283528,-164.579,708.075,171.783,52067.1,-2349.88,7037.13,-182.209,-399.711,24812.3,-375.698,-255.67,-239.717,517.85,102.331,15976.4,2081.53,942.126,31315.9,-298.887,227.677,-1131.83,580.186,1129.52,-355.472,0.902482
1.37067e+06,312449,-677.416,3232.55,45.579,77162.1,-1178.43,9840.24,-444.327,39454.5,44173.7,283.84,245.472,555.558,5958.14,47.7006,25286.6,1648.71,1513.59,8180.81,121.313,320.383,72.22,538.198,-415.281,1419.61,0.923116
2.2594e+06,716441,16078.4,244466,73288,28199.8,-3977.62,-2030.72,1133.88,-263.303,909.771,-804.886,-4.11096,41446.8,1199.65,6298.41,2896.4,6313.02,6181.75,2719.6,391.426,3268.19,1356.37,7394.12,-486.138,7121.52,0.92512
1.84351e+06,264460,-591.844,623.897,198.766,47155.7,-2880.85,610.216,-48.3617,22143.6,53124.2,-305.143,77.4915,-289.802,10816,703.456,17356.7,926.246,1660.6,3159.58,311.064,334.608,-637.94,-254.307,-236.099,3669.05,0.962781
1.68003e+06,321602,255.857,684.824,-575.512,34594.2,-2408.27,2983.67,-221.643,12257.1,75906.9,546.719,800.501,119.844,18520.4,470.237,20413.2,625.012,4592.27,10235.3,-280.821,1296.9,-576.51,198.281,460.878,1700.75,1.00605
1.58119e+06,342607,-1002.57,-56.834,-318.417,46359.3,-1280.03,16338.7,76.8509,9932.63,32136.9,-276.074,1263.43,694.267,1766.01,633.533,14024,1012.34,4003.66,47273.9,881.061,-801.551,-220.528,-56.2754,643.267,-400.505,1.11533
1.35554e+06,290536,787.936,1296.5,-36.576,29324.1,-1904.44,29553.7,-809.907,-271.719,92170.7,285.208,704.528,519.86,23355.8,359.389,12031.8,2177.41,1343.82,20487,226.122,209.21,4906.07,1795.49,1001.2,-75.1909,1.13166
1.39678e+06,240072,-638.74,1574.57,1888.36,65654.6,-2901.39,14016.2,-154.087,17786,63609.6,-220.935,1351.07,1110.95,6025.87,610.672,28731.6,1071.03,653.971,6503.05,-115.558,370.806,-38.5068,200.533,1279.29,1937.89,1.14067
1.46724e+06,310577,680.677,-178.222,-413.373,59461.3,-1500.39,5950.72,-169.045,654.382,30861.7,44.5096,3006.05,-51.238,312.866,-286.64,17511.9,302.347,3464.32,23969.7,676.062,145.956,-394.162,-340.421,368.462,1428.48,1.20007
1.74664e+06,335515,1019.46,549.658,-614.603,50743.3,-2569.9,4602.67,-191.578,45243.4,86207.9,1055.47,1172.61,-125.608,3160.15,1497.62,23445.8,1518.06,2905.9,7666.32,-173.869,-195.038,5012.45,127.54,133.459,3767.05,1.23513
1.47639e+06,413563,633.51,3500.68,3154.76,43024.6,-998.205,296000,-881.934,34845.1,22936.6,-208.797,-259.205,835.511,2304.45,64.4791,1315.88,-364.231,-1621.76,12843.8,4365.16,6076.31,-503.834,542.041,10889.4,3686.63,1.29403
1.56645e+06,358023,-276.223,481.494,-131.792,30900.4,-997.492,37703.5,-1046.55,688.352,103702,312.393,215.951,617.863,563.141,-743.004,16186,368.808,2073.84,59475.9,-270.053,615.083,-1843.82,5.86035,2415.15,-1026.85,1.3367
1.51448e+06,417492,1048.58,4265.78,32520.8,86159.7,-4968.99,5189.7,14953.1,48186.9,362.162,-530.908,43.2205,70.4567,8189.09,1627.67,28177.3,1048.89,3442.47,19439.6,352.715,-691.077,-413.329,-122.183,764.341,1901.42,1.35653
1.54004e+06,319110,-418.809,-615.482,184.86,70619.8,-524.587,-69.0143,13996.8,22085.3,-225.828,-864.784,-215.094,-161.449,171.741,-75.7995,29890.3,480.393,1561.44,4856.01,309.65,-894.089,9829.34,-371.807,702.64,1531.91,1.46691
1.6158e+06,387162,153.68,4533.83,57199.3,52700.8,-2275.8,82026,-234.79,23286.9,5198.48,-19.8952,970.661,805.371,18892.2,-666.806,1714.35,-254.67,48.461,10265.6,1915.23,1476.17,601.456,-219.98,-583.923,1585.43,1.48183
1.45238e+06,330318,-1394.36,1208.92,409.992,34249.3,-504.485,28080.4,-658.389,4179.6,131643,232.194,614.253,901.426,1086.67,183.283,26681.3,178.345,1874.58,52976.6,-161.935,75.0873,-293.805,482.85,-44.6864,1488.47,1.62447
2.34641e+06,855324,5056.63,272240,110663,61085.9,1888.8,45024.5,-579.423,2364.61,5993.77,563.525,894.9,-10.7838,9604.18,-1788.73,513.379,-3172.09,5464.38,1032.28,-115.534,13281.3,-816.952,785.457,1799.85,955.32,1.703
1.3794e+06,531160,1084.65,2074.87,9905.81,49105.2,-875.156,455.061,-11.8896,34368.2,106382,306.796,1444.03,362.688,27465.8,21.9572,30381.1,-677.11,2147.55,9325.63,-27.4852,-1100.49,907.886,633.665,641.843,4379.68,1.76971
1.63587e+06,553178,699.6,1047.23,-382.961,71907.9,-3299.33,6552.77,-1684.81,16601.3,150899,342.079,289.598,388.58,71028.6,-545.166,25540.7,3322.03,2636.77,9169.45,478.859,2290.31,-926.613,873.456,216.492,-563.045,1.78834
1.75591e+06,390699,-485.468,-360.078,-285.897,48193.9,-2300.52,6611.5,-1788,32072.9,79244.9,-337.224,485.356,179.511,32375.5,1541.6,20962.1,1468.21,2822.18,13464.5,-1422.24,430.697,290.844,1422.51,-349.957,3417.18,1.79044
1.26844e+06,278167,-815.126,6328.86,0.167496,52624.1,-1825.12,4051.47,-234.086,43970.4,79814,28.1373,745.407,1486.62,324.453,2332.6,27075.8,2651.69,2206.86,2114.37,58.922,560.197,-673.952,-318.059,264.699,5585.13,1.83091
1.2929e+06,416317,3687.47,65317.8,-74.0771,92848.6,-5623.24,8920.95,422.818,13930.1,230581,-600.322,-479.472,482.605,1023.64,1873.93,32554.3,8684.6,4620.01,5348.06,198.434,-282.129,291.057,7931.03,-619.401,14689.9,1.83722
