"FSC-A","SSC-A","DC-SIGN","HLA-DR","CD56","CD45","CCR6","CD45RA","CD4","CD69","CD8a","FoxP3","CD16","CD14","CD49a","CD163","CD3","CCR7","RORyt","T-bet","NKp46","CD11c","CD127","CD86","CD20","Eomes","Time"
1.94984e+06,402366,-881.731,-564.185,-107.255,16781.8,65.7208,220883,15917.9,580.176,8309.94,427.366,404.634,1924.06,-474.27,849.991,22507,1269.05,1944.22,60426.3,22.0182,721.547,9806.26,817.12,-912.78,-287.412,0.217589
1.35998e+06,310420,709.548,-580.255,-9118.77,8929.12,7004.37,350837,-668.493,8926.57,55567.8,5513.55,149883,4281.02,4839.72,3030.66,10065.6,3235.8,-9038.41,48999.2,355.996,2857.3,3346.86,925.59,-966.608,2467.34,0.225403
1.59406e+06,222510,-403.378,-443.316,-204.828,22878.9,-1054.55,53704.1,19330.2,149.108,-551.776,71.7304,97.0543,72.0295,603.62,-212.735,29070.8,9298.34,2546.19,803.065,-13.4361,-431.303,2216.33,-17.8123,36.4255,860.937,0.239929
1.64148e+06,402473,-950.76,131.747,-912.013,29395.6,1137.53,6178.14,25997.8,1330.59,-246.827,2061.92,1964.42,471.144,1232.99,73.7411,21521.7,1249.71,2005.41,8438.76,293.85,-132.927,6460.57,-927.447,-707.08,304.333,0.247743
1.09305e+06,398231,2783.83,15505.5,-215.866,10705.1,-1407.18,48603.2,-589.523,-57.7605,-342.902,-634.666,165.403,862.066,-383.223,1470.27,4000.9,1857.35,930.977,14289.6,46.7361,7346.08,-27.7858,1226.88,49103.6,449.761,0.250448
1.43673e+06,542217,-2774.19,37222.1,-996.464,13720.9,3014.13,59992.4,691.74,857.035,-1205.77,530.707,1169.1,1253.59,-118.676,190.361,2367.14,-431.71,-4993.36,8558.49,1361.02,24177.6,660.339,2606.07,31185.5,3281.9,0.266576
1.32948e+06,252881,-4.81287,880.175,2186.44,24293.8,2262.42,9956.07,-428.416,-678.214,22890.5,743.487,35.3099,489.135,465.222,416.045,41159.9,2058.91,1880.18,20968.3,38.8425,-734.521,10762,-25.4869,1398.54,1542.22,0.283006
2.03834e+06,406955,-721.278,454.272,-693.757,43624,2639.63,31716.9,27553.6,1003.99,-643.513,195.151,162.546,200.622,1129.36,-606.479,21419.2,7457.32,4600.19,3855.75,224.829,-790.956,27203.8,-685.191,-235.88,280.65,0.30785
1.38876e+06,208460,-986.715,-1885.2,-712.149,24622.1,1374.52,258692,10.823,1711.53,53925.1,5880.63,2496.35,3503.54,3381.35,1223.01,20367.6,4053.7,4256.16,926.335,246.903,427.853,3219.27,894.014,-576.96,260.752,0.331993
1.56734e+06,254485,-430.431,-212.494,-303.396,20934.6,-2078.82,15996.5,15276.2,-482.17,426.549,-151.967,841.113,-88.5093,962.346,56.3421,27361.6,2803,3199.24,3702.09,-266.164,-625.359,3060.39,383.045,621.815,-55.7199,0.342111
1.08619e+06,242451,-307.952,-225.487,-549.63,36291.7,-1586.16,4553.59,12360.8,974.529,715.942,2882.48,320.881,113.986,3175.55,-680.532,54049.6,11758.6,1711,6.32816,-326.992,-134.348,4130.63,1.12903,372.586,-67.6481,0.347621
1.44003e+06,315036,287.667,102.035,-155.028,11639.7,-297.674,6969.61,9316.24,-255.758,6701.79,393.967,-106.76,836.908,-301.622,252.068,8818.05,-227.232,999.155,3202.17,-330.361,-236.313,6480.73,360.01,55.4235,222.108,0.35824
1.18917e+06,329015,-1134.73,65227.2,-995.762,20139.4,-2135.47,215243,3358.62,-640.522,-191.54,847.916,1574.12,2466.55,2946.6,820.877,6614.51,4254.93,1408.6,5159.74,-126.132,9521.4,2440.3,3183.22,62401.8,-812.592,0.364652
1.52618e+06,369070,-1636.11,1400.29,717.812,10073.9,-916.916,199556,-159.702,2235.07,72468.5,529.292,1060.66,1908.49,1188.17,178.767,13611.9,2099.72,4152.48,76740.2,40.8441,762.252,-372.249,-219.685,2809.18,-436.177,0.372366
2.2017e+06,656498,-2494.6,26149.3,-1006.35,10216.4,-1323.07,52210.1,-417.664,-56.014,452.331,-457.134,-2111.86,272.313,-1073.22,710.571,2504.66,-13.6083,-1745.54,78406.9,26.4485,22969.7,789.33,1901.71,58637.8,1696.88,0.377675
1.34956e+06,312866,-538.582,-530.271,264.974,19811.1,-829.755,148011,-619.221,1479.94,121683,2294.2,1665.66,584.596,1038.4,437.721,13306,860.807,-2356.64,18405.3,473.936,522.183,-474.545,-404.85,222.281,520.098,0.386591
1.08553e+06,381901,1269.2,506.458,-154.779,30876.6,-2006.34,20887.9,23786.4,-814.46,1843.15,700.766,408.682,510.892,105.396,251.174,33522,6718.67,2530.53,1404.85,88.0773,-1125.02,16479.4,-290.189,-271.493,5087.91,0.39701
1.45622e+06,372180,-531.727,-25.0604,-709.14,20430.7,-756.66,787.857,14519,455.524,369.764,196.743,53.6926,654.149,1103.75,36.9872,11750.1,-74.0793,2754.97,2565.1,-81.9058,-579.576,8653.78,-157.21,-777.374,672.538,0.397811
1.9818e+06,394066,197.521,-496.034,177.925,16521.7,-1941.83,96387.7,10123.2,595.035,12033.8,322.422,-468.562,-327.458,-327.373,-467.447,4717.97,490.106,2269.19,58217.3,75.4613,345.864,-758.115,311.297,1997.73,-1083.11,0.406326
1.71297e+06,460935,-566.025,-913.594,-690.369,15060.8,-1841.28,26669.9,-904.637,728.402,150029,801.221,1211.9,737.92,2608.21,-172.837,6798.43,1059.97,2611.54,9715.23,-627.545,-206.287,5652.05,3797.89,-632.999,820.99,0.418448
1.55874e+06,369455,-996.572,97,-375.949,18895.7,1757.94,7732.52,261.777,285.411,91482.8,547.515,287.191,531.441,-1096.64,692.367,4865.84,1148.32,3055.45,8350.74,-216.221,-390.21,6499.15,-535.033,-693.581,1247.87,0.427865
1.58849e+06,393453,-652.938,-292.904,19.9424,12175.3,-1483.55,295950,-1984.11,3118.55,93979.2,1752.59,793.791,729.032,1614.74,-279.598,9657.87,851.083,-3523.56,3770.96,752.763,39.3455,550.327,93.8071,-225.483,3701.28,0.444595
1.82436e+06,361964,-362.578,-477.648,-200.566,12933.6,1482.88,476134,-1129.28,3484.63,125044,7241.71,6660.8,3065.48,4786.63,905.742,21243.5,1366.25,-8927.46,47129.7,-417.433,-429.535,421.481,622.825,986.712,4831.67,0.444795
1.56591e+06,353644,-76.2111,60.9502,-78.8264,5080.31,-769.977,218892,-1463.51,1098.69,53321.2,1292.49,2120.58,1688.11,524.734,840.92,7919.02,1205.64,2482.24,15082.2,-229.519,851.932,391.034,980.054,-103.803,2041.62,0.463829
1.07599e+06,419902,-841.336,264.365,-591.601,29685.7,2762.58,326920,1439.71,-570.229,538.746,6367.17,9500.49,1400.58,2368.15,-753.342,2127.56,685.56,9719.85,28113,458.933,-1546.04,476.458,-28.9957,298.128,36.4274,0.468738
1.19017e+06,323385,-1777.8,855.777,42.4468,22172.8,-1367.21,177641,-223.751,2138.91,145552,1147.42,844.291,1547.69,870.773,337.199,21885.6,1512.66,-710.27,21956.4,26.2045,26.2921,1712.78,1481,-8.60626,2377.9,0.478054
1.4e+06,335220,-408.949,231.681,-714.185,29435.1,2851.11,22068.2,502.224,45.7142,190.711,7712.14,2203.4,853.109,1533.01,-134.119,4707.95,1340.89,3677.86,2803.32,222.581,-937.686,-1399.55,31.6803,594.95,-444.979,0.478455
1.2454e+06,335820,339.666,37.8164,-194.886,15328.9,3535.53,13596.3,164.14,314.41,37835.6,188.022,194.691,-74.5134,343.43,-559.903,11991.8,-285.902,2951.75,5862.22,515.449,-471.629,4468.47,-236.157,-423.534,3312.9,0.483464
1.23238e+06,484584,-1366.92,61021.8,230.404,19052,-2664.52,174103,-314.616,-1469.29,-1351.91,142.359,755.374,1774.48,145.725,1522.49,4671.78,4112.57,255.413,42432.8,-169.433,10183.6,1102.19,3613.37,63825.5,-364.77,0.484266
1.40502e+06,448835,-1287.98,1144.14,-54.3978,10431.2,-333.713,304999,58.8794,5820.14,43226.8,2331.41,10552.8,3259.69,1729.01,714.521,5876.82,880.125,-4256.26,22874.2,203.969,-1010.83,915.528,558.814,-670.883,3563.51,0.499793
1.45385e+06,397396,556.126,-570.415,191.25,11107,-1246.18,289969,-884.494,1371.93,75054.6,641.851,3439.88,2298.37,384.598,182.976,16863.7,1630.67,-5569.09,28098.9,-542.026,791.291,535.61,624.304,968.843,1475.26,0.526341
1.20151e+06,437755,-359.752,1193.66,-1032.27,41143.3,-438.864,5787.57,419.229,3646.26,166417,14279.8,4314.96,1347.85,6451.04,1730.95,19165.2,4168.56,2280.82,2772.74,805.753,-1065.19,8055.2,-856.116,-574.234,-346.275,0.532953
1.58873e+06,469121,-2311.91,84231.4,343.218,24300,-3174.64,487762,704.297,1824.29,134.477,839.561,2453.88,4555.74,1226.61,876.565,9083.79,5072.02,8612.52,19983.2,1769.96,7262.54,2705.28,2592.25,59143.2,-1990.97,0.555493
1.28563e+06,450115,-4378.74,83789.5,-869.743,28304.1,-3269.24,430005,48.3558,2062.71,1150.83,3063.87,1858.04,1827.31,2257.54,1333.96,8952.61,2483.27,158.105,16895.8,826.131,2619.79,1688.75,1242.26,59994.7,2721.74,0.5594
1.70138e+06,361833,-890.155,1027.03,-647.24,20040.1,-1791.52,134316,-663.198,943.682,92367.4,1847.52,1617.46,1112.75,716.243,1100.88,14311.3,3671.29,2825.3,26999.8,3.18463,-366.489,108.771,26.2544,266.978,-222.923,0.567614
1.44175e+06,360297,62.3266,-353.236,-43.072,13420.9,-1798.29,14655.6,15678.8,862.851,203.116,2178.58,-462.902,289.302,17592.7,61.0017,9290.06,1601.56,3074.26,1101.33,107.559,-20.7839,6815.14,415.048,58.5781,-11.9871,0.608187
1.71188e+06,392677,-784.077,588.67,-875.354,17494.9,17229.3,981.426,15333.2,451.963,-506.715,784.79,1058.44,-611.599,5930.73,-635.344,12642.9,1117.1,4904.74,4526.28,127.15,-938.579,16593.3,-765.658,403.041,324.45,0.625217
1.42765e+06,634825,-2199.49,76198,-892.809,15395.3,-146.659,115555,641.492,-1793.29,-510.644,-384.428,-108.678,1255.31,171.983,2045.77,5148.22,2615.4,775.228,76595.2,478.192,23397,2147.62,8417.67,75183.4,24.9712,0.630727
1.48735e+06,260082,-211.903,-35.2168,916.538,29785.1,-1861.34,9751.54,16040.7,100.8,-493.269,1911.67,320.046,-431.652,1161.45,-745.264,17998.7,1702.32,1755.81,1111.3,-295.299,-708.721,4668.22,-94.1562,146.974,-112.78,0.649461
1.41761e+06,281745,324.636,-118.578,-104.39,15273.4,2016.96,725.858,13131.4,-176.838,862.681,974.81,130.206,618.808,92.7551,524.49,26297.5,4914.04,2271.3,168.985,-181.07,-71.31,8708.69,65.2417,219.569,-785.443,0.658477
1.91197e+06,362996,-850.447,2257.57,-800.583,15707.4,-114.286,235028,9295.75,3619.36,31661.9,1088.32,795.369,1028.42,1972.17,-433.706,11059.4,193.423,-2162.77,32514.8,-484.147,1025.93,2029.3,-264.95,-877.78,262.337,0.662484
1.78616e+06,512186,-6118.85,97899.7,-723.307,20032.6,-1725.3,376807,-1925.93,2465.62,2835.91,1379.04,2529.96,3127.7,1363.78,828.473,6698.18,2694.31,-2773.36,38196.7,2111.32,5177.87,1760.85,2258.75,42362.8,1690.55,0.673003
1.12421e+06,157916,880.698,-786.521,419.207,16110.1,-2543.56,369375,239.853,1226.9,1407.94,2754.74,2235.2,2800.19,2008.25,770.066,21768,3516.64,3123.14,-46.3504,21.11,734.15,2556.26,110.816,502.724,431.202,0.675708
1.20629e+06,460925,-667.911,100261,-1350.26,29351.2,-3840.03,379717,1283.58,2483.85,1542.44,28748.9,7723.1,7158.37,10633.4,3882.66,39712.9,10232,-7.2041,7222.13,-812.488,8418.04,8575.32,7371.77,132156,-3999.6,0.694842
1.36223e+06,365915,795.048,535.761,-151.559,15325.7,-2326.26,290602,-1395.24,879.771,1130.1,3518.36,1138.12,1245.12,1143.1,-412.249,18781.1,2479.09,-947.336,-399.708,790.803,1025.7,-211.169,-552.109,1288.45,4894.87,0.705561
1.46022e+06,415046,-685.156,-1751.86,-348.157,36574.8,-2332.78,15095.4,-94.1283,188.77,196572,442.271,696.337,157.449,487.396,799.679,13906.6,3436.24,2915.66,3673.3,-769.79,-262.616,6021.29,587.295,-281.382,5919.2,0.707965
1.33441e+06,267369,-511.384,-95.8457,297.114,49585.6,-2439.1,4353.6,24107.8,358.722,722.237,-184.474,-30.6514,332.133,4662.08,-662.626,45902.8,7606.34,2086.52,1348.96,210.537,-1507.41,8063.16,244.761,-77.4709,639.908,0.732209
2.11526e+06,313168,660.611,280.469,-938.737,29440.4,-1550.05,4358.17,21894.1,-1209.94,-1033.36,453.316,1449.55,-512.241,512.369,167.157,38595.1,1827.83,2274.38,3752.45,861.09,-800.349,5622.85,-575.505,1002.63,-722.716,0.751143
1.44215e+06,345584,-663.685,-658.508,-191.178,25857,120.561,2143.45,17847.7,174.126,876.504,576.552,118.518,-531.649,1258.88,-26.0516,17824.5,5187.95,1790.92,658.115,-10.6419,-966.585,23547.9,216.346,152.988,1154.1,0.763565
1.44743e+06,480929,277.234,-338.744,-5700.22,6393.42,-617.762,401903,-165.514,4070.44,69638.8,2331.73,85367.8,2232.83,2030.26,856.75,4341.92,2583.21,-6783.4,22360.5,11.8245,875.567,-408.217,1308,2288.9,2842.55,0.768774
1.7051e+06,304817,613.209,104.589,-288.341,8921.22,3918.21,2211.84,11045.7,53.4254,-658.919,772.847,536.303,-642.485,704.506,-294.18,7234.4,547.813,4091.13,2670.45,-191.607,-1554.82,6055.35,364.779,1626.37,-514.425,0.784903
1.17276e+06,321589,-1276.41,-106.875,-628.959,57951.2,-2441.65,16198.5,30952.8,1835.26,2065.39,8779.51,2085.26,599.467,2082.27,400.826,27075,23776.7,1912.77,1272.96,-559.089,-1486.22,33402.2,199.232,-1181.46,958.987,0.797125
1.2955e+06,485374,-1039.8,81122.3,-822.744,14126.8,6232.92,166645,1346.42,-620.763,695.021,132.242,-375.347,485.874,4412.83,-993.704,452.893,358.551,-985.629,40688,-1169.52,10525.6,-1117.66,4181.08,42898.7,-251.817,0.802935
1.28827e+06,171846,417.755,-778.604,-430.702,20645.7,-450.366,3548.9,10919.2,45.03,367.717,579.654,119.595,-836.432,154.332,-483.188,20508.3,-881.445,2939.83,920.811,130.528,-1197.23,4739.18,1002.7,-249.101,-226.003,0.803236
1.47535e+06,388426,-425.72,-557.87,-976.33,28753.6,-1194.61,2184.25,21619.7,370.564,0.576004,79.5206,620.865,247.937,612.278,-950.7,39243.2,7094.57,3903,838.502,-429.924,-1002.2,19901.1,980.278,580.301,1122.55,0.812853
1.35544e+06,313907,748.053,-841.587,-251.083,13879.7,4472.02,79843.7,634.299,38.613,32897,1345.9,1292.06,565.058,601.945,-98.2232,9723.33,-166.705,744.005,5316.85,201.591,-844.309,10662.7,-77.2759,-144.17,2781.7,0.848316
1.46333e+06,449861,-513.755,1601.6,-20.1435,16350.2,-1165.25,149184,-537.786,-531.593,108498,1488.74,874.11,1059.97,648.658,1128.69,9339.96,1702.92,4967.23,58362.1,318.391,-222.511,-1765.29,-38.1831,2976.4,-1000.92,0.864145
1.56189e+06,342333,-1593.98,34020.9,-805.014,13308.8,-2072.92,195334,-629.527,562.119,311.043,-144.486,681.901,1053.49,155.435,189.942,2038.18,1116.97,-640.645,4236.16,548.553,1282.86,448.733,1147.19,30457.6,880.723,0.865146
1.136e+06,439883,-1517.32,44421.4,-24.1735,19638.5,-2642.25,282398,-706.38,490.541,860.236,580.62,932.999,2287.79,1516.18,672.943,5702.13,4455.31,5266.28,6675.7,1023.51,3352.67,1214.03,2609.91,39372.6,208.458,0.866248
2.23543e+06,464626,533.07,-704.934,-596.53,18443,-1399.05,20858.9,16589,-251.493,-1023.38,1860.31,153.268,776.271,-493.263,-6.3697,16863.3,1878.53,4328.9,52515.2,239.395,-854.704,5077.7,-52.724,2306.77,-1048.03,0.897003
2.04298e+06,355662,1120.33,376.716,420.252,21136.9,-856.713,2775.17,12436.9,-1255.02,102.706,-108.886,464.499,1125.19,1387.42,-280.325,30232.8,2583.01,2307.61,4955.05,-88.8018,-373.757,13277.2,462.269,720.772,-1401.85,0.903415
1.30704e+06,400108,-714.924,-132.572,113.734,21626.2,-2577.51,283.161,18431.4,-344.226,-406.442,322.752,16.9903,-635.266,2494.2,-799.947,23687.2,1528.72,3052.09,3377.58,-254.982,-546.227,21821.1,250.752,1484.5,207.66,0.92856
1.71494e+06,417273,-931.591,572.836,-1377.65,28106.6,14608.1,15037.4,20344.4,934.665,-66.5344,610.744,375.415,-615.89,8818.38,-533.531,38154.3,8038.96,4528.73,1409.49,731.565,-1228.36,15374.7,-573.166,1228.19,-163.974,0.937776
1.11016e+06,498290,-10.2493,-302.314,-160.572,12011.3,-476.869,17459.4,10101.7,291.576,60.8938,-21.6613,126.685,-141.266,268.8,99.9192,8561.25,639.044,3416.75,43159.3,175.052,575.45,6026.03,-335.165,-421.786,-989.472,0.941883
1.30098e+06,332792,-286.601,-738.818,513.358,15656.2,3024.7,26555.4,-75.4731,171.329,122032,1712.99,776.852,855.441,329.5,771.179,8551.58,3262.57,4490.79,5032.81,678.97,-409.471,7750.39,-39.7334,-1168.09,3813.33,0.941984
1.58047e+06,294149,239.62,290.812,-1167.81,25359.7,-120.404,9927.89,25543.8,262.022,-345.606,510.234,-12.8768,-108.935,3721.42,-737.227,17803.1,2639.19,2602.03,181.54,-226.602,-1908.6,11280.5,265.342,603.849,221.09,0.977748
