"FSC-A","SSC-A","DC-SIGN","HLA-DR","CD56","CD45","CCR6","CD45RA","CD4","CD69","CD8a","FoxP3","CD16","CD14","CD49a","CD163","CD3","CCR7","RORyt","T-bet","NKp46","CD11c","CD127","CD86","CD20","Eomes","Time"
1.31286e+06,978739,23964.3,62931.5,40790.1,44338.7,-1562.82,804.335,-990.457,-454.548,-75.0063,-204.341,11.4284,131602,2484.34,10422.2,2718.65,847.08,7286.37,-2009.76,2863.58,38602.5,6195.53,5300.95,193.852,9172.24,0.450019
2.6445e+06,1.41838e+06,-200.598,362746,184684,83269.4,-3802.11,10450.1,-536.006,1886.99,-1685.17,-593.735,-981.96,36198.9,1142.16,6592.49,148.994,7394.69,3563.71,1541.15,-917.727,13761.4,439.813,26172.8,-104.328,1856.47,0.483139
2.50547e+06,1.44951e+06,-3519.73,525784,31132.2,52931.3,-618.582,-1572.05,513.345,1308.82,41.4043,62.9948,-1476.24,16337.4,5267.5,9478.91,-871.563,5367.82,6390.72,554.184,260.008,8132.4,-918.7,4630.56,851.73,2063.07,0.509875
2.06228e+06,1.88291e+06,19145.5,373048,81481.8,70111.5,-365.723,3695.37,386.276,502.652,33.3184,-109.746,26.228,108023,14200.9,1487.39,4132.33,-3089.03,9004.27,-795.384,1557.64,10446.4,3542.83,12649.1,-15.3965,9219.79,0.539803
1.83878e+06,1.46302e+06,8961.76,44378.4,149651,78620.9,-1983.18,63217.3,-350.008,343.888,556.545,567.231,2347.83,38725.8,1721.33,8864.6,2019.99,-569.747,7321.11,527.477,1211.36,-176.854,4116.29,6739.79,-363.661,5629.76,0.576614
2.48894e+06,3.31391e+06,-2550.43,259638,231191,92702.4,45660.1,28371,5963.89,9778,7059.93,2963.56,70641.6,18810.6,11742.2,40235.2,1551.26,-3684.61,338.99,-724.751,1164.35,180329,1253.11,49793.8,-854.738,281.432,0.597464
1.84357e+06,1.58277e+06,17899.4,67469.3,58494.9,82243.3,-4464.49,23148.4,323.493,-715.336,-649.718,355.832,2220.42,53411.9,1435.06,11903.2,3279.03,960.568,12157.6,169.374,1637.33,407.133,6319.36,7787.12,-524.071,7973.79,0.607141
2.05055e+06,2.11978e+06,16132.8,64841,67467.5,66129,-1361.98,10210.3,-910.75,1202.21,-71.0706,1393.09,1291.01,108225,6402.5,7774.02,3221.03,-619.669,11777.8,94.9824,1619.75,17178.3,6540.78,9180.65,-294.379,5613.55,0.612728
1.48538e+06,693155,804.345,7779.18,20094.1,17042.5,-403.731,74680.6,-440.597,8980.27,47567.1,316.477,1939.97,482.669,726.979,-209.022,-483.207,600.377,558.785,10784.1,5328.27,733.305,-886.495,901.355,1541.18,17245.5,0.660014
2.16138e+06,1.23597e+06,35137.9,53757.6,12118.9,96907.6,-2240.62,25214.1,-1082.04,979.194,291.826,151.945,6240.08,108421,1448.58,5503.76,3209.06,-2240.06,7826.7,-1897.37,1020.06,15762.7,5699.1,2741.67,1548.51,13311,0.684555
1.75139e+06,1.79624e+06,2122.31,206548,33134.8,43936.1,955.728,2950.73,-101.691,2121.27,4497.96,515.232,89.817,45712.1,2029.66,2276.24,1009.86,-2931.61,3699.57,312.211,689.591,9434.46,-185.443,7466.38,598.186,637.622,0.718075
1.58419e+06,2.11686e+06,11078.3,120451,95922.2,79338.3,-91.7223,118567,-2285.66,1845.67,2263.04,4.29849,-1337.53,115582,3490.72,10475,1433.41,1413.5,3916.87,-1402.83,759.639,51252.3,2748.02,15244.8,351.931,3548.14,0.74072
2.34903e+06,2.57715e+06,1034.24,209565,88347.9,78507.9,72521.5,32729.9,3936.11,-2495.66,-187.472,-2416.7,-10036.9,134440,13170.5,139197,8624.81,11016.5,-10966.3,-279.802,-255.085,63460.4,-2424.27,13644.3,670.175,1299.94,0.741917
1.71971e+06,380470,-260.078,523.55,211.978,13562.6,-4.93674,86034.3,4266.96,19188,434.573,288.911,-285.41,347.969,36.4395,-3.66521,19410.3,-32.1809,-681.834,39110.7,1060.88,332.999,304.042,1169.85,1415.26,-312.987,0.746606
2.08737e+06,1.58895e+06,6806.84,73926.6,119366,95366.2,-1203.36,33079.1,-879.156,4544.37,767.845,472.593,2562.31,68618.9,4242.19,7907.86,2561.63,311.847,8647.43,762.992,2180.24,1397.82,2946.59,12387.5,-281.439,3230.1,0.773342
1.53639e+06,1.0156e+06,-3793.29,462507,121.791,54223.8,-279.997,-1267.73,3422.16,822.177,-949.596,-641.49,-1133.53,-302.922,35701.8,924.878,-458.998,11559.1,3176.43,1639.02,1836.94,12870,2264.97,9995.95,-1142.01,-22.5156,0.783817
